delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
9192-39610-636223-7188-21638-78777-223688-31076,6408-12709-108519-12955-17923-49686-56478-48266,1881-6253-33464-17223-14939-10933-4059-2888,21090-938-16668-22326-17788-4698-3381-6458,4805-2695-16673-5347-12769-9047-2194-5092,25655-4745-37664-18566-30421-15310-2666-4393,12440-2962-17295-6564-27078-8751-1870-2097,12046-3061-10012-8912-5470-17964-2307-3056,easy
39610-636223-7188-21638-78777-223688-31076-26548,12709-108519-12955-17923-49686-56478-48266-13380,6253-33464-17223-14939-10933-4059-2888-7212,938-16668-22326-17788-4698-3381-6458-7941,2695-16673-5347-12769-9047-2194-5092-7579,4745-37664-18566-30421-15310-2666-4393-27021,2962-17295-6564-27078-8751-1870-2097-10634,3061-10012-8912-5470-17964-2307-3056-3413,easy
636223-7188-21638-78777-223688-31076-26548-83307,108519-12955-17923-49686-56478-48266-13380-34419,33464-17223-14939-10933-4059-2888-7212-13932,16668-22326-17788-4698-3381-6458-7941-17440,16673-5347-12769-9047-2194-5092-7579-7765,37664-18566-30421-15310-2666-4393-27021-12622,17295-6564-27078-8751-1870-2097-10634-11553,10012-8912-5470-17964-2307-3056-3413-10021,easy
7188-21638-78777-223688-31076-26548-83307-4625,12955-17923-49686-56478-48266-13380-34419-2051,17223-14939-10933-4059-2888-7212-13932-16046,22326-17788-4698-3381-6458-7941-17440-1413,5347-12769-9047-2194-5092-7579-7765-9745,18566-30421-15310-2666-4393-27021-12622-13797,6564-27078-8751-1870-2097-10634-11553-3551,8912-5470-17964-2307-3056-3413-10021-10728,easy
21638-78777-223688-31076-26548-83307-4625-47376,17923-49686-56478-48266-13380-34419-2051-21370,14939-10933-4059-2888-7212-13932-16046-5237,17788-4698-3381-6458-7941-17440-1413-3655,12769-9047-2194-5092-7579-7765-9745-3698,30421-15310-2666-4393-27021-12622-13797-6376,27078-8751-1870-2097-10634-11553-3551-2441,5470-17964-2307-3056-3413-10021-10728-2185,easy
78777-223688-31076-26548-83307-4625-47376-72711,49686-56478-48266-13380-34419-2051-21370-17620,10933-4059-2888-7212-13932-16046-5237-823,4698-3381-6458-7941-17440-1413-3655-4362,9047-2194-5092-7579-7765-9745-3698-5833,15310-2666-4393-27021-12622-13797-6376-4605,8751-1870-2097-10634-11553-3551-2441-5505,17964-2307-3056-3413-10021-10728-2185-2394,easy
223688-31076-26548-83307-4625-47376-72711-42481,56478-48266-13380-34419-2051-21370-17620-44588,4059-2888-7212-13932-16046-5237-823-13153,3381-6458-7941-17440-1413-3655-4362-13842,2194-5092-7579-7765-9745-3698-5833-13356,2666-4393-27021-12622-13797-6376-4605-15810,1870-2097-10634-11553-3551-2441-5505-18185,2307-3056-3413-10021-10728-2185-2394-7799,easy
31076-26548-83307-4625-47376-72711-42481-76551,48266-13380-34419-2051-21370-17620-44588-35614,2888-7212-13932-16046-5237-823-13153-8852,6458-7941-17440-1413-3655-4362-13842-7315,5092-7579-7765-9745-3698-5833-13356-11799,4393-27021-12622-13797-6376-4605-15810-11656,2097-10634-11553-3551-2441-5505-18185-4052,3056-3413-10021-10728-2185-2394-7799-8388,easy
26548-83307-4625-47376-72711-42481-76551-192484,13380-34419-2051-21370-17620-44588-35614-18781,7212-13932-16046-5237-823-13153-8852-2316,7941-17440-1413-3655-4362-13842-7315-2100,7579-7765-9745-3698-5833-13356-11799-1594,27021-12622-13797-6376-4605-15810-11656-711,10634-11553-3551-2441-5505-18185-4052-363,3413-10021-10728-2185-2394-7799-8388-325,easy
83307-4625-47376-72711-42481-76551-192484-101880,34419-2051-21370-17620-44588-35614-18781-10470,13932-16046-5237-823-13153-8852-2316-2202,17440-1413-3655-4362-13842-7315-2100-9024,7765-9745-3698-5833-13356-11799-1594-5874,12622-13797-6376-4605-15810-11656-711-3610,11553-3551-2441-5505-18185-4052-363-1740,10021-10728-2185-2394-7799-8388-325-1712,easy
4625-47376-72711-42481-76551-192484-101880-1225399,2051-21370-17620-44588-35614-18781-10470-328958,16046-5237-823-13153-8852-2316-2202-57538,1413-3655-4362-13842-7315-2100-9024-8001,9745-3698-5833-13356-11799-1594-5874-100829,13797-6376-4605-15810-11656-711-3610-27910,3551-2441-5505-18185-4052-363-1740-44865,10728-2185-2394-7799-8388-325-1712-33173,easy
47376-72711-42481-76551-192484-101880-1225399-28617,21370-17620-44588-35614-18781-10470-328958-37232,5237-823-13153-8852-2316-2202-57538-5691,3655-4362-13842-7315-2100-9024-8001-3171,3698-5833-13356-11799-1594-5874-100829-7804,6376-4605-15810-11656-711-3610-27910-4186,2441-5505-18185-4052-363-1740-44865-7615,2185-2394-7799-8388-325-1712-33173-4327,easy
72711-42481-76551-192484-101880-1225399-28617-1925732,17620-44588-35614-18781-10470-328958-37232-304098,823-13153-8852-2316-2202-57538-5691-46593,4362-13842-7315-2100-9024-8001-3171-45193,5833-13356-11799-1594-5874-100829-7804-41278,4605-15810-11656-711-3610-27910-4186-20737,5505-18185-4052-363-1740-44865-7615-15243,2394-7799-8388-325-1712-33173-4327-9295,easy
42481-76551-192484-101880-1225399-28617-1925732-604678,44588-35614-18781-10470-328958-37232-304098-39578,13153-8852-2316-2202-57538-5691-46593-6404,13842-7315-2100-9024-8001-3171-45193-922,13356-11799-1594-5874-100829-7804-41278-4424,15810-11656-711-3610-27910-4186-20737-7449,18185-4052-363-1740-44865-7615-15243-8205,7799-8388-325-1712-33173-4327-9295-4914,easy
76551-192484-101880-1225399-28617-1925732-604678-303706,35614-18781-10470-328958-37232-304098-39578-82624,8852-2316-2202-57538-5691-46593-6404-15759,7315-2100-9024-8001-3171-45193-922-1658,11799-1594-5874-100829-7804-41278-4424-7541,11656-711-3610-27910-4186-20737-7449-7238,4052-363-1740-44865-7615-15243-8205-7632,8388-325-1712-33173-4327-9295-4914-11477,easy
192484-101880-1225399-28617-1925732-604678-303706-124747,18781-10470-328958-37232-304098-39578-82624-10976,2316-2202-57538-5691-46593-6404-15759-2882,2100-9024-8001-3171-45193-922-1658-1410,1594-5874-100829-7804-41278-4424-7541-2960,711-3610-27910-4186-20737-7449-7238-2951,363-1740-44865-7615-15243-8205-7632-2500,325-1712-33173-4327-9295-4914-11477-625,easy
101880-1225399-28617-1925732-604678-303706-124747-111671,10470-328958-37232-304098-39578-82624-10976-15460,2202-57538-5691-46593-6404-15759-2882-37272,9024-8001-3171-45193-922-1658-1410-13179,5874-100829-7804-41278-4424-7541-2960-11528,3610-27910-4186-20737-7449-7238-2951-10947,1740-44865-7615-15243-8205-7632-2500-5118,1712-33173-4327-9295-4914-11477-625-4589,easy
