delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
102615-200020-101762-55516-237419-32866-422264-156697,30719-69999-4944-18530-40704-30533-97299-23260,3015-3909-666-5347-7455-3907-5490-8156,3593-11841-627-5090-14633-1465-7854-2399,3459-3037-784-6991-14106-3450-10678-4659,17512-6754-1244-11024-5165-7730-15266-2139,9716-8153-1069-3195-6448-4941-5373-4078,6769-2203-1235-9183-11598-5471-13220-3486,easy
200020-101762-55516-237419-32866-422264-156697-99397,69999-4944-18530-40704-30533-97299-23260-13286,3909-666-5347-7455-3907-5490-8156-5755,11841-627-5090-14633-1465-7854-2399-5100,3037-784-6991-14106-3450-10678-4659-4861,6754-1244-11024-5165-7730-15266-2139-2815,8153-1069-3195-6448-4941-5373-4078-3978,2203-1235-9183-11598-5471-13220-3486-2911,easy
101762-55516-237419-32866-422264-156697-99397-98317,4944-18530-40704-30533-97299-23260-13286-45316,666-5347-7455-3907-5490-8156-5755-15681,627-5090-14633-1465-7854-2399-5100-3136,784-6991-14106-3450-10678-4659-4861-2146,1244-11024-5165-7730-15266-2139-2815-3912,1069-3195-6448-4941-5373-4078-3978-2798,1235-9183-11598-5471-13220-3486-2911-1032,easy
55516-237419-32866-422264-156697-99397-98317-41190,18530-40704-30533-97299-23260-13286-45316-14385,5347-7455-3907-5490-8156-5755-15681-14889,5090-14633-1465-7854-2399-5100-3136-5468,6991-14106-3450-10678-4659-4861-2146-3543,11024-5165-7730-15266-2139-2815-3912-26447,3195-6448-4941-5373-4078-3978-2798-12225,9183-11598-5471-13220-3486-2911-1032-6100,easy
237419-32866-422264-156697-99397-98317-41190-110455,40704-30533-97299-23260-13286-45316-14385-11955,7455-3907-5490-8156-5755-15681-14889-1939,14633-1465-7854-2399-5100-3136-5468-1091,14106-3450-10678-4659-4861-2146-3543-2970,5165-7730-15266-2139-2815-3912-26447-3655,6448-4941-5373-4078-3978-2798-12225-3859,11598-5471-13220-3486-2911-1032-6100-3808,easy
32866-422264-156697-99397-98317-41190-110455-5549,30533-97299-23260-13286-45316-14385-11955-3598,3907-5490-8156-5755-15681-14889-1939-3774,1465-7854-2399-5100-3136-5468-1091-2349,3450-10678-4659-4861-2146-3543-2970-3774,7730-15266-2139-2815-3912-26447-3655-5614,4941-5373-4078-3978-2798-12225-3859-2538,5471-13220-3486-2911-1032-6100-3808-1615,easy
422264-156697-99397-98317-41190-110455-5549-79369,97299-23260-13286-45316-14385-11955-3598-38922,5490-8156-5755-15681-14889-1939-3774-11775,7854-2399-5100-3136-5468-1091-2349-1494,10678-4659-4861-2146-3543-2970-3774-6759,15266-2139-2815-3912-26447-3655-5614-2749,5373-4078-3978-2798-12225-3859-2538-1885,13220-3486-2911-1032-6100-3808-1615-1646,easy
156697-99397-98317-41190-110455-5549-79369-11829,23260-13286-45316-14385-11955-3598-38922-10072,8156-5755-15681-14889-1939-3774-11775-4272,2399-5100-3136-5468-1091-2349-1494-3507,4659-4861-2146-3543-2970-3774-6759-1351,2139-2815-3912-26447-3655-5614-2749-2878,4078-3978-2798-12225-3859-2538-1885-1983,3486-2911-1032-6100-3808-1615-1646-2169,easy
99397-98317-41190-110455-5549-79369-11829-236769,13286-45316-14385-11955-3598-38922-10072-10653,5755-15681-14889-1939-3774-11775-4272-3639,5100-3136-5468-1091-2349-1494-3507-1579,4861-2146-3543-2970-3774-6759-1351-4020,2815-3912-26447-3655-5614-2749-2878-1542,3978-2798-12225-3859-2538-1885-1983-2673,2911-1032-6100-3808-1615-1646-2169-1582,easy
98317-41190-110455-5549-79369-11829-236769-32286,45316-14385-11955-3598-38922-10072-10653-15406,15681-14889-1939-3774-11775-4272-3639-9420,3136-5468-1091-2349-1494-3507-1579-6428,2146-3543-2970-3774-6759-1351-4020-4439,3912-26447-3655-5614-2749-2878-1542-9325,2798-12225-3859-2538-1885-1983-2673-3734,1032-6100-3808-1615-1646-2169-1582-2089,easy
41190-110455-5549-79369-11829-236769-32286-1194042,14385-11955-3598-38922-10072-10653-15406-180475,14889-1939-3774-11775-4272-3639-9420-2342,5468-1091-2349-1494-3507-1579-6428-17177,3543-2970-3774-6759-1351-4020-4439-30005,26447-3655-5614-2749-2878-1542-9325-19577,12225-3859-2538-1885-1983-2673-3734-14609,6100-3808-1615-1646-2169-1582-2089-8363,easy
110455-5549-79369-11829-236769-32286-1194042-12580,11955-3598-38922-10072-10653-15406-180475-8840,1939-3774-11775-4272-3639-9420-2342-8704,1091-2349-1494-3507-1579-6428-17177-2249,2970-3774-6759-1351-4020-4439-30005-3484,3655-5614-2749-2878-1542-9325-19577-10105,3859-2538-1885-1983-2673-3734-14609-24359,3808-1615-1646-2169-1582-2089-8363-13915,easy
5549-79369-11829-236769-32286-1194042-12580-1117499,3598-38922-10072-10653-15406-180475-8840-134297,3774-11775-4272-3639-9420-2342-8704-28351,2349-1494-3507-1579-6428-17177-2249-7430,3774-6759-1351-4020-4439-30005-3484-5616,5614-2749-2878-1542-9325-19577-10105-4110,2538-1885-1983-2673-3734-14609-24359-3753,1615-1646-2169-1582-2089-8363-13915-1202,easy
79369-11829-236769-32286-1194042-12580-1117499-144842,38922-10072-10653-15406-180475-8840-134297-17185,11775-4272-3639-9420-2342-8704-28351-1269,1494-3507-1579-6428-17177-2249-7430-12283,6759-1351-4020-4439-30005-3484-5616-29112,2749-2878-1542-9325-19577-10105-4110-22117,1885-1983-2673-3734-14609-24359-3753-10543,1646-2169-1582-2089-8363-13915-1202-3925,easy
11829-236769-32286-1194042-12580-1117499-144842-2587906,10072-10653-15406-180475-8840-134297-17185-99560,4272-3639-9420-2342-8704-28351-1269-64585,3507-1579-6428-17177-2249-7430-12283-5914,1351-4020-4439-30005-3484-5616-29112-17236,2878-1542-9325-19577-10105-4110-22117-17299,1983-2673-3734-14609-24359-3753-10543-39026,2169-1582-2089-8363-13915-1202-3925-15133,easy
236769-32286-1194042-12580-1117499-144842-2587906-488995,10653-15406-180475-8840-134297-17185-99560-43037,3639-9420-2342-8704-28351-1269-64585-6532,1579-6428-17177-2249-7430-12283-5914-9586,4020-4439-30005-3484-5616-29112-17236-6184,1542-9325-19577-10105-4110-22117-17299-2928,2673-3734-14609-24359-3753-10543-39026-1769,1582-2089-8363-13915-1202-3925-15133-1212,easy
32286-1194042-12580-1117499-144842-2587906-488995-4007,15406-180475-8840-134297-17185-99560-43037-1639,9420-2342-8704-28351-1269-64585-6532-745,6428-17177-2249-7430-12283-5914-9586-50,4439-30005-3484-5616-29112-17236-6184-1024,9325-19577-10105-4110-22117-17299-2928-4530,3734-14609-24359-3753-10543-39026-1769-5334,2089-8363-13915-1202-3925-15133-1212-1617,easy
1194042-12580-1117499-144842-2587906-488995-4007-5117,180475-8840-134297-17185-99560-43037-1639-50113,2342-8704-28351-1269-64585-6532-745-10651,17177-2249-7430-12283-5914-9586-50-12990,30005-3484-5616-29112-17236-6184-1024-3867,19577-10105-4110-22117-17299-2928-4530-17072,14609-24359-3753-10543-39026-1769-5334-3201,8363-13915-1202-3925-15133-1212-1617-9600,easy
12580-1117499-144842-2587906-488995-4007-5117-43173,8840-134297-17185-99560-43037-1639-50113-25511,8704-28351-1269-64585-6532-745-10651-4298,2249-7430-12283-5914-9586-50-12990-11651,3484-5616-29112-17236-6184-1024-3867-4958,10105-4110-22117-17299-2928-4530-17072-23289,24359-3753-10543-39026-1769-5334-3201-19216,13915-1202-3925-15133-1212-1617-9600-23837,easy
1117499-144842-2587906-488995-4007-5117-43173-924828,134297-17185-99560-43037-1639-50113-25511-31994,28351-1269-64585-6532-745-10651-4298-14096,7430-12283-5914-9586-50-12990-11651-25059,5616-29112-17236-6184-1024-3867-4958-38344,4110-22117-17299-2928-4530-17072-23289-17688,3753-10543-39026-1769-5334-3201-19216-16075,1202-3925-15133-1212-1617-9600-23837-10334,easy
144842-2587906-488995-4007-5117-43173-924828-302339,17185-99560-43037-1639-50113-25511-31994-23239,1269-64585-6532-745-10651-4298-14096-1941,12283-5914-9586-50-12990-11651-25059-6972,29112-17236-6184-1024-3867-4958-38344-5791,22117-17299-2928-4530-17072-23289-17688-4544,10543-39026-1769-5334-3201-19216-16075-1779,3925-15133-1212-1617-9600-23837-10334-2454,easy
