delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
218426-15058-1812451-1672285-535730-1604292-92649-158627,29102-25362-394864-86274-97241-178313-55838-60973,6748-4989-64212-39207-19467-24262-25762-63806,2760-15330-15664-10109-60235-62537-5051-21645,7506-19521-45947-12252-18664-10266-5743-10668,7500-32277-30088-10340-19232-20628-4468-8541,2649-12676-10390-12787-9692-4531-2003-5112,5181-9338-37238-8355-9059-5451-883-1410,easy
15058-1812451-1672285-535730-1604292-92649-158627-1497748,25362-394864-86274-97241-178313-55838-60973-83631,4989-64212-39207-19467-24262-25762-63806-55325,15330-15664-10109-60235-62537-5051-21645-4633,19521-45947-12252-18664-10266-5743-10668-11491,32277-30088-10340-19232-20628-4468-8541-14864,12676-10390-12787-9692-4531-2003-5112-12011,9338-37238-8355-9059-5451-883-1410-10609,easy
1812451-1672285-535730-1604292-92649-158627-1497748-494830,394864-86274-97241-178313-55838-60973-83631-25426,64212-39207-19467-24262-25762-63806-55325-36393,15664-10109-60235-62537-5051-21645-4633-30820,45947-12252-18664-10266-5743-10668-11491-28739,30088-10340-19232-20628-4468-8541-14864-11212,10390-12787-9692-4531-2003-5112-12011-7596,37238-8355-9059-5451-883-1410-10609-3604,easy
1672285-535730-1604292-92649-158627-1497748-494830-255346,86274-97241-178313-55838-60973-83631-25426-238675,39207-19467-24262-25762-63806-55325-36393-19606,10109-60235-62537-5051-21645-4633-30820-10165,12252-18664-10266-5743-10668-11491-28739-11875,10340-19232-20628-4468-8541-14864-11212-8963,12787-9692-4531-2003-5112-12011-7596-4301,8355-9059-5451-883-1410-10609-3604-5121,easy
535730-1604292-92649-158627-1497748-494830-255346-698733,97241-178313-55838-60973-83631-25426-238675-109724,19467-24262-25762-63806-55325-36393-19606-12976,60235-62537-5051-21645-4633-30820-10165-3038,18664-10266-5743-10668-11491-28739-11875-5862,19232-20628-4468-8541-14864-11212-8963-6138,9692-4531-2003-5112-12011-7596-4301-7026,9059-5451-883-1410-10609-3604-5121-4953,easy
1604292-92649-158627-1497748-494830-255346-698733-616525,178313-55838-60973-83631-25426-238675-109724-58681,24262-25762-63806-55325-36393-19606-12976-6666,62537-5051-21645-4633-30820-10165-3038-10124,10266-5743-10668-11491-28739-11875-5862-16936,20628-4468-8541-14864-11212-8963-6138-38765,4531-2003-5112-12011-7596-4301-7026-66361,5451-883-1410-10609-3604-5121-4953-33854,easy
92649-158627-1497748-494830-255346-698733-616525-82782,55838-60973-83631-25426-238675-109724-58681-65403,25762-63806-55325-36393-19606-12976-6666-8249,5051-21645-4633-30820-10165-3038-10124-5638,5743-10668-11491-28739-11875-5862-16936-16643,4468-8541-14864-11212-8963-6138-38765-18853,2003-5112-12011-7596-4301-7026-66361-10105,883-1410-10609-3604-5121-4953-33854-5853,easy
158627-1497748-494830-255346-698733-616525-82782-111690,60973-83631-25426-238675-109724-58681-65403-11730,63806-55325-36393-19606-12976-6666-8249-3188,21645-4633-30820-10165-3038-10124-5638-3133,10668-11491-28739-11875-5862-16936-16643-877,8541-14864-11212-8963-6138-38765-18853-786,5112-12011-7596-4301-7026-66361-10105-482,1410-10609-3604-5121-4953-33854-5853-330,easy
1497748-494830-255346-698733-616525-82782-111690-197190,83631-25426-238675-109724-58681-65403-11730-41472,55325-36393-19606-12976-6666-8249-3188-16910,4633-30820-10165-3038-10124-5638-3133-6243,11491-28739-11875-5862-16936-16643-877-4874,14864-11212-8963-6138-38765-18853-786-1598,12011-7596-4301-7026-66361-10105-482-1980,10609-3604-5121-4953-33854-5853-330-849,easy
494830-255346-698733-616525-82782-111690-197190-222717,25426-238675-109724-58681-65403-11730-41472-34488,36393-19606-12976-6666-8249-3188-16910-16426,30820-10165-3038-10124-5638-3133-6243-14628,28739-11875-5862-16936-16643-877-4874-10528,11212-8963-6138-38765-18853-786-1598-9772,7596-4301-7026-66361-10105-482-1980-8185,3604-5121-4953-33854-5853-330-849-2111,easy
