delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
1779-51355-112517-59880-52683-151100-8037-11240,11275-19713-9382-80261-43302-23344-6929-7528,2135-9968-1020-27817-14382-3958-3771-5218,4222-729-1570-3629-13216-1992-1118-18764,12702-3082-3499-9089-8112-3755-5612-8745,23082-4343-14779-11470-14345-2683-7197-34797,8042-1911-4050-2282-16792-2266-2457-7669,4866-2858-3199-1678-15206-2286-1376-5859,easy
51355-112517-59880-52683-151100-8037-11240-62750,19713-9382-80261-43302-23344-6929-7528-30353,9968-1020-27817-14382-3958-3771-5218-29549,729-1570-3629-13216-1992-1118-18764-21251,3082-3499-9089-8112-3755-5612-8745-22877,4343-14779-11470-14345-2683-7197-34797-13895,1911-4050-2282-16792-2266-2457-7669-6617,2858-3199-1678-15206-2286-1376-5859-4660,easy
112517-59880-52683-151100-8037-11240-62750-92375,9382-80261-43302-23344-6929-7528-30353-47425,1020-27817-14382-3958-3771-5218-29549-3967,1570-3629-13216-1992-1118-18764-21251-1691,3499-9089-8112-3755-5612-8745-22877-17823,14779-11470-14345-2683-7197-34797-13895-4596,4050-2282-16792-2266-2457-7669-6617-4724,3199-1678-15206-2286-1376-5859-4660-1634,easy
59880-52683-151100-8037-11240-62750-92375-15669,80261-43302-23344-6929-7528-30353-47425-5471,27817-14382-3958-3771-5218-29549-3967-7482,3629-13216-1992-1118-18764-21251-1691-7563,9089-8112-3755-5612-8745-22877-17823-12174,11470-14345-2683-7197-34797-13895-4596-13677,2282-16792-2266-2457-7669-6617-4724-6818,1678-15206-2286-1376-5859-4660-1634-3193,easy
52683-151100-8037-11240-62750-92375-15669-3575,43302-23344-6929-7528-30353-47425-5471-8611,14382-3958-3771-5218-29549-3967-7482-3289,13216-1992-1118-18764-21251-1691-7563-3284,8112-3755-5612-8745-22877-17823-12174-2831,14345-2683-7197-34797-13895-4596-13677-36971,16792-2266-2457-7669-6617-4724-6818-5409,15206-2286-1376-5859-4660-1634-3193-8724,easy
151100-8037-11240-62750-92375-15669-3575-3795,23344-6929-7528-30353-47425-5471-8611-7538,3958-3771-5218-29549-3967-7482-3289-6781,1992-1118-18764-21251-1691-7563-3284-6808,3755-5612-8745-22877-17823-12174-2831-3760,2683-7197-34797-13895-4596-13677-36971-31932,2266-2457-7669-6617-4724-6818-5409-9454,2286-1376-5859-4660-1634-3193-8724-5983,easy
8037-11240-62750-92375-15669-3575-3795-5586,6929-7528-30353-47425-5471-8611-7538-11313,3771-5218-29549-3967-7482-3289-6781-2683,1118-18764-21251-1691-7563-3284-6808-6858,5612-8745-22877-17823-12174-2831-3760-20978,7197-34797-13895-4596-13677-36971-31932-33741,2457-7669-6617-4724-6818-5409-9454-9676,1376-5859-4660-1634-3193-8724-5983-7911,easy
11240-62750-92375-15669-3575-3795-5586-10042,7528-30353-47425-5471-8611-7538-11313-27067,5218-29549-3967-7482-3289-6781-2683-9164,18764-21251-1691-7563-3284-6808-6858-10170,8745-22877-17823-12174-2831-3760-20978-11607,34797-13895-4596-13677-36971-31932-33741-38053,7669-6617-4724-6818-5409-9454-9676-14439,5859-4660-1634-3193-8724-5983-7911-7690,easy
62750-92375-15669-3575-3795-5586-10042-36928,30353-47425-5471-8611-7538-11313-27067-100040,29549-3967-7482-3289-6781-2683-9164-6608,21251-1691-7563-3284-6808-6858-10170-29404,22877-17823-12174-2831-3760-20978-11607-21088,13895-4596-13677-36971-31932-33741-38053-20597,6617-4724-6818-5409-9454-9676-14439-10270,4660-1634-3193-8724-5983-7911-7690-14190,easy
92375-15669-3575-3795-5586-10042-36928-40428,47425-5471-8611-7538-11313-27067-100040-13650,3967-7482-3289-6781-2683-9164-6608-4758,1691-7563-3284-6808-6858-10170-29404-56132,17823-12174-2831-3760-20978-11607-21088-44882,4596-13677-36971-31932-33741-38053-20597-35062,4724-6818-5409-9454-9676-14439-10270-13011,1634-3193-8724-5983-7911-7690-14190-8674,easy
15669-3575-3795-5586-10042-36928-40428-1057637,5471-8611-7538-11313-27067-100040-13650-48805,7482-3289-6781-2683-9164-6608-4758-19448,7563-3284-6808-6858-10170-29404-56132-12609,12174-2831-3760-20978-11607-21088-44882-27421,13677-36971-31932-33741-38053-20597-35062-29458,6818-5409-9454-9676-14439-10270-13011-8346,3193-8724-5983-7911-7690-14190-8674-4374,easy
3575-3795-5586-10042-36928-40428-1057637-9426,8611-7538-11313-27067-100040-13650-48805-12808,3289-6781-2683-9164-6608-4758-19448-2618,3284-6808-6858-10170-29404-56132-12609-2968,2831-3760-20978-11607-21088-44882-27421-7655,36971-31932-33741-38053-20597-35062-29458-4766,5409-9454-9676-14439-10270-13011-8346-2123,8724-5983-7911-7690-14190-8674-4374-1190,easy
3795-5586-10042-36928-40428-1057637-9426-283145,7538-11313-27067-100040-13650-48805-12808-166244,6781-2683-9164-6608-4758-19448-2618-16497,6808-6858-10170-29404-56132-12609-2968-12471,3760-20978-11607-21088-44882-27421-7655-41534,31932-33741-38053-20597-35062-29458-4766-16854,9454-9676-14439-10270-13011-8346-2123-9627,5983-7911-7690-14190-8674-4374-1190-6566,easy
5586-10042-36928-40428-1057637-9426-283145-678399,11313-27067-100040-13650-48805-12808-166244-46677,2683-9164-6608-4758-19448-2618-16497-5721,6858-10170-29404-56132-12609-2968-12471-37898,20978-11607-21088-44882-27421-7655-41534-13343,33741-38053-20597-35062-29458-4766-16854-25275,9676-14439-10270-13011-8346-2123-9627-14002,7911-7690-14190-8674-4374-1190-6566-11962,easy
10042-36928-40428-1057637-9426-283145-678399-24767,27067-100040-13650-48805-12808-166244-46677-27171,9164-6608-4758-19448-2618-16497-5721-2583,10170-29404-56132-12609-2968-12471-37898-3452,11607-21088-44882-27421-7655-41534-13343-1377,38053-20597-35062-29458-4766-16854-25275-6900,14439-10270-13011-8346-2123-9627-14002-2073,7690-14190-8674-4374-1190-6566-11962-2570,easy
36928-40428-1057637-9426-283145-678399-24767-69080,100040-13650-48805-12808-166244-46677-27171-16555,6608-4758-19448-2618-16497-5721-2583-13974,29404-56132-12609-2968-12471-37898-3452-23100,21088-44882-27421-7655-41534-13343-1377-7878,20597-35062-29458-4766-16854-25275-6900-14526,10270-13011-8346-2123-9627-14002-2073-6591,14190-8674-4374-1190-6566-11962-2570-10515,easy
40428-1057637-9426-283145-678399-24767-69080-29160,13650-48805-12808-166244-46677-27171-16555-24453,4758-19448-2618-16497-5721-2583-13974-7044,56132-12609-2968-12471-37898-3452-23100-18606,44882-27421-7655-41534-13343-1377-7878-12821,35062-29458-4766-16854-25275-6900-14526-9154,13011-8346-2123-9627-14002-2073-6591-5133,8674-4374-1190-6566-11962-2570-10515-2693,easy
1057637-9426-283145-678399-24767-69080-29160-68152,48805-12808-166244-46677-27171-16555-24453-23304,19448-2618-16497-5721-2583-13974-7044-4816,12609-2968-12471-37898-3452-23100-18606-7266,27421-7655-41534-13343-1377-7878-12821-2122,29458-4766-16854-25275-6900-14526-9154-2224,8346-2123-9627-14002-2073-6591-5133-1185,4374-1190-6566-11962-2570-10515-2693-2337,easy
