delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
726347-51069-116878-129444-41326-212600-137971-222756,71960-14645-45719-35108-50577-86208-108094-25376,14750-11530-2481-13108-4283-43897-953-2805,7461-11276-2674-4819-12122-13213-2625-1486,2924-15521-2557-13928-5535-6441-2115-2277,3692-22737-4883-3252-10127-2948-1614-762,3342-10440-2089-4727-7673-1614-1272-360,2441-12469-1148-1978-2908-759-1083-191,easy
51069-116878-129444-41326-212600-137971-222756-70006,14645-45719-35108-50577-86208-108094-25376-36282,11530-2481-13108-4283-43897-953-2805-10787,11276-2674-4819-12122-13213-2625-1486-26839,15521-2557-13928-5535-6441-2115-2277-5310,22737-4883-3252-10127-2948-1614-762-5460,10440-2089-4727-7673-1614-1272-360-4420,12469-1148-1978-2908-759-1083-191-6606,easy
116878-129444-41326-212600-137971-222756-70006-13297,45719-35108-50577-86208-108094-25376-36282-56834,2481-13108-4283-43897-953-2805-10787-4133,2674-4819-12122-13213-2625-1486-26839-7491,2557-13928-5535-6441-2115-2277-5310-7960,4883-3252-10127-2948-1614-762-5460-8237,2089-4727-7673-1614-1272-360-4420-1762,1148-1978-2908-759-1083-191-6606-1760,easy
129444-41326-212600-137971-222756-70006-13297-73015,35108-50577-86208-108094-25376-36282-56834-87323,13108-4283-43897-953-2805-10787-4133-13827,4819-12122-13213-2625-1486-26839-7491-19529,13928-5535-6441-2115-2277-5310-7960-9832,3252-10127-2948-1614-762-5460-8237-5142,4727-7673-1614-1272-360-4420-1762-6002,1978-2908-759-1083-191-6606-1760-2872,easy
41326-212600-137971-222756-70006-13297-73015-25890,50577-86208-108094-25376-36282-56834-87323-18329,4283-43897-953-2805-10787-4133-13827-14116,12122-13213-2625-1486-26839-7491-19529-16946,5535-6441-2115-2277-5310-7960-9832-6025,10127-2948-1614-762-5460-8237-5142-5572,7673-1614-1272-360-4420-1762-6002-4129,2908-759-1083-191-6606-1760-2872-2526,easy
212600-137971-222756-70006-13297-73015-25890-308258,86208-108094-25376-36282-56834-87323-18329-27930,43897-953-2805-10787-4133-13827-14116-7678,13213-2625-1486-26839-7491-19529-16946-4213,6441-2115-2277-5310-7960-9832-6025-3011,2948-1614-762-5460-8237-5142-5572-2690,1614-1272-360-4420-1762-6002-4129-1303,759-1083-191-6606-1760-2872-2526-1525,easy
137971-222756-70006-13297-73015-25890-308258-12783,108094-25376-36282-56834-87323-18329-27930-28696,953-2805-10787-4133-13827-14116-7678-3109,2625-1486-26839-7491-19529-16946-4213-2560,2115-2277-5310-7960-9832-6025-3011-3338,1614-762-5460-8237-5142-5572-2690-669,1272-360-4420-1762-6002-4129-1303-775,1083-191-6606-1760-2872-2526-1525-610,easy
222756-70006-13297-73015-25890-308258-12783-26583,25376-36282-56834-87323-18329-27930-28696-19750,2805-10787-4133-13827-14116-7678-3109-7199,1486-26839-7491-19529-16946-4213-2560-12985,2277-5310-7960-9832-6025-3011-3338-2944,762-5460-8237-5142-5572-2690-669-4297,360-4420-1762-6002-4129-1303-775-640,191-6606-1760-2872-2526-1525-610-504,easy
70006-13297-73015-25890-308258-12783-26583-193398,36282-56834-87323-18329-27930-28696-19750-42649,10787-4133-13827-14116-7678-3109-7199-4120,26839-7491-19529-16946-4213-2560-12985-25865,5310-7960-9832-6025-3011-3338-2944-19304,5460-8237-5142-5572-2690-669-4297-7369,4420-1762-6002-4129-1303-775-640-6174,6606-1760-2872-2526-1525-610-504-5450,easy
13297-73015-25890-308258-12783-26583-193398-90787,56834-87323-18329-27930-28696-19750-42649-26233,4133-13827-14116-7678-3109-7199-4120-8316,7491-19529-16946-4213-2560-12985-25865-4847,7960-9832-6025-3011-3338-2944-19304-1301,8237-5142-5572-2690-669-4297-7369-1597,1762-6002-4129-1303-775-640-6174-982,1760-2872-2526-1525-610-504-5450-442,easy
73015-25890-308258-12783-26583-193398-90787-166040,87323-18329-27930-28696-19750-42649-26233-77384,13827-14116-7678-3109-7199-4120-8316-22043,19529-16946-4213-2560-12985-25865-4847-10631,9832-6025-3011-3338-2944-19304-1301-10819,5142-5572-2690-669-4297-7369-1597-9850,6002-4129-1303-775-640-6174-982-1700,2872-2526-1525-610-504-5450-442-732,easy
25890-308258-12783-26583-193398-90787-166040-133997,18329-27930-28696-19750-42649-26233-77384-38199,14116-7678-3109-7199-4120-8316-22043-13083,16946-4213-2560-12985-25865-4847-10631-6374,6025-3011-3338-2944-19304-1301-10819-6765,5572-2690-669-4297-7369-1597-9850-2630,4129-1303-775-640-6174-982-1700-1381,2526-1525-610-504-5450-442-732-365,easy
308258-12783-26583-193398-90787-166040-133997-184874,27930-28696-19750-42649-26233-77384-38199-87306,7678-3109-7199-4120-8316-22043-13083-4227,4213-2560-12985-25865-4847-10631-6374-5083,3011-3338-2944-19304-1301-10819-6765-8100,2690-669-4297-7369-1597-9850-2630-2758,1303-775-640-6174-982-1700-1381-2885,1525-610-504-5450-442-732-365-2776,easy
12783-26583-193398-90787-166040-133997-184874-510537,28696-19750-42649-26233-77384-38199-87306-32794,3109-7199-4120-8316-22043-13083-4227-5658,2560-12985-25865-4847-10631-6374-5083-12096,3338-2944-19304-1301-10819-6765-8100-8908,669-4297-7369-1597-9850-2630-2758-8922,775-640-6174-982-1700-1381-2885-3047,610-504-5450-442-732-365-2776-5104,easy
26583-193398-90787-166040-133997-184874-510537-117203,19750-42649-26233-77384-38199-87306-32794-28267,7199-4120-8316-22043-13083-4227-5658-7166,12985-25865-4847-10631-6374-5083-12096-4042,2944-19304-1301-10819-6765-8100-8908-1325,4297-7369-1597-9850-2630-2758-8922-1043,640-6174-982-1700-1381-2885-3047-758,504-5450-442-732-365-2776-5104-525,easy
193398-90787-166040-133997-184874-510537-117203-234262,42649-26233-77384-38199-87306-32794-28267-131865,4120-8316-22043-13083-4227-5658-7166-16382,25865-4847-10631-6374-5083-12096-4042-8186,19304-1301-10819-6765-8100-8908-1325-19116,7369-1597-9850-2630-2758-8922-1043-5437,6174-982-1700-1381-2885-3047-758-3940,5450-442-732-365-2776-5104-525-4109,easy
90787-166040-133997-184874-510537-117203-234262-150918,26233-77384-38199-87306-32794-28267-131865-111634,8316-22043-13083-4227-5658-7166-16382-39390,4847-10631-6374-5083-12096-4042-8186-34841,1301-10819-6765-8100-8908-1325-19116-18466,1597-9850-2630-2758-8922-1043-5437-8485,982-1700-1381-2885-3047-758-3940-8613,442-732-365-2776-5104-525-4109-5613,easy
166040-133997-184874-510537-117203-234262-150918-472655,77384-38199-87306-32794-28267-131865-111634-41590,22043-13083-4227-5658-7166-16382-39390-8427,10631-6374-5083-12096-4042-8186-34841-18835,10819-6765-8100-8908-1325-19116-18466-16203,9850-2630-2758-8922-1043-5437-8485-11552,1700-1381-2885-3047-758-3940-8613-4888,732-365-2776-5104-525-4109-5613-2432,easy
133997-184874-510537-117203-234262-150918-472655-415692,38199-87306-32794-28267-131865-111634-41590-61856,13083-4227-5658-7166-16382-39390-8427-19373,6374-5083-12096-4042-8186-34841-18835-7406,6765-8100-8908-1325-19116-18466-16203-4989,2630-2758-8922-1043-5437-8485-11552-6365,1381-2885-3047-758-3940-8613-4888-4833,365-2776-5104-525-4109-5613-2432-2550,easy
184874-510537-117203-234262-150918-472655-415692-1621233,87306-32794-28267-131865-111634-41590-61856-146858,4227-5658-7166-16382-39390-8427-19373-16117,5083-12096-4042-8186-34841-18835-7406-6578,8100-8908-1325-19116-18466-16203-4989-2474,2758-8922-1043-5437-8485-11552-6365-5902,2885-3047-758-3940-8613-4888-4833-3141,2776-5104-525-4109-5613-2432-2550-2191,easy
510537-117203-234262-150918-472655-415692-1621233-664012,32794-28267-131865-111634-41590-61856-146858-27102,5658-7166-16382-39390-8427-19373-16117-7796,12096-4042-8186-34841-18835-7406-6578-17356,8908-1325-19116-18466-16203-4989-2474-3014,8922-1043-5437-8485-11552-6365-5902-1888,3047-758-3940-8613-4888-4833-3141-2573,5104-525-4109-5613-2432-2550-2191-1141,easy
117203-234262-150918-472655-415692-1621233-664012-305299,28267-131865-111634-41590-61856-146858-27102-50466,7166-16382-39390-8427-19373-16117-7796-23026,4042-8186-34841-18835-7406-6578-17356-2560,1325-19116-18466-16203-4989-2474-3014-2888,1043-5437-8485-11552-6365-5902-1888-3019,758-3940-8613-4888-4833-3141-2573-599,525-4109-5613-2432-2550-2191-1141-604,easy
