delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
96111-1425733-709713-1586136-55898-90103-154342-21525,57908-1122161-257509-40997-43679-68368-142794-40810,23732-27352-15362-16727-11749-14950-29369-5040,38548-25130-9367-7532-2478-14236-29621-2394,8540-17628-13078-3437-1361-8196-9596-1857,11060-27258-9526-2963-3162-6462-10051-931,6119-10181-2434-809-1107-6645-2583-751,2384-4075-1090-1523-940-5341-3163-609,easy
1425733-709713-1586136-55898-90103-154342-21525-88808,1122161-257509-40997-43679-68368-142794-40810-70253,27352-15362-16727-11749-14950-29369-5040-3295,25130-9367-7532-2478-14236-29621-2394-5688,17628-13078-3437-1361-8196-9596-1857-6056,27258-9526-2963-3162-6462-10051-931-10308,10181-2434-809-1107-6645-2583-751-2571,4075-1090-1523-940-5341-3163-609-1555,easy
709713-1586136-55898-90103-154342-21525-88808-6799,257509-40997-43679-68368-142794-40810-70253-15500,15362-16727-11749-14950-29369-5040-3295-17686,9367-7532-2478-14236-29621-2394-5688-24925,13078-3437-1361-8196-9596-1857-6056-7496,9526-2963-3162-6462-10051-931-10308-4073,2434-809-1107-6645-2583-751-2571-3451,1090-1523-940-5341-3163-609-1555-4084,easy
1586136-55898-90103-154342-21525-88808-6799-41027,40997-43679-68368-142794-40810-70253-15500-53939,16727-11749-14950-29369-5040-3295-17686-675,7532-2478-14236-29621-2394-5688-24925-7338,3437-1361-8196-9596-1857-6056-7496-9902,2963-3162-6462-10051-931-10308-4073-10523,809-1107-6645-2583-751-2571-3451-2560,1523-940-5341-3163-609-1555-4084-3448,easy
55898-90103-154342-21525-88808-6799-41027-403135,43679-68368-142794-40810-70253-15500-53939-67085,11749-14950-29369-5040-3295-17686-675-44077,2478-14236-29621-2394-5688-24925-7338-29935,1361-8196-9596-1857-6056-7496-9902-26231,3162-6462-10051-931-10308-4073-10523-18512,1107-6645-2583-751-2571-3451-2560-5451,940-5341-3163-609-1555-4084-3448-2433,easy
90103-154342-21525-88808-6799-41027-403135-100730,68368-142794-40810-70253-15500-53939-67085-16475,14950-29369-5040-3295-17686-675-44077-2782,14236-29621-2394-5688-24925-7338-29935-10953,8196-9596-1857-6056-7496-9902-26231-12094,6462-10051-931-10308-4073-10523-18512-8404,6645-2583-751-2571-3451-2560-5451-1197,5341-3163-609-1555-4084-3448-2433-1943,easy
154342-21525-88808-6799-41027-403135-100730-51910,142794-40810-70253-15500-53939-67085-16475-41847,29369-5040-3295-17686-675-44077-2782-21801,29621-2394-5688-24925-7338-29935-10953-21418,9596-1857-6056-7496-9902-26231-12094-5228,10051-931-10308-4073-10523-18512-8404-8634,2583-751-2571-3451-2560-5451-1197-1323,3163-609-1555-4084-3448-2433-1943-1162,easy
21525-88808-6799-41027-403135-100730-51910-196015,40810-70253-15500-53939-67085-16475-41847-218869,5040-3295-17686-675-44077-2782-21801-15639,2394-5688-24925-7338-29935-10953-21418-22204,1857-6056-7496-9902-26231-12094-5228-7884,931-10308-4073-10523-18512-8404-8634-3164,751-2571-3451-2560-5451-1197-1323-2706,609-1555-4084-3448-2433-1943-1162-2243,easy
88808-6799-41027-403135-100730-51910-196015-1591903,70253-15500-53939-67085-16475-41847-218869-523231,3295-17686-675-44077-2782-21801-15639-48339,5688-24925-7338-29935-10953-21418-22204-47179,6056-7496-9902-26231-12094-5228-7884-23362,10308-4073-10523-18512-8404-8634-3164-17744,2571-3451-2560-5451-1197-1323-2706-9865,1555-4084-3448-2433-1943-1162-2243-3213,easy
6799-41027-403135-100730-51910-196015-1591903-1929562,15500-53939-67085-16475-41847-218869-523231-115243,17686-675-44077-2782-21801-15639-48339-91356,24925-7338-29935-10953-21418-22204-47179-19050,7496-9902-26231-12094-5228-7884-23362-17665,4073-10523-18512-8404-8634-3164-17744-11667,3451-2560-5451-1197-1323-2706-9865-15866,4084-3448-2433-1943-1162-2243-3213-10933,easy
41027-403135-100730-51910-196015-1591903-1929562-159594,53939-67085-16475-41847-218869-523231-115243-12521,675-44077-2782-21801-15639-48339-91356-7189,7338-29935-10953-21418-22204-47179-19050-1326,9902-26231-12094-5228-7884-23362-17665-6513,10523-18512-8404-8634-3164-17744-11667-3033,2560-5451-1197-1323-2706-9865-15866-3177,3448-2433-1943-1162-2243-3213-10933-1147,easy
403135-100730-51910-196015-1591903-1929562-159594-23639,67085-16475-41847-218869-523231-115243-12521-17846,44077-2782-21801-15639-48339-91356-7189-16494,29935-10953-21418-22204-47179-19050-1326-14331,26231-12094-5228-7884-23362-17665-6513-9855,18512-8404-8634-3164-17744-11667-3033-12078,5451-1197-1323-2706-9865-15866-3177-8535,2433-1943-1162-2243-3213-10933-1147-8536,easy
100730-51910-196015-1591903-1929562-159594-23639-142185,16475-41847-218869-523231-115243-12521-17846-39705,2782-21801-15639-48339-91356-7189-16494-4142,10953-21418-22204-47179-19050-1326-14331-6037,12094-5228-7884-23362-17665-6513-9855-937,8404-8634-3164-17744-11667-3033-12078-3341,1197-1323-2706-9865-15866-3177-8535-1050,1943-1162-2243-3213-10933-1147-8536-2887,easy
51910-196015-1591903-1929562-159594-23639-142185-13892,41847-218869-523231-115243-12521-17846-39705-32779,21801-15639-48339-91356-7189-16494-4142-7529,21418-22204-47179-19050-1326-14331-6037-6786,5228-7884-23362-17665-6513-9855-937-5526,8634-3164-17744-11667-3033-12078-3341-9223,1323-2706-9865-15866-3177-8535-1050-3450,1162-2243-3213-10933-1147-8536-2887-3053,easy
196015-1591903-1929562-159594-23639-142185-13892-264590,218869-523231-115243-12521-17846-39705-32779-10622,15639-48339-91356-7189-16494-4142-7529-18162,22204-47179-19050-1326-14331-6037-6786-4702,7884-23362-17665-6513-9855-937-5526-10898,3164-17744-11667-3033-12078-3341-9223-9428,2706-9865-15866-3177-8535-1050-3450-2879,2243-3213-10933-1147-8536-2887-3053-3831,easy
1591903-1929562-159594-23639-142185-13892-264590-679996,523231-115243-12521-17846-39705-32779-10622-91857,48339-91356-7189-16494-4142-7529-18162-13684,47179-19050-1326-14331-6037-6786-4702-7861,23362-17665-6513-9855-937-5526-10898-10859,17744-11667-3033-12078-3341-9223-9428-3913,9865-15866-3177-8535-1050-3450-2879-1038,3213-10933-1147-8536-2887-3053-3831-1434,easy
1929562-159594-23639-142185-13892-264590-679996-106530,115243-12521-17846-39705-32779-10622-91857-47635,91356-7189-16494-4142-7529-18162-13684-17063,19050-1326-14331-6037-6786-4702-7861-13779,17665-6513-9855-937-5526-10898-10859-19306,11667-3033-12078-3341-9223-9428-3913-20682,15866-3177-8535-1050-3450-2879-1038-9825,10933-1147-8536-2887-3053-3831-1434-3994,easy
159594-23639-142185-13892-264590-679996-106530-109960,12521-17846-39705-32779-10622-91857-47635-55259,7189-16494-4142-7529-18162-13684-17063-1611,1326-14331-6037-6786-4702-7861-13779-909,6513-9855-937-5526-10898-10859-19306-5399,3033-12078-3341-9223-9428-3913-20682-1524,3177-8535-1050-3450-2879-1038-9825-362,1147-8536-2887-3053-3831-1434-3994-276,easy
23639-142185-13892-264590-679996-106530-109960-1040985,17846-39705-32779-10622-91857-47635-55259-85243,16494-4142-7529-18162-13684-17063-1611-55856,14331-6037-6786-4702-7861-13779-909-20342,9855-937-5526-10898-10859-19306-5399-11261,12078-3341-9223-9428-3913-20682-1524-8583,8535-1050-3450-2879-1038-9825-362-5322,8536-2887-3053-3831-1434-3994-276-7924,easy
142185-13892-264590-679996-106530-109960-1040985-122805,39705-32779-10622-91857-47635-55259-85243-8220,4142-7529-18162-13684-17063-1611-55856-2474,6037-6786-4702-7861-13779-909-20342-2299,937-5526-10898-10859-19306-5399-11261-899,3341-9223-9428-3913-20682-1524-8583-2073,1050-3450-2879-1038-9825-362-5322-468,2887-3053-3831-1434-3994-276-7924-286,easy
13892-264590-679996-106530-109960-1040985-122805-81762,32779-10622-91857-47635-55259-85243-8220-87569,7529-18162-13684-17063-1611-55856-2474-10707,6786-4702-7861-13779-909-20342-2299-10720,5526-10898-10859-19306-5399-11261-899-5298,9223-9428-3913-20682-1524-8583-2073-8526,3450-2879-1038-9825-362-5322-468-1690,3053-3831-1434-3994-276-7924-286-1163,easy
264590-679996-106530-109960-1040985-122805-81762-14559,10622-91857-47635-55259-85243-8220-87569-1833,18162-13684-17063-1611-55856-2474-10707-1037,4702-7861-13779-909-20342-2299-10720-3201,10898-10859-19306-5399-11261-899-5298-2509,9428-3913-20682-1524-8583-2073-8526-2147,2879-1038-9825-362-5322-468-1690-603,3831-1434-3994-276-7924-286-1163-723,easy
679996-106530-109960-1040985-122805-81762-14559-26439,91857-47635-55259-85243-8220-87569-1833-33620,13684-17063-1611-55856-2474-10707-1037-13990,7861-13779-909-20342-2299-10720-3201-9165,10859-19306-5399-11261-899-5298-2509-13882,3913-20682-1524-8583-2073-8526-2147-10169,1038-9825-362-5322-468-1690-603-2182,1434-3994-276-7924-286-1163-723-3516,easy
106530-109960-1040985-122805-81762-14559-26439-918535,47635-55259-85243-8220-87569-1833-33620-181964,17063-1611-55856-2474-10707-1037-13990-19523,13779-909-20342-2299-10720-3201-9165-35520,19306-5399-11261-899-5298-2509-13882-11305,20682-1524-8583-2073-8526-2147-10169-21069,9825-362-5322-468-1690-603-2182-4815,3994-276-7924-286-1163-723-3516-5655,easy
109960-1040985-122805-81762-14559-26439-918535-12465,55259-85243-8220-87569-1833-33620-181964-21701,1611-55856-2474-10707-1037-13990-19523-17937,909-20342-2299-10720-3201-9165-35520-7263,5399-11261-899-5298-2509-13882-11305-5766,1524-8583-2073-8526-2147-10169-21069-5538,362-5322-468-1690-603-2182-4815-2541,276-7924-286-1163-723-3516-5655-2359,easy
1040985-122805-81762-14559-26439-918535-12465-117688,85243-8220-87569-1833-33620-181964-21701-65329,55856-2474-10707-1037-13990-19523-17937-4424,20342-2299-10720-3201-9165-35520-7263-5215,11261-899-5298-2509-13882-11305-5766-5255,8583-2073-8526-2147-10169-21069-5538-2901,5322-468-1690-603-2182-4815-2541-848,7924-286-1163-723-3516-5655-2359-766,easy
122805-81762-14559-26439-918535-12465-117688-213792,8220-87569-1833-33620-181964-21701-65329-58341,2474-10707-1037-13990-19523-17937-4424-14543,2299-10720-3201-9165-35520-7263-5215-29109,899-5298-2509-13882-11305-5766-5255-33722,2073-8526-2147-10169-21069-5538-2901-60304,468-1690-603-2182-4815-2541-848-9858,286-1163-723-3516-5655-2359-766-10914,easy
