delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
66650-94451-45697-6486-14944-120010-18493-23949,12544-9433-16451-8379-12442-7204-6775-51233,1575-4640-30836-12871-3216-16995-8918-11455,1833-7573-7752-9163-2976-13596-9773-9412,1316-2430-12330-2312-1354-5579-4641-16601,4567-7945-30270-11763-18000-30253-45133-28635,358-855-3238-4378-480-7283-5380-2244,255-911-4151-2718-695-6188-2211-1853,easy
94451-45697-6486-14944-120010-18493-23949-50364,9433-16451-8379-12442-7204-6775-51233-91621,4640-30836-12871-3216-16995-8918-11455-58103,7573-7752-9163-2976-13596-9773-9412-7649,2430-12330-2312-1354-5579-4641-16601-11527,7945-30270-11763-18000-30253-45133-28635-18578,855-3238-4378-480-7283-5380-2244-4622,911-4151-2718-695-6188-2211-1853-2495,easy
45697-6486-14944-120010-18493-23949-50364-18944,16451-8379-12442-7204-6775-51233-91621-32449,30836-12871-3216-16995-8918-11455-58103-6984,7752-9163-2976-13596-9773-9412-7649-821,12330-2312-1354-5579-4641-16601-11527-2312,30270-11763-18000-30253-45133-28635-18578-18861,3238-4378-480-7283-5380-2244-4622-1262,4151-2718-695-6188-2211-1853-2495-1028,easy
6486-14944-120010-18493-23949-50364-18944-132713,8379-12442-7204-6775-51233-91621-32449-7350,12871-3216-16995-8918-11455-58103-6984-875,9163-2976-13596-9773-9412-7649-821-2114,2312-1354-5579-4641-16601-11527-2312-1077,11763-18000-30253-45133-28635-18578-18861-10120,4378-480-7283-5380-2244-4622-1262-855,2718-695-6188-2211-1853-2495-1028-419,easy
14944-120010-18493-23949-50364-18944-132713-38389,12442-7204-6775-51233-91621-32449-7350-27778,3216-16995-8918-11455-58103-6984-875-11178,2976-13596-9773-9412-7649-821-2114-17693,1354-5579-4641-16601-11527-2312-1077-6635,18000-30253-45133-28635-18578-18861-10120-44165,480-7283-5380-2244-4622-1262-855-3392,695-6188-2211-1853-2495-1028-419-2451,easy
120010-18493-23949-50364-18944-132713-38389-24010,7204-6775-51233-91621-32449-7350-27778-6711,16995-8918-11455-58103-6984-875-11178-9360,13596-9773-9412-7649-821-2114-17693-6485,5579-4641-16601-11527-2312-1077-6635-7201,30253-45133-28635-18578-18861-10120-44165-25740,7283-5380-2244-4622-1262-855-3392-4665,6188-2211-1853-2495-1028-419-2451-2787,easy
18493-23949-50364-18944-132713-38389-24010-38503,6775-51233-91621-32449-7350-27778-6711-14268,8918-11455-58103-6984-875-11178-9360-3655,9773-9412-7649-821-2114-17693-6485-12872,4641-16601-11527-2312-1077-6635-7201-3260,45133-28635-18578-18861-10120-44165-25740-22429,5380-2244-4622-1262-855-3392-4665-12564,2211-1853-2495-1028-419-2451-2787-6946,easy
23949-50364-18944-132713-38389-24010-38503-41658,51233-91621-32449-7350-27778-6711-14268-63919,11455-58103-6984-875-11178-9360-3655-12612,9412-7649-821-2114-17693-6485-12872-15992,16601-11527-2312-1077-6635-7201-3260-11306,28635-18578-18861-10120-44165-25740-22429-44553,2244-4622-1262-855-3392-4665-12564-11325,1853-2495-1028-419-2451-2787-6946-6496,easy
50364-18944-132713-38389-24010-38503-41658-15792,91621-32449-7350-27778-6711-14268-63919-49844,58103-6984-875-11178-9360-3655-12612-23837,7649-821-2114-17693-6485-12872-15992-11044,11527-2312-1077-6635-7201-3260-11306-4890,18578-18861-10120-44165-25740-22429-44553-27270,4622-1262-855-3392-4665-12564-11325-14117,2495-1028-419-2451-2787-6946-6496-9788,easy
18944-132713-38389-24010-38503-41658-15792-239167,32449-7350-27778-6711-14268-63919-49844-36975,6984-875-11178-9360-3655-12612-23837-7291,821-2114-17693-6485-12872-15992-11044-3595,2312-1077-6635-7201-3260-11306-4890-2494,18861-10120-44165-25740-22429-44553-27270-6442,1262-855-3392-4665-12564-11325-14117-5108,1028-419-2451-2787-6946-6496-9788-1456,easy
132713-38389-24010-38503-41658-15792-239167-111260,7350-27778-6711-14268-63919-49844-36975-5960,875-11178-9360-3655-12612-23837-7291-7717,2114-17693-6485-12872-15992-11044-3595-1402,1077-6635-7201-3260-11306-4890-2494-4049,10120-44165-25740-22429-44553-27270-6442-9309,855-3392-4665-12564-11325-14117-5108-4510,419-2451-2787-6946-6496-9788-1456-1753,easy
38389-24010-38503-41658-15792-239167-111260-294464,27778-6711-14268-63919-49844-36975-5960-54497,11178-9360-3655-12612-23837-7291-7717-16640,17693-6485-12872-15992-11044-3595-1402-4904,6635-7201-3260-11306-4890-2494-4049-11251,44165-25740-22429-44553-27270-6442-9309-65174,3392-4665-12564-11325-14117-5108-4510-2644,2451-2787-6946-6496-9788-1456-1753-5604,easy
24010-38503-41658-15792-239167-111260-294464-34566,6711-14268-63919-49844-36975-5960-54497-28337,9360-3655-12612-23837-7291-7717-16640-17366,6485-12872-15992-11044-3595-1402-4904-12191,7201-3260-11306-4890-2494-4049-11251-11118,25740-22429-44553-27270-6442-9309-65174-32946,4665-12564-11325-14117-5108-4510-2644-6861,2787-6946-6496-9788-1456-1753-5604-2322,hard
38503-41658-15792-239167-111260-294464-34566-24527,14268-63919-49844-36975-5960-54497-28337-65932,3655-12612-23837-7291-7717-16640-17366-22709,12872-15992-11044-3595-1402-4904-12191-22688,3260-11306-4890-2494-4049-11251-11118-12662,22429-44553-27270-6442-9309-65174-32946-15231,12564-11325-14117-5108-4510-2644-6861-6192,6946-6496-9788-1456-1753-5604-2322-5418,hard
