delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
10764-7673-4537-55193-300871-1071210-1106401-76461,16296-9940-41581-12776-27333-110685-72885-6879,25937-9342-6195-5618-6828-14094-7885-856,8724-6446-9821-5012-2925-26752-21366-678,5340-7930-27040-6662-1295-5150-6046-326,10481-17199-13662-3643-3596-6859-11460-1189,5079-5363-4713-2941-4800-20149-12648-936,3983-2212-6862-3121-1608-9937-6175-997,easy
7673-4537-55193-300871-1071210-1106401-76461-262719,9940-41581-12776-27333-110685-72885-6879-258276,9342-6195-5618-6828-14094-7885-856-49820,6446-9821-5012-2925-26752-21366-678-26416,7930-27040-6662-1295-5150-6046-326-34051,17199-13662-3643-3596-6859-11460-1189-31153,5363-4713-2941-4800-20149-12648-936-40445,2212-6862-3121-1608-9937-6175-997-31175,easy
4537-55193-300871-1071210-1106401-76461-262719-1721036,41581-12776-27333-110685-72885-6879-258276-1033026,6195-5618-6828-14094-7885-856-49820-22168,9821-5012-2925-26752-21366-678-26416-44823,27040-6662-1295-5150-6046-326-34051-22812,13662-3643-3596-6859-11460-1189-31153-35547,4713-2941-4800-20149-12648-936-40445-35037,6862-3121-1608-9937-6175-997-31175-30057,easy
55193-300871-1071210-1106401-76461-262719-1721036-62422,12776-27333-110685-72885-6879-258276-1033026-12359,5618-6828-14094-7885-856-49820-22168-5485,5012-2925-26752-21366-678-26416-44823-993,6662-1295-5150-6046-326-34051-22812-771,3643-3596-6859-11460-1189-31153-35547-2667,2941-4800-20149-12648-936-40445-35037-3635,3121-1608-9937-6175-997-31175-30057-1133,easy
300871-1071210-1106401-76461-262719-1721036-62422-109936,27333-110685-72885-6879-258276-1033026-12359-31617,6828-14094-7885-856-49820-22168-5485-22976,2925-26752-21366-678-26416-44823-993-4539,1295-5150-6046-326-34051-22812-771-14100,3596-6859-11460-1189-31153-35547-2667-11930,4800-20149-12648-936-40445-35037-3635-9092,1608-9937-6175-997-31175-30057-1133-2685,easy
1071210-1106401-76461-262719-1721036-62422-109936-690358,110685-72885-6879-258276-1033026-12359-31617-38735,14094-7885-856-49820-22168-5485-22976-51734,26752-21366-678-26416-44823-993-4539-11927,5150-6046-326-34051-22812-771-14100-19848,6859-11460-1189-31153-35547-2667-11930-31550,20149-12648-936-40445-35037-3635-9092-24576,9937-6175-997-31175-30057-1133-2685-30355,easy
1106401-76461-262719-1721036-62422-109936-690358-133689,72885-6879-258276-1033026-12359-31617-38735-10291,7885-856-49820-22168-5485-22976-51734-1578,21366-678-26416-44823-993-4539-11927-2774,6046-326-34051-22812-771-14100-19848-1982,11460-1189-31153-35547-2667-11930-31550-9129,12648-936-40445-35037-3635-9092-24576-6110,6175-997-31175-30057-1133-2685-30355-2349,easy
76461-262719-1721036-62422-109936-690358-133689-14359,6879-258276-1033026-12359-31617-38735-10291-21145,856-49820-22168-5485-22976-51734-1578-16155,678-26416-44823-993-4539-11927-2774-7260,326-34051-22812-771-14100-19848-1982-29788,1189-31153-35547-2667-11930-31550-9129-55985,936-40445-35037-3635-9092-24576-6110-67489,997-31175-30057-1133-2685-30355-2349-11014,easy
262719-1721036-62422-109936-690358-133689-14359-150116,258276-1033026-12359-31617-38735-10291-21145-8595,49820-22168-5485-22976-51734-1578-16155-1521,26416-44823-993-4539-11927-2774-7260-4723,34051-22812-771-14100-19848-1982-29788-3922,31153-35547-2667-11930-31550-9129-55985-17014,40445-35037-3635-9092-24576-6110-67489-5748,31175-30057-1133-2685-30355-2349-11014-6089,easy
1721036-62422-109936-690358-133689-14359-150116-1151068,1033026-12359-31617-38735-10291-21145-8595-465136,22168-5485-22976-51734-1578-16155-1521-87343,44823-993-4539-11927-2774-7260-4723-160363,22812-771-14100-19848-1982-29788-3922-57250,35547-2667-11930-31550-9129-55985-17014-127623,35037-3635-9092-24576-6110-67489-5748-50785,30057-1133-2685-30355-2349-11014-6089-19936,easy
