delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
97327-233854-305205-611212-1103092-672250-254241-157538,10726-224198-126622-153438-439974-110856-80218-7852,1445-16770-1236-13699-89766-27253-28718-737,4377-52556-12303-28745-34208-21709-10363-3788,688-5911-6666-20668-40923-11157-17016-1414,1727-18958-19343-26347-44243-40049-35934-2526,2047-7386-20935-18387-21501-25496-17886-1188,3513-11668-6637-29685-19714-8237-15304-1110,easy
233854-305205-611212-1103092-672250-254241-157538-2755858,224198-126622-153438-439974-110856-80218-7852-318166,16770-1236-13699-89766-27253-28718-737-10631,52556-12303-28745-34208-21709-10363-3788-57089,5911-6666-20668-40923-11157-17016-1414-14843,18958-19343-26347-44243-40049-35934-2526-34252,7386-20935-18387-21501-25496-17886-1188-18808,11668-6637-29685-19714-8237-15304-1110-38818,easy
305205-611212-1103092-672250-254241-157538-2755858-65628,126622-153438-439974-110856-80218-7852-318166-38846,1236-13699-89766-27253-28718-737-10631-3256,12303-28745-34208-21709-10363-3788-57089-12561,6666-20668-40923-11157-17016-1414-14843-15273,19343-26347-44243-40049-35934-2526-34252-8019,20935-18387-21501-25496-17886-1188-18808-6915,6637-29685-19714-8237-15304-1110-38818-3563,easy
611212-1103092-672250-254241-157538-2755858-65628-1462891,153438-439974-110856-80218-7852-318166-38846-28396,13699-89766-27253-28718-737-10631-3256-33368,28745-34208-21709-10363-3788-57089-12561-20980,20668-40923-11157-17016-1414-14843-15273-18902,26347-44243-40049-35934-2526-34252-8019-25017,18387-21501-25496-17886-1188-18808-6915-28173,29685-19714-8237-15304-1110-38818-3563-13182,easy
1103092-672250-254241-157538-2755858-65628-1462891-174593,439974-110856-80218-7852-318166-38846-28396-36928,89766-27253-28718-737-10631-3256-33368-14482,34208-21709-10363-3788-57089-12561-20980-3764,40923-11157-17016-1414-14843-15273-18902-6548,44243-40049-35934-2526-34252-8019-25017-28180,21501-25496-17886-1188-18808-6915-28173-12642,19714-8237-15304-1110-38818-3563-13182-3786,easy
672250-254241-157538-2755858-65628-1462891-174593-161553,110856-80218-7852-318166-38846-28396-36928-15674,27253-28718-737-10631-3256-33368-14482-18756,21709-10363-3788-57089-12561-20980-3764-28977,11157-17016-1414-14843-15273-18902-6548-22776,40049-35934-2526-34252-8019-25017-28180-17660,25496-17886-1188-18808-6915-28173-12642-21166,8237-15304-1110-38818-3563-13182-3786-21206,easy
254241-157538-2755858-65628-1462891-174593-161553-120648,80218-7852-318166-38846-28396-36928-15674-45444,28718-737-10631-3256-33368-14482-18756-13894,10363-3788-57089-12561-20980-3764-28977-2411,17016-1414-14843-15273-18902-6548-22776-7307,35934-2526-34252-8019-25017-28180-17660-5857,17886-1188-18808-6915-28173-12642-21166-2577,15304-1110-38818-3563-13182-3786-21206-3521,easy
157538-2755858-65628-1462891-174593-161553-120648-1026222,7852-318166-38846-28396-36928-15674-45444-104835,737-10631-3256-33368-14482-18756-13894-49284,3788-57089-12561-20980-3764-28977-2411-5998,1414-14843-15273-18902-6548-22776-7307-23064,2526-34252-8019-25017-28180-17660-5857-26709,1188-18808-6915-28173-12642-21166-2577-25187,1110-38818-3563-13182-3786-21206-3521-14607,easy
2755858-65628-1462891-174593-161553-120648-1026222-225615,318166-38846-28396-36928-15674-45444-104835-47097,10631-3256-33368-14482-18756-13894-49284-11266,57089-12561-20980-3764-28977-2411-5998-19092,14843-15273-18902-6548-22776-7307-23064-10259,34252-8019-25017-28180-17660-5857-26709-10055,18808-6915-28173-12642-21166-2577-25187-3159,38818-3563-13182-3786-21206-3521-14607-2037,easy
65628-1462891-174593-161553-120648-1026222-225615-92448,38846-28396-36928-15674-45444-104835-47097-149251,3256-33368-14482-18756-13894-49284-11266-35643,12561-20980-3764-28977-2411-5998-19092-15572,15273-18902-6548-22776-7307-23064-10259-16109,8019-25017-28180-17660-5857-26709-10055-42822,6915-28173-12642-21166-2577-25187-3159-15765,3563-13182-3786-21206-3521-14607-2037-8339,easy
1462891-174593-161553-120648-1026222-225615-92448-175324,28396-36928-15674-45444-104835-47097-149251-128138,33368-14482-18756-13894-49284-11266-35643-7143,20980-3764-28977-2411-5998-19092-15572-4186,18902-6548-22776-7307-23064-10259-16109-2118,25017-28180-17660-5857-26709-10055-42822-6739,28173-12642-21166-2577-25187-3159-15765-4375,13182-3786-21206-3521-14607-2037-8339-2675,easy
174593-161553-120648-1026222-225615-92448-175324-131059,36928-15674-45444-104835-47097-149251-128138-107774,14482-18756-13894-49284-11266-35643-7143-14721,3764-28977-2411-5998-19092-15572-4186-6311,6548-22776-7307-23064-10259-16109-2118-3272,28180-17660-5857-26709-10055-42822-6739-6761,12642-21166-2577-25187-3159-15765-4375-4597,3786-21206-3521-14607-2037-8339-2675-3001,easy
161553-120648-1026222-225615-92448-175324-131059-376604,15674-45444-104835-47097-149251-128138-107774-71047,18756-13894-49284-11266-35643-7143-14721-31332,28977-2411-5998-19092-15572-4186-6311-25362,22776-7307-23064-10259-16109-2118-3272-8657,17660-5857-26709-10055-42822-6739-6761-21584,21166-2577-25187-3159-15765-4375-4597-11974,21206-3521-14607-2037-8339-2675-3001-11927,easy
120648-1026222-225615-92448-175324-131059-376604-514397,45444-104835-47097-149251-128138-107774-71047-149458,13894-49284-11266-35643-7143-14721-31332-48084,2411-5998-19092-15572-4186-6311-25362-19783,7307-23064-10259-16109-2118-3272-8657-11427,5857-26709-10055-42822-6739-6761-21584-31358,2577-25187-3159-15765-4375-4597-11974-18660,3521-14607-2037-8339-2675-3001-11927-8400,easy
1026222-225615-92448-175324-131059-376604-514397-287213,104835-47097-149251-128138-107774-71047-149458-24378,49284-11266-35643-7143-14721-31332-48084-3608,5998-19092-15572-4186-6311-25362-19783-1929,23064-10259-16109-2118-3272-8657-11427-9796,26709-10055-42822-6739-6761-21584-31358-4077,25187-3159-15765-4375-4597-11974-18660-9110,14607-2037-8339-2675-3001-11927-8400-2859,easy
225615-92448-175324-131059-376604-514397-287213-28370,47097-149251-128138-107774-71047-149458-24378-30130,11266-35643-7143-14721-31332-48084-3608-3106,19092-15572-4186-6311-25362-19783-1929-11290,10259-16109-2118-3272-8657-11427-9796-9124,10055-42822-6739-6761-21584-31358-4077-10369,3159-15765-4375-4597-11974-18660-9110-8146,2037-8339-2675-3001-11927-8400-2859-1023,easy
92448-175324-131059-376604-514397-287213-28370-1099958,149251-128138-107774-71047-149458-24378-30130-92805,35643-7143-14721-31332-48084-3608-3106-32079,15572-4186-6311-25362-19783-1929-11290-16904,16109-2118-3272-8657-11427-9796-9124-35998,42822-6739-6761-21584-31358-4077-10369-38241,15765-4375-4597-11974-18660-9110-8146-13520,8339-2675-3001-11927-8400-2859-1023-12292,easy
175324-131059-376604-514397-287213-28370-1099958-964678,128138-107774-71047-149458-24378-30130-92805-437559,7143-14721-31332-48084-3608-3106-32079-12774,4186-6311-25362-19783-1929-11290-16904-9830,2118-3272-8657-11427-9796-9124-35998-16718,6739-6761-21584-31358-4077-10369-38241-10874,4375-4597-11974-18660-9110-8146-13520-11503,2675-3001-11927-8400-2859-1023-12292-4979,easy
131059-376604-514397-287213-28370-1099958-964678-608779,107774-71047-149458-24378-30130-92805-437559-54058,14721-31332-48084-3608-3106-32079-12774-13406,6311-25362-19783-1929-11290-16904-9830-51931,3272-8657-11427-9796-9124-35998-16718-36549,6761-21584-31358-4077-10369-38241-10874-33054,4597-11974-18660-9110-8146-13520-11503-30910,3001-11927-8400-2859-1023-12292-4979-25882,easy
376604-514397-287213-28370-1099958-964678-608779-178525,71047-149458-24378-30130-92805-437559-54058-12274,31332-48084-3608-3106-32079-12774-13406-3878,25362-19783-1929-11290-16904-9830-51931-4569,8657-11427-9796-9124-35998-16718-36549-2510,21584-31358-4077-10369-38241-10874-33054-1647,11974-18660-9110-8146-13520-11503-30910-1998,11927-8400-2859-1023-12292-4979-25882-1673,easy
514397-287213-28370-1099958-964678-608779-178525-208410,149458-24378-30130-92805-437559-54058-12274-15633,48084-3608-3106-32079-12774-13406-3878-2738,19783-1929-11290-16904-9830-51931-4569-1433,11427-9796-9124-35998-16718-36549-2510-6363,31358-4077-10369-38241-10874-33054-1647-10812,18660-9110-8146-13520-11503-30910-1998-5932,8400-2859-1023-12292-4979-25882-1673-1946,easy
287213-28370-1099958-964678-608779-178525-208410-1659072,24378-30130-92805-437559-54058-12274-15633-714276,3608-3106-32079-12774-13406-3878-2738-11703,1929-11290-16904-9830-51931-4569-1433-14563,9796-9124-35998-16718-36549-2510-6363-32652,4077-10369-38241-10874-33054-1647-10812-56120,9110-8146-13520-11503-30910-1998-5932-20629,2859-1023-12292-4979-25882-1673-1946-30137,hard
28370-1099958-964678-608779-178525-208410-1659072-46217,30130-92805-437559-54058-12274-15633-714276-13496,3106-32079-12774-13406-3878-2738-11703-2259,11290-16904-9830-51931-4569-1433-14563-5233,9124-35998-16718-36549-2510-6363-32652-5600,10369-38241-10874-33054-1647-10812-56120-5363,8146-13520-11503-30910-1998-5932-20629-1369,1023-12292-4979-25882-1673-1946-30137-2700,easy
1099958-964678-608779-178525-208410-1659072-46217-583048,92805-437559-54058-12274-15633-714276-13496-7901,32079-12774-13406-3878-2738-11703-2259-2016,16904-9830-51931-4569-1433-14563-5233-1815,35998-16718-36549-2510-6363-32652-5600-6058,38241-10874-33054-1647-10812-56120-5363-7141,13520-11503-30910-1998-5932-20629-1369-2236,12292-4979-25882-1673-1946-30137-2700-1922,easy
964678-608779-178525-208410-1659072-46217-583048-538206,437559-54058-12274-15633-714276-13496-7901-162174,12774-13406-3878-2738-11703-2259-2016-35216,9830-51931-4569-1433-14563-5233-1815-9495,16718-36549-2510-6363-32652-5600-6058-10966,10874-33054-1647-10812-56120-5363-7141-15570,11503-30910-1998-5932-20629-1369-2236-14623,4979-25882-1673-1946-30137-2700-1922-8039,easy
