delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
131265-570548-1124915-92321-134177-270201-573422-631696,80880-157994-53538-5154-16994-75105-36415-45492,7068-27412-30798-5598-2519-1746-30718-12745,29978-70081-10126-4214-5674-36695-7373-53967,9458-86847-7534-3220-1308-9757-4484-14650,12560-18578-4089-3547-3022-10231-11612-14620,9324-3412-1524-1129-1005-4861-7614-14277,3837-2942-885-1731-2519-4681-9509-6441,easy
570548-1124915-92321-134177-270201-573422-631696-287775,157994-53538-5154-16994-75105-36415-45492-21412,27412-30798-5598-2519-1746-30718-12745-7902,70081-10126-4214-5674-36695-7373-53967-10604,86847-7534-3220-1308-9757-4484-14650-7773,18578-4089-3547-3022-10231-11612-14620-2466,3412-1524-1129-1005-4861-7614-14277-1897,2942-885-1731-2519-4681-9509-6441-1074,easy
1124915-92321-134177-270201-573422-631696-287775-75085,53538-5154-16994-75105-36415-45492-21412-94195,30798-5598-2519-1746-30718-12745-7902-15785,10126-4214-5674-36695-7373-53967-10604-32518,7534-3220-1308-9757-4484-14650-7773-11541,4089-3547-3022-10231-11612-14620-2466-13590,1524-1129-1005-4861-7614-14277-1897-3794,885-1731-2519-4681-9509-6441-1074-4073,easy
92321-134177-270201-573422-631696-287775-75085-1745969,5154-16994-75105-36415-45492-21412-94195-228931,5598-2519-1746-30718-12745-7902-15785-26354,4214-5674-36695-7373-53967-10604-32518-18286,3220-1308-9757-4484-14650-7773-11541-7574,3547-3022-10231-11612-14620-2466-13590-17243,1129-1005-4861-7614-14277-1897-3794-6274,1731-2519-4681-9509-6441-1074-4073-5563,easy
134177-270201-573422-631696-287775-75085-1745969-19446,16994-75105-36415-45492-21412-94195-228931-6441,2519-1746-30718-12745-7902-15785-26354-2640,5674-36695-7373-53967-10604-32518-18286-361,1308-9757-4484-14650-7773-11541-7574-461,3022-10231-11612-14620-2466-13590-17243-531,1005-4861-7614-14277-1897-3794-6274-354,2519-4681-9509-6441-1074-4073-5563-264,easy
270201-573422-631696-287775-75085-1745969-19446-133606,75105-36415-45492-21412-94195-228931-6441-15866,1746-30718-12745-7902-15785-26354-2640-4307,36695-7373-53967-10604-32518-18286-361-9066,9757-4484-14650-7773-11541-7574-461-3044,10231-11612-14620-2466-13590-17243-531-2279,4861-7614-14277-1897-3794-6274-354-1177,4681-9509-6441-1074-4073-5563-264-1578,easy
573422-631696-287775-75085-1745969-19446-133606-555091,36415-45492-21412-94195-228931-6441-15866-12093,30718-12745-7902-15785-26354-2640-4307-6389,7373-53967-10604-32518-18286-361-9066-3889,4484-14650-7773-11541-7574-461-3044-1289,11612-14620-2466-13590-17243-531-2279-1547,7614-14277-1897-3794-6274-354-1177-509,9509-6441-1074-4073-5563-264-1578-107,easy
631696-287775-75085-1745969-19446-133606-555091-205962,45492-21412-94195-228931-6441-15866-12093-23608,12745-7902-15785-26354-2640-4307-6389-6763,53967-10604-32518-18286-361-9066-3889-4809,14650-7773-11541-7574-461-3044-1289-4093,14620-2466-13590-17243-531-2279-1547-3397,14277-1897-3794-6274-354-1177-509-1945,6441-1074-4073-5563-264-1578-107-672,easy
287775-75085-1745969-19446-133606-555091-205962-165140,21412-94195-228931-6441-15866-12093-23608-29526,7902-15785-26354-2640-4307-6389-6763-5245,10604-32518-18286-361-9066-3889-4809-5568,7773-11541-7574-461-3044-1289-4093-2813,2466-13590-17243-531-2279-1547-3397-3371,1897-3794-6274-354-1177-509-1945-553,1074-4073-5563-264-1578-107-672-368,easy
75085-1745969-19446-133606-555091-205962-165140-110312,94195-228931-6441-15866-12093-23608-29526-10087,15785-26354-2640-4307-6389-6763-5245-10022,32518-18286-361-9066-3889-4809-5568-1902,11541-7574-461-3044-1289-4093-2813-12982,13590-17243-531-2279-1547-3397-3371-6438,3794-6274-354-1177-509-1945-553-2774,4073-5563-264-1578-107-672-368-1593,easy
