delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
67017-30693-48193-105678-180858-133774-42451-50630,7953-78920-17351-61449-135811-31303-16970-36161,3168-9312-3458-19582-6562-3809-11854-27038,2287-18331-8336-25396-47309-13339-10739-19943,2770-5001-4781-17133-16193-11355-10900-45738,2230-5631-2995-5709-23540-10950-2058-16029,958-4404-6084-8062-12365-19423-2150-6441,1013-6825-4894-8428-16461-2095-1319-5742,easy
30693-48193-105678-180858-133774-42451-50630-740327,78920-17351-61449-135811-31303-16970-36161-57064,9312-3458-19582-6562-3809-11854-27038-9452,18331-8336-25396-47309-13339-10739-19943-30943,5001-4781-17133-16193-11355-10900-45738-53971,5631-2995-5709-23540-10950-2058-16029-18987,4404-6084-8062-12365-19423-2150-6441-21823,6825-4894-8428-16461-2095-1319-5742-5763,easy
48193-105678-180858-133774-42451-50630-740327-96102,17351-61449-135811-31303-16970-36161-57064-17467,3458-19582-6562-3809-11854-27038-9452-5026,8336-25396-47309-13339-10739-19943-30943-6070,4781-17133-16193-11355-10900-45738-53971-2235,2995-5709-23540-10950-2058-16029-18987-5878,6084-8062-12365-19423-2150-6441-21823-3263,4894-8428-16461-2095-1319-5742-5763-3353,easy
105678-180858-133774-42451-50630-740327-96102-120556,61449-135811-31303-16970-36161-57064-17467-16833,19582-6562-3809-11854-27038-9452-5026-608,25396-47309-13339-10739-19943-30943-6070-8697,17133-16193-11355-10900-45738-53971-2235-2272,5709-23540-10950-2058-16029-18987-5878-1641,8062-12365-19423-2150-6441-21823-3263-1859,8428-16461-2095-1319-5742-5763-3353-1491,easy
180858-133774-42451-50630-740327-96102-120556-449317,135811-31303-16970-36161-57064-17467-16833-48188,6562-3809-11854-27038-9452-5026-608-5363,47309-13339-10739-19943-30943-6070-8697-8187,16193-11355-10900-45738-53971-2235-2272-2334,23540-10950-2058-16029-18987-5878-1641-4725,12365-19423-2150-6441-21823-3263-1859-5332,16461-2095-1319-5742-5763-3353-1491-7585,easy
133774-42451-50630-740327-96102-120556-449317-92541,31303-16970-36161-57064-17467-16833-48188-21321,3809-11854-27038-9452-5026-608-5363-6218,13339-10739-19943-30943-6070-8697-8187-5552,11355-10900-45738-53971-2235-2272-2334-4872,10950-2058-16029-18987-5878-1641-4725-2131,19423-2150-6441-21823-3263-1859-5332-3573,2095-1319-5742-5763-3353-1491-7585-5778,easy
42451-50630-740327-96102-120556-449317-92541-63981,16970-36161-57064-17467-16833-48188-21321-29878,11854-27038-9452-5026-608-5363-6218-8374,10739-19943-30943-6070-8697-8187-5552-22062,10900-45738-53971-2235-2272-2334-4872-22706,2058-16029-18987-5878-1641-4725-2131-18135,2150-6441-21823-3263-1859-5332-3573-12079,1319-5742-5763-3353-1491-7585-5778-8173,easy
50630-740327-96102-120556-449317-92541-63981-197211,36161-57064-17467-16833-48188-21321-29878-123880,27038-9452-5026-608-5363-6218-8374-13182,19943-30943-6070-8697-8187-5552-22062-55419,45738-53971-2235-2272-2334-4872-22706-24224,16029-18987-5878-1641-4725-2131-18135-22292,6441-21823-3263-1859-5332-3573-12079-17713,5742-5763-3353-1491-7585-5778-8173-7095,easy
740327-96102-120556-449317-92541-63981-197211-570699,57064-17467-16833-48188-21321-29878-123880-79330,9452-5026-608-5363-6218-8374-13182-22859,30943-6070-8697-8187-5552-22062-55419-15886,53971-2235-2272-2334-4872-22706-24224-66534,18987-5878-1641-4725-2131-18135-22292-41391,21823-3263-1859-5332-3573-12079-17713-12888,5763-3353-1491-7585-5778-8173-7095-8002,easy
96102-120556-449317-92541-63981-197211-570699-286165,17467-16833-48188-21321-29878-123880-79330-44076,5026-608-5363-6218-8374-13182-22859-11361,6070-8697-8187-5552-22062-55419-15886-8535,2235-2272-2334-4872-22706-24224-66534-6197,5878-1641-4725-2131-18135-22292-41391-4581,3263-1859-5332-3573-12079-17713-12888-4507,3353-1491-7585-5778-8173-7095-8002-3652,easy
