delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
82817-1548697-1614115-26838-103013-118979-42516-752349,68488-95244-211642-35802-25903-21288-101465-11180,4452-57983-41527-7595-20676-3093-24223-6440,8875-14723-32699-15059-24404-1685-25596-10527,7957-11683-38253-11476-30743-8607-7291-3846,5406-8673-45528-68886-32862-6937-46733-10790,4004-21729-35264-25454-31058-3769-16820-4637,6672-8658-15522-10953-16973-7877-5817-3709,easy
1548697-1614115-26838-103013-118979-42516-752349-19703,95244-211642-35802-25903-21288-101465-11180-33048,57983-41527-7595-20676-3093-24223-6440-3363,14723-32699-15059-24404-1685-25596-10527-12091,11683-38253-11476-30743-8607-7291-3846-27299,8673-45528-68886-32862-6937-46733-10790-29616,21729-35264-25454-31058-3769-16820-4637-25809,8658-15522-10953-16973-7877-5817-3709-23267,easy
1614115-26838-103013-118979-42516-752349-19703-2465,211642-35802-25903-21288-101465-11180-33048-33097,41527-7595-20676-3093-24223-6440-3363-4512,32699-15059-24404-1685-25596-10527-12091-2156,38253-11476-30743-8607-7291-3846-27299-8142,45528-68886-32862-6937-46733-10790-29616-23822,35264-25454-31058-3769-16820-4637-25809-18712,15522-10953-16973-7877-5817-3709-23267-10983,easy
26838-103013-118979-42516-752349-19703-2465-59686,35802-25903-21288-101465-11180-33048-33097-78112,7595-20676-3093-24223-6440-3363-4512-20993,15059-24404-1685-25596-10527-12091-2156-10467,11476-30743-8607-7291-3846-27299-8142-5627,68886-32862-6937-46733-10790-29616-23822-17136,25454-31058-3769-16820-4637-25809-18712-19192,10953-16973-7877-5817-3709-23267-10983-8647,easy
103013-118979-42516-752349-19703-2465-59686-519874,25903-21288-101465-11180-33048-33097-78112-159451,20676-3093-24223-6440-3363-4512-20993-2799,24404-1685-25596-10527-12091-2156-10467-71752,30743-8607-7291-3846-27299-8142-5627-21018,32862-6937-46733-10790-29616-23822-17136-12908,31058-3769-16820-4637-25809-18712-19192-7458,16973-7877-5817-3709-23267-10983-8647-11839,easy
118979-42516-752349-19703-2465-59686-519874-14569,21288-101465-11180-33048-33097-78112-159451-32948,3093-24223-6440-3363-4512-20993-2799-11980,1685-25596-10527-12091-2156-10467-71752-19006,8607-7291-3846-27299-8142-5627-21018-7655,6937-46733-10790-29616-23822-17136-12908-13149,3769-16820-4637-25809-18712-19192-7458-21265,7877-5817-3709-23267-10983-8647-11839-5572,easy
42516-752349-19703-2465-59686-519874-14569-498128,101465-11180-33048-33097-78112-159451-32948-37003,24223-6440-3363-4512-20993-2799-11980-30901,25596-10527-12091-2156-10467-71752-19006-16028,7291-3846-27299-8142-5627-21018-7655-9444,46733-10790-29616-23822-17136-12908-13149-12903,16820-4637-25809-18712-19192-7458-21265-8498,5817-3709-23267-10983-8647-11839-5572-9428,easy
752349-19703-2465-59686-519874-14569-498128-9647,11180-33048-33097-78112-159451-32948-37003-16422,6440-3363-4512-20993-2799-11980-30901-17907,10527-12091-2156-10467-71752-19006-16028-32917,3846-27299-8142-5627-21018-7655-9444-14967,10790-29616-23822-17136-12908-13149-12903-16514,4637-25809-18712-19192-7458-21265-8498-13651,3709-23267-10983-8647-11839-5572-9428-10631,easy
19703-2465-59686-519874-14569-498128-9647-51053,33048-33097-78112-159451-32948-37003-16422-7809,3363-4512-20993-2799-11980-30901-17907-15400,12091-2156-10467-71752-19006-16028-32917-13466,27299-8142-5627-21018-7655-9444-14967-8928,29616-23822-17136-12908-13149-12903-16514-34315,25809-18712-19192-7458-21265-8498-13651-13969,23267-10983-8647-11839-5572-9428-10631-8301,easy
2465-59686-519874-14569-498128-9647-51053-18676,33097-78112-159451-32948-37003-16422-7809-23179,4512-20993-2799-11980-30901-17907-15400-31024,2156-10467-71752-19006-16028-32917-13466-9913,8142-5627-21018-7655-9444-14967-8928-16843,23822-17136-12908-13149-12903-16514-34315-10037,18712-19192-7458-21265-8498-13651-13969-17557,10983-8647-11839-5572-9428-10631-8301-5877,easy
