delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
2137666-696317-1354205-55107-64805-1818627-1138905-1263562,213117-95132-181041-59284-143072-755727-369640-84361,154708-56763-91539-47447-59279-101984-162577-40105,61733-39996-74251-7013-6590-42924-31361-120621,18882-19379-54855-3928-4130-57033-41938-9219,33644-21284-94079-13994-8040-123754-28922-24169,42676-33918-62946-11168-14109-122915-29514-24698,22842-19389-40034-6065-3222-90309-18408-22412,easy
696317-1354205-55107-64805-1818627-1138905-1263562-2565776,95132-181041-59284-143072-755727-369640-84361-188972,56763-91539-47447-59279-101984-162577-40105-25243,39996-74251-7013-6590-42924-31361-120621-19690,19379-54855-3928-4130-57033-41938-9219-16722,21284-94079-13994-8040-123754-28922-24169-10523,33918-62946-11168-14109-122915-29514-24698-21748,19389-40034-6065-3222-90309-18408-22412-8540,easy
1354205-55107-64805-1818627-1138905-1263562-2565776-933953,181041-59284-143072-755727-369640-84361-188972-205886,91539-47447-59279-101984-162577-40105-25243-121187,74251-7013-6590-42924-31361-120621-19690-27283,54855-3928-4130-57033-41938-9219-16722-53553,94079-13994-8040-123754-28922-24169-10523-33504,62946-11168-14109-122915-29514-24698-21748-56785,40034-6065-3222-90309-18408-22412-8540-33483,easy
55107-64805-1818627-1138905-1263562-2565776-933953-174664,59284-143072-755727-369640-84361-188972-205886-68590,47447-59279-101984-162577-40105-25243-121187-14176,7013-6590-42924-31361-120621-19690-27283-7104,3928-4130-57033-41938-9219-16722-53553-7334,13994-8040-123754-28922-24169-10523-33504-10551,11168-14109-122915-29514-24698-21748-56785-8911,6065-3222-90309-18408-22412-8540-33483-3683,easy
64805-1818627-1138905-1263562-2565776-933953-174664-193848,143072-755727-369640-84361-188972-205886-68590-76163,59279-101984-162577-40105-25243-121187-14176-27505,6590-42924-31361-120621-19690-27283-7104-9975,4130-57033-41938-9219-16722-53553-7334-7850,8040-123754-28922-24169-10523-33504-10551-7304,14109-122915-29514-24698-21748-56785-8911-11740,3222-90309-18408-22412-8540-33483-3683-6004,easy
1818627-1138905-1263562-2565776-933953-174664-193848-694982,755727-369640-84361-188972-205886-68590-76163-258585,101984-162577-40105-25243-121187-14176-27505-55128,42924-31361-120621-19690-27283-7104-9975-77053,57033-41938-9219-16722-53553-7334-7850-43622,123754-28922-24169-10523-33504-10551-7304-45902,122915-29514-24698-21748-56785-8911-11740-86219,90309-18408-22412-8540-33483-3683-6004-16347,easy
1138905-1263562-2565776-933953-174664-193848-694982-1974789,369640-84361-188972-205886-68590-76163-258585-1175082,162577-40105-25243-121187-14176-27505-55128-311507,31361-120621-19690-27283-7104-9975-77053-207525,41938-9219-16722-53553-7334-7850-43622-9899,28922-24169-10523-33504-10551-7304-45902-137971,29514-24698-21748-56785-8911-11740-86219-340700,18408-22412-8540-33483-3683-6004-16347-50336,easy
1263562-2565776-933953-174664-193848-694982-1974789-1534653,84361-188972-205886-68590-76163-258585-1175082-38340,40105-25243-121187-14176-27505-55128-311507-27928,120621-19690-27283-7104-9975-77053-207525-36310,9219-16722-53553-7334-7850-43622-9899-12629,24169-10523-33504-10551-7304-45902-137971-46302,24698-21748-56785-8911-11740-86219-340700-28406,22412-8540-33483-3683-6004-16347-50336-24379,easy
2565776-933953-174664-193848-694982-1974789-1534653-583078,188972-205886-68590-76163-258585-1175082-38340-42135,25243-121187-14176-27505-55128-311507-27928-21357,19690-27283-7104-9975-77053-207525-36310-13360,16722-53553-7334-7850-43622-9899-12629-4122,10523-33504-10551-7304-45902-137971-46302-12144,21748-56785-8911-11740-86219-340700-28406-12233,8540-33483-3683-6004-16347-50336-24379-2653,easy
933953-174664-193848-694982-1974789-1534653-583078-320315,205886-68590-76163-258585-1175082-38340-42135-331451,121187-14176-27505-55128-311507-27928-21357-41042,27283-7104-9975-77053-207525-36310-13360-47919,53553-7334-7850-43622-9899-12629-4122-12033,33504-10551-7304-45902-137971-46302-12144-55467,56785-8911-11740-86219-340700-28406-12233-38950,33483-3683-6004-16347-50336-24379-2653-22414,easy
174664-193848-694982-1974789-1534653-583078-320315-391472,68590-76163-258585-1175082-38340-42135-331451-151457,14176-27505-55128-311507-27928-21357-41042-20832,7104-9975-77053-207525-36310-13360-47919-14433,7334-7850-43622-9899-12629-4122-12033-25344,10551-7304-45902-137971-46302-12144-55467-14252,8911-11740-86219-340700-28406-12233-38950-15765,3683-6004-16347-50336-24379-2653-22414-13411,easy
193848-694982-1974789-1534653-583078-320315-391472-451946,76163-258585-1175082-38340-42135-331451-151457-681424,27505-55128-311507-27928-21357-41042-20832-33984,9975-77053-207525-36310-13360-47919-14433-106077,7850-43622-9899-12629-4122-12033-25344-26738,7304-45902-137971-46302-12144-55467-14252-70011,11740-86219-340700-28406-12233-38950-15765-33867,6004-16347-50336-24379-2653-22414-13411-73799,easy
694982-1974789-1534653-583078-320315-391472-451946-999791,258585-1175082-38340-42135-331451-151457-681424-1043310,55128-311507-27928-21357-41042-20832-33984-305103,77053-207525-36310-13360-47919-14433-106077-83829,43622-9899-12629-4122-12033-25344-26738-150656,45902-137971-46302-12144-55467-14252-70011-87358,86219-340700-28406-12233-38950-15765-33867-74976,16347-50336-24379-2653-22414-13411-73799-112984,easy
1974789-1534653-583078-320315-391472-451946-999791-1638097,1175082-38340-42135-331451-151457-681424-1043310-447741,311507-27928-21357-41042-20832-33984-305103-58160,207525-36310-13360-47919-14433-106077-83829-18264,9899-12629-4122-12033-25344-26738-150656-21490,137971-46302-12144-55467-14252-70011-87358-42303,340700-28406-12233-38950-15765-33867-74976-51127,50336-24379-2653-22414-13411-73799-112984-37137,easy
1534653-583078-320315-391472-451946-999791-1638097-258165,38340-42135-331451-151457-681424-1043310-447741-134328,27928-21357-41042-20832-33984-305103-58160-25813,36310-13360-47919-14433-106077-83829-18264-25583,12629-4122-12033-25344-26738-150656-21490-8242,46302-12144-55467-14252-70011-87358-42303-10323,28406-12233-38950-15765-33867-74976-51127-8121,24379-2653-22414-13411-73799-112984-37137-3196,easy
583078-320315-391472-451946-999791-1638097-258165-133372,42135-331451-151457-681424-1043310-447741-134328-41723,21357-41042-20832-33984-305103-58160-25813-8884,13360-47919-14433-106077-83829-18264-25583-3294,4122-12033-25344-26738-150656-21490-8242-9898,12144-55467-14252-70011-87358-42303-10323-5783,12233-38950-15765-33867-74976-51127-8121-11621,2653-22414-13411-73799-112984-37137-3196-5706,easy
320315-391472-451946-999791-1638097-258165-133372-540127,331451-151457-681424-1043310-447741-134328-41723-107886,41042-20832-33984-305103-58160-25813-8884-21009,47919-14433-106077-83829-18264-25583-3294-46946,12033-25344-26738-150656-21490-8242-9898-35897,55467-14252-70011-87358-42303-10323-5783-28875,38950-15765-33867-74976-51127-8121-11621-25421,22414-13411-73799-112984-37137-3196-5706-29429,easy
391472-451946-999791-1638097-258165-133372-540127-1656501,151457-681424-1043310-447741-134328-41723-107886-345784,20832-33984-305103-58160-25813-8884-21009-41439,14433-106077-83829-18264-25583-3294-46946-114093,25344-26738-150656-21490-8242-9898-35897-19962,14252-70011-87358-42303-10323-5783-28875-55039,15765-33867-74976-51127-8121-11621-25421-35326,13411-73799-112984-37137-3196-5706-29429-33733,easy
