delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
67399-200986-455516-560592-17908-1152387-65822-216975,41758-19762-56425-298273-40900-365069-170160-53922,915-6647-20710-55429-2248-98150-12399-2324,3976-1759-12281-31270-2163-21307-10642-9674,1956-2635-6138-3793-1047-21844-7349-3386,867-1541-5790-4327-746-46467-14332-1606,1395-567-1492-2853-782-10912-4572-2683,634-539-1098-3982-454-9045-4661-970,easy
200986-455516-560592-17908-1152387-65822-216975-338297,19762-56425-298273-40900-365069-170160-53922-1653671,6647-20710-55429-2248-98150-12399-2324-186812,1759-12281-31270-2163-21307-10642-9674-173608,2635-6138-3793-1047-21844-7349-3386-214317,1541-5790-4327-746-46467-14332-1606-68721,567-1492-2853-782-10912-4572-2683-26343,539-1098-3982-454-9045-4661-970-19580,easy
455516-560592-17908-1152387-65822-216975-338297-920905,56425-298273-40900-365069-170160-53922-1653671-56592,20710-55429-2248-98150-12399-2324-186812-107448,12281-31270-2163-21307-10642-9674-173608-45675,6138-3793-1047-21844-7349-3386-214317-22753,5790-4327-746-46467-14332-1606-68721-21635,1492-2853-782-10912-4572-2683-26343-11220,1098-3982-454-9045-4661-970-19580-8555,easy
560592-17908-1152387-65822-216975-338297-920905-613468,298273-40900-365069-170160-53922-1653671-56592-125796,55429-2248-98150-12399-2324-186812-107448-92218,31270-2163-21307-10642-9674-173608-45675-12527,3793-1047-21844-7349-3386-214317-22753-4588,4327-746-46467-14332-1606-68721-21635-11874,2853-782-10912-4572-2683-26343-11220-5578,3982-454-9045-4661-970-19580-8555-2154,easy
17908-1152387-65822-216975-338297-920905-613468-129356,40900-365069-170160-53922-1653671-56592-125796-31374,2248-98150-12399-2324-186812-107448-92218-2833,2163-21307-10642-9674-173608-45675-12527-7344,1047-21844-7349-3386-214317-22753-4588-1440,746-46467-14332-1606-68721-21635-11874-1271,782-10912-4572-2683-26343-11220-5578-430,454-9045-4661-970-19580-8555-2154-441,easy
1152387-65822-216975-338297-920905-613468-129356-1828970,365069-170160-53922-1653671-56592-125796-31374-1077894,98150-12399-2324-186812-107448-92218-2833-214112,21307-10642-9674-173608-45675-12527-7344-59130,21844-7349-3386-214317-22753-4588-1440-43076,46467-14332-1606-68721-21635-11874-1271-17614,10912-4572-2683-26343-11220-5578-430-16501,9045-4661-970-19580-8555-2154-441-4354,easy
65822-216975-338297-920905-613468-129356-1828970-1785607,170160-53922-1653671-56592-125796-31374-1077894-762793,12399-2324-186812-107448-92218-2833-214112-296475,10642-9674-173608-45675-12527-7344-59130-288631,7349-3386-214317-22753-4588-1440-43076-29557,14332-1606-68721-21635-11874-1271-17614-109451,4572-2683-26343-11220-5578-430-16501-30686,4661-970-19580-8555-2154-441-4354-14520,easy
216975-338297-920905-613468-129356-1828970-1785607-609630,53922-1653671-56592-125796-31374-1077894-762793-146516,2324-186812-107448-92218-2833-214112-296475-6480,9674-173608-45675-12527-7344-59130-288631-19631,3386-214317-22753-4588-1440-43076-29557-3266,1606-68721-21635-11874-1271-17614-109451-4747,2683-26343-11220-5578-430-16501-30686-2510,970-19580-8555-2154-441-4354-14520-1280,easy
338297-920905-613468-129356-1828970-1785607-609630-571089,1653671-56592-125796-31374-1077894-762793-146516-17967,186812-107448-92218-2833-214112-296475-6480-3031,173608-45675-12527-7344-59130-288631-19631-5586,214317-22753-4588-1440-43076-29557-3266-4277,68721-21635-11874-1271-17614-109451-4747-2230,26343-11220-5578-430-16501-30686-2510-947,19580-8555-2154-441-4354-14520-1280-695,easy
920905-613468-129356-1828970-1785607-609630-571089-134126,56592-125796-31374-1077894-762793-146516-17967-29435,107448-92218-2833-214112-296475-6480-3031-10430,45675-12527-7344-59130-288631-19631-5586-1775,22753-4588-1440-43076-29557-3266-4277-2423,21635-11874-1271-17614-109451-4747-2230-1490,11220-5578-430-16501-30686-2510-947-424,8555-2154-441-4354-14520-1280-695-740,easy
613468-129356-1828970-1785607-609630-571089-134126-648853,125796-31374-1077894-762793-146516-17967-29435-118219,92218-2833-214112-296475-6480-3031-10430-4526,12527-7344-59130-288631-19631-5586-1775-10254,4588-1440-43076-29557-3266-4277-2423-3591,11874-1271-17614-109451-4747-2230-1490-3074,5578-430-16501-30686-2510-947-424-982,2154-441-4354-14520-1280-695-740-1305,easy
129356-1828970-1785607-609630-571089-134126-648853-166019,31374-1077894-762793-146516-17967-29435-118219-33916,2833-214112-296475-6480-3031-10430-4526-5807,7344-59130-288631-19631-5586-1775-10254-10091,1440-43076-29557-3266-4277-2423-3591-10965,1271-17614-109451-4747-2230-1490-3074-5240,430-16501-30686-2510-947-424-982-1949,441-4354-14520-1280-695-740-1305-419,easy
1828970-1785607-609630-571089-134126-648853-166019-245133,1077894-762793-146516-17967-29435-118219-33916-35160,214112-296475-6480-3031-10430-4526-5807-15618,59130-288631-19631-5586-1775-10254-10091-2210,43076-29557-3266-4277-2423-3591-10965-4753,17614-109451-4747-2230-1490-3074-5240-1509,16501-30686-2510-947-424-982-1949-232,4354-14520-1280-695-740-1305-419-160,easy
