delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
315357-471905-124134-520026-988801-695190-442651-950613,53501-29564-28570-74700-103410-92935-131253-69500,61736-12181-24598-26781-25133-9751-19092-15364,6179-11206-5529-13439-12603-15343-12856-8619,11434-3058-13699-6112-5977-19834-7722-15366,3062-4220-2472-4046-5996-4866-10914-10360,3643-3395-593-1301-6138-2868-3672-1888,863-2391-604-396-2394-1212-706-1518,easy
471905-124134-520026-988801-695190-442651-950613-691949,29564-28570-74700-103410-92935-131253-69500-203246,12181-24598-26781-25133-9751-19092-15364-19301,11206-5529-13439-12603-15343-12856-8619-8373,3058-13699-6112-5977-19834-7722-15366-11733,4220-2472-4046-5996-4866-10914-10360-3977,3395-593-1301-6138-2868-3672-1888-2315,2391-604-396-2394-1212-706-1518-1560,easy
124134-520026-988801-695190-442651-950613-691949-52346,28570-74700-103410-92935-131253-69500-203246-8868,24598-26781-25133-9751-19092-15364-19301-3813,5529-13439-12603-15343-12856-8619-8373-1420,13699-6112-5977-19834-7722-15366-11733-2426,2472-4046-5996-4866-10914-10360-3977-780,593-1301-6138-2868-3672-1888-2315-352,604-396-2394-1212-706-1518-1560-255,easy
520026-988801-695190-442651-950613-691949-52346-33244,74700-103410-92935-131253-69500-203246-8868-16707,26781-25133-9751-19092-15364-19301-3813-2434,13439-12603-15343-12856-8619-8373-1420-1535,6112-5977-19834-7722-15366-11733-2426-1571,4046-5996-4866-10914-10360-3977-780-2236,1301-6138-2868-3672-1888-2315-352-509,396-2394-1212-706-1518-1560-255-268,easy
988801-695190-442651-950613-691949-52346-33244-232481,103410-92935-131253-69500-203246-8868-16707-66367,25133-9751-19092-15364-19301-3813-2434-4710,12603-15343-12856-8619-8373-1420-1535-3300,5977-19834-7722-15366-11733-2426-1571-4379,5996-4866-10914-10360-3977-780-2236-3526,6138-2868-3672-1888-2315-352-509-311,2394-1212-706-1518-1560-255-268-160,easy
695190-442651-950613-691949-52346-33244-232481-998976,92935-131253-69500-203246-8868-16707-66367-148299,9751-19092-15364-19301-3813-2434-4710-42722,15343-12856-8619-8373-1420-1535-3300-12396,19834-7722-15366-11733-2426-1571-4379-12283,4866-10914-10360-3977-780-2236-3526-9123,2868-3672-1888-2315-352-509-311-2536,1212-706-1518-1560-255-268-160-1160,easy
442651-950613-691949-52346-33244-232481-998976-994381,131253-69500-203246-8868-16707-66367-148299-205088,19092-15364-19301-3813-2434-4710-42722-9091,12856-8619-8373-1420-1535-3300-12396-22593,7722-15366-11733-2426-1571-4379-12283-7072,10914-10360-3977-780-2236-3526-9123-22420,3672-1888-2315-352-509-311-2536-8376,706-1518-1560-255-268-160-1160-4243,easy
950613-691949-52346-33244-232481-998976-994381-587312,69500-203246-8868-16707-66367-148299-205088-63233,15364-19301-3813-2434-4710-42722-9091-155458,8619-8373-1420-1535-3300-12396-22593-7719,15366-11733-2426-1571-4379-12283-7072-12657,10360-3977-780-2236-3526-9123-22420-11360,1888-2315-352-509-311-2536-8376-7989,1518-1560-255-268-160-1160-4243-3910,easy
691949-52346-33244-232481-998976-994381-587312-84405,203246-8868-16707-66367-148299-205088-63233-16750,19301-3813-2434-4710-42722-9091-155458-4163,8373-1420-1535-3300-12396-22593-7719-5022,11733-2426-1571-4379-12283-7072-12657-1215,3977-780-2236-3526-9123-22420-11360-976,2315-352-509-311-2536-8376-7989-852,1560-255-268-160-1160-4243-3910-690,easy
52346-33244-232481-998976-994381-587312-84405-188679,8868-16707-66367-148299-205088-63233-16750-24405,3813-2434-4710-42722-9091-155458-4163-10658,1420-1535-3300-12396-22593-7719-5022-3311,2426-1571-4379-12283-7072-12657-1215-2015,780-2236-3526-9123-22420-11360-976-1688,352-509-311-2536-8376-7989-852-836,255-268-160-1160-4243-3910-690-980,easy
33244-232481-998976-994381-587312-84405-188679-113223,16707-66367-148299-205088-63233-16750-24405-214617,2434-4710-42722-9091-155458-4163-10658-41172,1535-3300-12396-22593-7719-5022-3311-7567,1571-4379-12283-7072-12657-1215-2015-21135,2236-3526-9123-22420-11360-976-1688-8107,509-311-2536-8376-7989-852-836-4440,268-160-1160-4243-3910-690-980-4116,easy
