delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
758397-811697-811697-66869-136490-126422-125635-122515,16896-325187-325187-30772-45420-89661-108557-26597,14180-7369-7369-4873-15481-11065-52812-2909,5920-24392-24392-7919-12046-20680-8250-3724,7088-8560-8560-523-6441-3462-13755-3252,2204-25590-25590-3113-9751-4274-13065-16641,3140-5022-5022-1168-6501-4933-10497-12636,1676-7397-7397-969-1438-1918-4912-3521,easy
811697-811697-66869-136490-126422-125635-122515-242866,325187-325187-30772-45420-89661-108557-26597-31814,7369-7369-4873-15481-11065-52812-2909-21848,24392-24392-7919-12046-20680-8250-3724-10246,8560-8560-523-6441-3462-13755-3252-9355,25590-25590-3113-9751-4274-13065-16641-17068,5022-5022-1168-6501-4933-10497-12636-8681,7397-7397-969-1438-1918-4912-3521-3594,easy
811697-66869-136490-126422-125635-122515-242866-51556,325187-30772-45420-89661-108557-26597-31814-65927,7369-4873-15481-11065-52812-2909-21848-31573,24392-7919-12046-20680-8250-3724-10246-14190,8560-523-6441-3462-13755-3252-9355-43264,25590-3113-9751-4274-13065-16641-17068-28785,5022-1168-6501-4933-10497-12636-8681-19214,7397-969-1438-1918-4912-3521-3594-11589,easy
66869-136490-126422-125635-122515-242866-51556-568136,30772-45420-89661-108557-26597-31814-65927-155010,4873-15481-11065-52812-2909-21848-31573-59874,7919-12046-20680-8250-3724-10246-14190-24664,523-6441-3462-13755-3252-9355-43264-12217,3113-9751-4274-13065-16641-17068-28785-42030,1168-6501-4933-10497-12636-8681-19214-15492,969-1438-1918-4912-3521-3594-11589-12067,easy
136490-126422-125635-122515-242866-51556-568136-742640,45420-89661-108557-26597-31814-65927-155010-217085,15481-11065-52812-2909-21848-31573-59874-2777,12046-20680-8250-3724-10246-14190-24664-3012,6441-3462-13755-3252-9355-43264-12217-5362,9751-4274-13065-16641-17068-28785-42030-8791,6501-4933-10497-12636-8681-19214-15492-10530,1438-1918-4912-3521-3594-11589-12067-5566,easy
126422-125635-122515-242866-51556-568136-742640-892210,89661-108557-26597-31814-65927-155010-217085-144586,11065-52812-2909-21848-31573-59874-2777-65601,20680-8250-3724-10246-14190-24664-3012-10011,3462-13755-3252-9355-43264-12217-5362-8393,4274-13065-16641-17068-28785-42030-8791-48875,4933-10497-12636-8681-19214-15492-10530-23490,1918-4912-3521-3594-11589-12067-5566-15831,easy
125635-122515-242866-51556-568136-742640-892210-213385,108557-26597-31814-65927-155010-217085-144586-16521,52812-2909-21848-31573-59874-2777-65601-4632,8250-3724-10246-14190-24664-3012-10011-2845,13755-3252-9355-43264-12217-5362-8393-5696,13065-16641-17068-28785-42030-8791-48875-5266,10497-12636-8681-19214-15492-10530-23490-3068,4912-3521-3594-11589-12067-5566-15831-2101,easy
122515-242866-51556-568136-742640-892210-213385-500424,26597-31814-65927-155010-217085-144586-16521-15048,2909-21848-31573-59874-2777-65601-4632-19206,3724-10246-14190-24664-3012-10011-2845-33063,3252-9355-43264-12217-5362-8393-5696-4566,16641-17068-28785-42030-8791-48875-5266-8247,12636-8681-19214-15492-10530-23490-3068-4778,3521-3594-11589-12067-5566-15831-2101-8134,easy
242866-51556-568136-742640-892210-213385-500424-215920,31814-65927-155010-217085-144586-16521-15048-64521,21848-31573-59874-2777-65601-4632-19206-3768,10246-14190-24664-3012-10011-2845-33063-9565,9355-43264-12217-5362-8393-5696-4566-4672,17068-28785-42030-8791-48875-5266-8247-7218,8681-19214-15492-10530-23490-3068-4778-6104,3594-11589-12067-5566-15831-2101-8134-4044,easy
51556-568136-742640-892210-213385-500424-215920-191287,65927-155010-217085-144586-16521-15048-64521-158422,31573-59874-2777-65601-4632-19206-3768-7085,14190-24664-3012-10011-2845-33063-9565-16558,43264-12217-5362-8393-5696-4566-4672-14632,28785-42030-8791-48875-5266-8247-7218-7873,19214-15492-10530-23490-3068-4778-6104-6647,11589-12067-5566-15831-2101-8134-4044-2879,easy
568136-742640-892210-213385-500424-215920-191287-243290,155010-217085-144586-16521-15048-64521-158422-39842,59874-2777-65601-4632-19206-3768-7085-13659,24664-3012-10011-2845-33063-9565-16558-13469,12217-5362-8393-5696-4566-4672-14632-4784,42030-8791-48875-5266-8247-7218-7873-4875,15492-10530-23490-3068-4778-6104-6647-2768,12067-5566-15831-2101-8134-4044-2879-2167,easy
742640-892210-213385-500424-215920-191287-243290-741041,217085-144586-16521-15048-64521-158422-39842-91661,2777-65601-4632-19206-3768-7085-13659-32605,3012-10011-2845-33063-9565-16558-13469-19584,5362-8393-5696-4566-4672-14632-4784-19909,8791-48875-5266-8247-7218-7873-4875-15336,10530-23490-3068-4778-6104-6647-2768-30279,5566-15831-2101-8134-4044-2879-2167-17994,easy
