delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
21582-751735-182410-13304-247508-514457-482913-53775,21138-695460-87693-14680-55451-134339-11155-10830,11521-132991-2512-6468-27909-64266-51103-3660,5601-34764-4359-7261-14863-14600-9310-42502,5917-30259-4031-6699-4412-27731-8536-19471,4995-30595-5793-9761-9908-24842-7893-21514,4573-13268-6981-7437-10964-19158-5197-31938,848-13021-3056-2399-2783-17162-7886-8611,easy
751735-182410-13304-247508-514457-482913-53775-25020,695460-87693-14680-55451-134339-11155-10830-17989,132991-2512-6468-27909-64266-51103-3660-14393,34764-4359-7261-14863-14600-9310-42502-9070,30259-4031-6699-4412-27731-8536-19471-13552,30595-5793-9761-9908-24842-7893-21514-17180,13268-6981-7437-10964-19158-5197-31938-13283,13021-3056-2399-2783-17162-7886-8611-11102,easy
182410-13304-247508-514457-482913-53775-25020-143845,87693-14680-55451-134339-11155-10830-17989-12520,2512-6468-27909-64266-51103-3660-14393-5947,4359-7261-14863-14600-9310-42502-9070-2196,4031-6699-4412-27731-8536-19471-13552-9390,5793-9761-9908-24842-7893-21514-17180-3026,6981-7437-10964-19158-5197-31938-13283-8386,3056-2399-2783-17162-7886-8611-11102-1885,easy
13304-247508-514457-482913-53775-25020-143845-272503,14680-55451-134339-11155-10830-17989-12520-189382,6468-27909-64266-51103-3660-14393-5947-48313,7261-14863-14600-9310-42502-9070-2196-16701,6699-4412-27731-8536-19471-13552-9390-21993,9761-9908-24842-7893-21514-17180-3026-21138,7437-10964-19158-5197-31938-13283-8386-21299,2399-2783-17162-7886-8611-11102-1885-16298,easy
247508-514457-482913-53775-25020-143845-272503-133509,55451-134339-11155-10830-17989-12520-189382-64461,27909-64266-51103-3660-14393-5947-48313-15133,14863-14600-9310-42502-9070-2196-16701-11229,4412-27731-8536-19471-13552-9390-21993-11246,9908-24842-7893-21514-17180-3026-21138-11374,10964-19158-5197-31938-13283-8386-21299-15633,2783-17162-7886-8611-11102-1885-16298-8381,easy
514457-482913-53775-25020-143845-272503-133509-17381,134339-11155-10830-17989-12520-189382-64461-6410,64266-51103-3660-14393-5947-48313-15133-8116,14600-9310-42502-9070-2196-16701-11229-11832,27731-8536-19471-13552-9390-21993-11246-11383,24842-7893-21514-17180-3026-21138-11374-14025,19158-5197-31938-13283-8386-21299-15633-10245,17162-7886-8611-11102-1885-16298-8381-10068,easy
482913-53775-25020-143845-272503-133509-17381-51354,11155-10830-17989-12520-189382-64461-6410-18451,51103-3660-14393-5947-48313-15133-8116-8995,9310-42502-9070-2196-16701-11229-11832-8548,8536-19471-13552-9390-21993-11246-11383-4100,7893-21514-17180-3026-21138-11374-14025-6537,5197-31938-13283-8386-21299-15633-10245-977,7886-8611-11102-1885-16298-8381-10068-1130,easy
53775-25020-143845-272503-133509-17381-51354-5492,10830-17989-12520-189382-64461-6410-18451-9777,3660-14393-5947-48313-15133-8116-8995-6130,42502-9070-2196-16701-11229-11832-8548-5560,19471-13552-9390-21993-11246-11383-4100-4330,21514-17180-3026-21138-11374-14025-6537-14663,31938-13283-8386-21299-15633-10245-977-10688,8611-11102-1885-16298-8381-10068-1130-11491,easy
25020-143845-272503-133509-17381-51354-5492-37107,17989-12520-189382-64461-6410-18451-9777-5520,14393-5947-48313-15133-8116-8995-6130-9298,9070-2196-16701-11229-11832-8548-5560-2977,13552-9390-21993-11246-11383-4100-4330-2038,17180-3026-21138-11374-14025-6537-14663-6034,13283-8386-21299-15633-10245-977-10688-3159,11102-1885-16298-8381-10068-1130-11491-2300,easy
143845-272503-133509-17381-51354-5492-37107-1955343,12520-189382-64461-6410-18451-9777-5520-202942,5947-48313-15133-8116-8995-6130-9298-48748,2196-16701-11229-11832-8548-5560-2977-36162,9390-21993-11246-11383-4100-4330-2038-41398,3026-21138-11374-14025-6537-14663-6034-36871,8386-21299-15633-10245-977-10688-3159-29717,1885-16298-8381-10068-1130-11491-2300-7706,easy
272503-133509-17381-51354-5492-37107-1955343-558349,189382-64461-6410-18451-9777-5520-202942-76105,48313-15133-8116-8995-6130-9298-48748-1839,16701-11229-11832-8548-5560-2977-36162-4136,21993-11246-11383-4100-4330-2038-41398-3841,21138-11374-14025-6537-14663-6034-36871-19880,21299-15633-10245-977-10688-3159-29717-9326,16298-8381-10068-1130-11491-2300-7706-13793,easy
