delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
332503-215960-304092-19816-35976-10055-109249-41404,8166-22169-36230-22201-12114-7702-45135-9868,1844-2108-8395-2414-2410-4465-8423-5097,5945-5387-1418-5124-6168-4283-9589-32418,5385-6192-5818-2955-6970-12685-21143-5712,4330-3553-5490-1297-9163-12075-16540-8282,1150-1021-1404-1482-6407-9256-20604-5307,1254-1064-1548-1543-4404-3188-2415-2808,easy
215960-304092-19816-35976-10055-109249-41404-8828,22169-36230-22201-12114-7702-45135-9868-17592,2108-8395-2414-2410-4465-8423-5097-2093,5387-1418-5124-6168-4283-9589-32418-8610,6192-5818-2955-6970-12685-21143-5712-5985,3553-5490-1297-9163-12075-16540-8282-16632,1021-1404-1482-6407-9256-20604-5307-12495,1064-1548-1543-4404-3188-2415-2808-7013,easy
304092-19816-35976-10055-109249-41404-8828-6530,36230-22201-12114-7702-45135-9868-17592-18549,8395-2414-2410-4465-8423-5097-2093-10310,1418-5124-6168-4283-9589-32418-8610-4780,5818-2955-6970-12685-21143-5712-5985-4598,5490-1297-9163-12075-16540-8282-16632-6084,1404-1482-6407-9256-20604-5307-12495-4951,1548-1543-4404-3188-2415-2808-7013-7061,easy
19816-35976-10055-109249-41404-8828-6530-19354,22201-12114-7702-45135-9868-17592-18549-25292,2414-2410-4465-8423-5097-2093-10310-14227,5124-6168-4283-9589-32418-8610-4780-6543,2955-6970-12685-21143-5712-5985-4598-9711,1297-9163-12075-16540-8282-16632-6084-8749,1482-6407-9256-20604-5307-12495-4951-9548,1543-4404-3188-2415-2808-7013-7061-9862,easy
35976-10055-109249-41404-8828-6530-19354-179284,12114-7702-45135-9868-17592-18549-25292-21171,2410-4465-8423-5097-2093-10310-14227-5951,6168-4283-9589-32418-8610-4780-6543-1928,6970-12685-21143-5712-5985-4598-9711-2417,9163-12075-16540-8282-16632-6084-8749-2244,6407-9256-20604-5307-12495-4951-9548-1212,4404-3188-2415-2808-7013-7061-9862-482,easy
10055-109249-41404-8828-6530-19354-179284-69454,7702-45135-9868-17592-18549-25292-21171-17015,4465-8423-5097-2093-10310-14227-5951-4961,4283-9589-32418-8610-4780-6543-1928-6590,12685-21143-5712-5985-4598-9711-2417-15729,12075-16540-8282-16632-6084-8749-2244-10155,9256-20604-5307-12495-4951-9548-1212-23880,3188-2415-2808-7013-7061-9862-482-16646,easy
109249-41404-8828-6530-19354-179284-69454-15424,45135-9868-17592-18549-25292-21171-17015-38055,8423-5097-2093-10310-14227-5951-4961-10697,9589-32418-8610-4780-6543-1928-6590-11337,21143-5712-5985-4598-9711-2417-15729-5510,16540-8282-16632-6084-8749-2244-10155-11353,20604-5307-12495-4951-9548-1212-23880-13853,2415-2808-7013-7061-9862-482-16646-5074,easy
41404-8828-6530-19354-179284-69454-15424-167090,9868-17592-18549-25292-21171-17015-38055-72509,5097-2093-10310-14227-5951-4961-10697-4939,32418-8610-4780-6543-1928-6590-11337-5977,5712-5985-4598-9711-2417-15729-5510-27389,8282-16632-6084-8749-2244-10155-11353-19207,5307-12495-4951-9548-1212-23880-13853-2396,2808-7013-7061-9862-482-16646-5074-5012,easy
8828-6530-19354-179284-69454-15424-167090-194212,17592-18549-25292-21171-17015-38055-72509-21049,2093-10310-14227-5951-4961-10697-4939-11665,8610-4780-6543-1928-6590-11337-5977-7644,5985-4598-9711-2417-15729-5510-27389-2896,16632-6084-8749-2244-10155-11353-19207-1917,12495-4951-9548-1212-23880-13853-2396-1687,7013-7061-9862-482-16646-5074-5012-980,easy
6530-19354-179284-69454-15424-167090-194212-1181527,18549-25292-21171-17015-38055-72509-21049-192716,10310-14227-5951-4961-10697-4939-11665-118063,4780-6543-1928-6590-11337-5977-7644-67383,4598-9711-2417-15729-5510-27389-2896-8955,6084-8749-2244-10155-11353-19207-1917-5462,4951-9548-1212-23880-13853-2396-1687-5667,7061-9862-482-16646-5074-5012-980-17831,easy
