delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
14533-2261717-79757-118262-57607-105145-317588-26858,10631-262924-13990-33515-12964-11170-76977-30580,2077-138671-5822-11677-7059-2542-19934-16644,3777-35473-3398-7117-1358-2470-6417-4391,1448-17371-2864-3172-6204-991-2524-1677,1408-18006-1477-2736-1571-435-2869-4427,197-10778-942-2041-921-397-947-2962,414-6533-213-1471-952-340-2408-2219,easy
2261717-79757-118262-57607-105145-317588-26858-225479,262924-13990-33515-12964-11170-76977-30580-26239,138671-5822-11677-7059-2542-19934-16644-663,35473-3398-7117-1358-2470-6417-4391-5004,17371-2864-3172-6204-991-2524-1677-3816,18006-1477-2736-1571-435-2869-4427-1469,10778-942-2041-921-397-947-2962-1793,6533-213-1471-952-340-2408-2219-937,easy
79757-118262-57607-105145-317588-26858-225479-36493,13990-33515-12964-11170-76977-30580-26239-43692,5822-11677-7059-2542-19934-16644-663-2775,3398-7117-1358-2470-6417-4391-5004-6206,2864-3172-6204-991-2524-1677-3816-7795,1477-2736-1571-435-2869-4427-1469-2877,942-2041-921-397-947-2962-1793-6569,213-1471-952-340-2408-2219-937-1305,easy
118262-57607-105145-317588-26858-225479-36493-249083,33515-12964-11170-76977-30580-26239-43692-52535,11677-7059-2542-19934-16644-663-2775-2511,7117-1358-2470-6417-4391-5004-6206-3011,3172-6204-991-2524-1677-3816-7795-3939,2736-1571-435-2869-4427-1469-2877-1100,2041-921-397-947-2962-1793-6569-678,1471-952-340-2408-2219-937-1305-1478,easy
57607-105145-317588-26858-225479-36493-249083-53401,12964-11170-76977-30580-26239-43692-52535-61892,7059-2542-19934-16644-663-2775-2511-20305,1358-2470-6417-4391-5004-6206-3011-6268,6204-991-2524-1677-3816-7795-3939-4298,1571-435-2869-4427-1469-2877-1100-2918,921-397-947-2962-1793-6569-678-3616,952-340-2408-2219-937-1305-1478-4502,easy
105145-317588-26858-225479-36493-249083-53401-435191,11170-76977-30580-26239-43692-52535-61892-77031,2542-19934-16644-663-2775-2511-20305-4875,2470-6417-4391-5004-6206-3011-6268-8983,991-2524-1677-3816-7795-3939-4298-3517,435-2869-4427-1469-2877-1100-2918-6850,397-947-2962-1793-6569-678-3616-7512,340-2408-2219-937-1305-1478-4502-2465,easy
317588-26858-225479-36493-249083-53401-435191-68317,76977-30580-26239-43692-52535-61892-77031-182976,19934-16644-663-2775-2511-20305-4875-30662,6417-4391-5004-6206-3011-6268-8983-16918,2524-1677-3816-7795-3939-4298-3517-3930,2869-4427-1469-2877-1100-2918-6850-9240,947-2962-1793-6569-678-3616-7512-12781,2408-2219-937-1305-1478-4502-2465-3466,easy
26858-225479-36493-249083-53401-435191-68317-311050,30580-26239-43692-52535-61892-77031-182976-156796,16644-663-2775-2511-20305-4875-30662-75762,4391-5004-6206-3011-6268-8983-16918-18830,1677-3816-7795-3939-4298-3517-3930-49296,4427-1469-2877-1100-2918-6850-9240-14455,2962-1793-6569-678-3616-7512-12781-5534,2219-937-1305-1478-4502-2465-3466-8953,easy
225479-36493-249083-53401-435191-68317-311050-183397,26239-43692-52535-61892-77031-182976-156796-31710,663-2775-2511-20305-4875-30662-75762-22143,5004-6206-3011-6268-8983-16918-18830-17567,3816-7795-3939-4298-3517-3930-49296-4522,1469-2877-1100-2918-6850-9240-14455-7413,1793-6569-678-3616-7512-12781-5534-10911,937-1305-1478-4502-2465-3466-8953-6173,easy
36493-249083-53401-435191-68317-311050-183397-257184,43692-52535-61892-77031-182976-156796-31710-83407,2775-2511-20305-4875-30662-75762-22143-44930,6206-3011-6268-8983-16918-18830-17567-10111,7795-3939-4298-3517-3930-49296-4522-3888,2877-1100-2918-6850-9240-14455-7413-3527,6569-678-3616-7512-12781-5534-10911-1156,1305-1478-4502-2465-3466-8953-6173-936,easy
