delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
24686-60665-19728-1845900-837011-1029718-49495-1222293,48605-11037-8394-71270-299113-178471-27900-623831,17768-9624-27825-25521-21394-96202-5561-27052,6958-1430-5161-12440-20731-16459-1868-32382,14777-5670-16991-11509-14799-16223-2147-91410,47478-20177-48811-54725-19950-15889-4325-41696,20135-7853-23787-22456-13694-11967-3093-26752,16866-5541-9518-17883-14345-15756-2805-8315,easy
60665-19728-1845900-837011-1029718-49495-1222293-676839,11037-8394-71270-299113-178471-27900-623831-178930,9624-27825-25521-21394-96202-5561-27052-14566,1430-5161-12440-20731-16459-1868-32382-51479,5670-16991-11509-14799-16223-2147-91410-121578,20177-48811-54725-19950-15889-4325-41696-48400,7853-23787-22456-13694-11967-3093-26752-49651,5541-9518-17883-14345-15756-2805-8315-8224,easy
29872-32127-705398-10631-359272-2219689-34263-13735,14264-23752-62380-8011-30187-384832-19259-56347,3786-8705-12723-18809-15604-100292-6376-6838,1578-3776-31249-11556-31967-61550-27557-8103,6410-2856-5261-18603-38855-15360-12425-17819,6139-6403-21994-15521-24601-31694-27706-31948,3812-3468-9265-15513-18031-11657-4525-9472,2468-3310-8229-8170-5410-6494-9780-9037,easy
32127-705398-10631-359272-2219689-34263-13735-85730,23752-62380-8011-30187-384832-19259-56347-205959,8705-12723-18809-15604-100292-6376-6838-38793,3776-31249-11556-31967-61550-27557-8103-12507,2856-5261-18603-38855-15360-12425-17819-17133,6403-21994-15521-24601-31694-27706-31948-15325,3468-9265-15513-18031-11657-4525-9472-9551,3310-8229-8170-5410-6494-9780-9037-4173,easy
705398-10631-359272-2219689-34263-13735-85730-197102,62380-8011-30187-384832-19259-56347-205959-261751,12723-18809-15604-100292-6376-6838-38793-60924,31249-11556-31967-61550-27557-8103-12507-15284,5261-18603-38855-15360-12425-17819-17133-26673,21994-15521-24601-31694-27706-31948-15325-35471,9265-15513-18031-11657-4525-9472-9551-35369,8229-8170-5410-6494-9780-9037-4173-26426,easy
10631-359272-2219689-34263-13735-85730-197102-1238313,8011-30187-384832-19259-56347-205959-261751-48721,18809-15604-100292-6376-6838-38793-60924-5799,11556-31967-61550-27557-8103-12507-15284-1582,18603-38855-15360-12425-17819-17133-26673-4434,15521-24601-31694-27706-31948-15325-35471-1527,15513-18031-11657-4525-9472-9551-35369-3114,8170-5410-6494-9780-9037-4173-26426-1965,easy
359272-2219689-34263-13735-85730-197102-1238313-543768,30187-384832-19259-56347-205959-261751-48721-5923,15604-100292-6376-6838-38793-60924-5799-1017,31967-61550-27557-8103-12507-15284-1582-6726,38855-15360-12425-17819-17133-26673-4434-11239,24601-31694-27706-31948-15325-35471-1527-4913,18031-11657-4525-9472-9551-35369-3114-3639,5410-6494-9780-9037-4173-26426-1965-3466,easy
2219689-34263-13735-85730-197102-1238313-543768-147177,384832-19259-56347-205959-261751-48721-5923-23232,100292-6376-6838-38793-60924-5799-1017-22761,61550-27557-8103-12507-15284-1582-6726-20695,15360-12425-17819-17133-26673-4434-11239-9920,31694-27706-31948-15325-35471-1527-4913-28620,11657-4525-9472-9551-35369-3114-3639-7930,6494-9780-9037-4173-26426-1965-3466-6753,easy
34263-13735-85730-197102-1238313-543768-147177-54364,19259-56347-205959-261751-48721-5923-23232-5622,6376-6838-38793-60924-5799-1017-22761-1508,27557-8103-12507-15284-1582-6726-20695-921,12425-17819-17133-26673-4434-11239-9920-274,27706-31948-15325-35471-1527-4913-28620-1174,4525-9472-9551-35369-3114-3639-7930-754,9780-9037-4173-26426-1965-3466-6753-411,easy
13735-85730-197102-1238313-543768-147177-54364-16827,56347-205959-261751-48721-5923-23232-5622-2504,6838-38793-60924-5799-1017-22761-1508-2235,8103-12507-15284-1582-6726-20695-921-301,17819-17133-26673-4434-11239-9920-274-10522,31948-15325-35471-1527-4913-28620-1174-5279,9472-9551-35369-3114-3639-7930-754-3132,9037-4173-26426-1965-3466-6753-411-4176,easy
85730-197102-1238313-543768-147177-54364-16827-5643,205959-261751-48721-5923-23232-5622-2504-5402,38793-60924-5799-1017-22761-1508-2235-2997,12507-15284-1582-6726-20695-921-301-6286,17133-26673-4434-11239-9920-274-10522-21258,15325-35471-1527-4913-28620-1174-5279-20510,9551-35369-3114-3639-7930-754-3132-15439,4173-26426-1965-3466-6753-411-4176-9600,easy
197102-1238313-543768-147177-54364-16827-5643-10835,261751-48721-5923-23232-5622-2504-5402-7242,60924-5799-1017-22761-1508-2235-2997-3029,15284-1582-6726-20695-921-301-6286-17705,26673-4434-11239-9920-274-10522-21258-16429,35471-1527-4913-28620-1174-5279-20510-13595,35369-3114-3639-7930-754-3132-15439-18080,26426-1965-3466-6753-411-4176-9600-8297,easy
1238313-543768-147177-54364-16827-5643-10835-7316,48721-5923-23232-5622-2504-5402-7242-8050,5799-1017-22761-1508-2235-2997-3029-13383,1582-6726-20695-921-301-6286-17705-8551,4434-11239-9920-274-10522-21258-16429-21965,1527-4913-28620-1174-5279-20510-13595-36237,3114-3639-7930-754-3132-15439-18080-20549,1965-3466-6753-411-4176-9600-8297-7928,easy
543768-147177-54364-16827-5643-10835-7316-16415,5923-23232-5622-2504-5402-7242-8050-8152,1017-22761-1508-2235-2997-3029-13383-15665,6726-20695-921-301-6286-17705-8551-14937,11239-9920-274-10522-21258-16429-21965-6568,4913-28620-1174-5279-20510-13595-36237-17942,3639-7930-754-3132-15439-18080-20549-13027,3466-6753-411-4176-9600-8297-7928-5116,hard
147177-54364-16827-5643-10835-7316-16415-49062,23232-5622-2504-5402-7242-8050-8152-11389,22761-1508-2235-2997-3029-13383-15665-10816,20695-921-301-6286-17705-8551-14937-14943,9920-274-10522-21258-16429-21965-6568-13574,28620-1174-5279-20510-13595-36237-17942-26220,7930-754-3132-15439-18080-20549-13027-16101,6753-411-4176-9600-8297-7928-5116-6677,hard
54364-16827-5643-10835-7316-16415-49062-99229,5622-2504-5402-7242-8050-8152-11389-26324,1508-2235-2997-3029-13383-15665-10816-13583,921-301-6286-17705-8551-14937-14943-27768,274-10522-21258-16429-21965-6568-13574-8425,1174-5279-20510-13595-36237-17942-26220-20619,754-3132-15439-18080-20549-13027-16101-11989,411-4176-9600-8297-7928-5116-6677-4830,hard
16827-5643-10835-7316-16415-49062-99229-2527,2504-5402-7242-8050-8152-11389-26324-4509,2235-2997-3029-13383-15665-10816-13583-1298,301-6286-17705-8551-14937-14943-27768-1682,10522-21258-16429-21965-6568-13574-8425-3165,5279-20510-13595-36237-17942-26220-20619-9817,3132-15439-18080-20549-13027-16101-11989-4427,4176-9600-8297-7928-5116-6677-4830-570,hard
5643-10835-7316-16415-49062-99229-2527-17134,5402-7242-8050-8152-11389-26324-4509-10750,2997-3029-13383-15665-10816-13583-1298-4879,6286-17705-8551-14937-14943-27768-1682-6331,21258-16429-21965-6568-13574-8425-3165-22018,20510-13595-36237-17942-26220-20619-9817-38882,15439-18080-20549-13027-16101-11989-4427-15936,9600-8297-7928-5116-6677-4830-570-8375,hard
10835-7316-16415-49062-99229-2527-17134-10796,7242-8050-8152-11389-26324-4509-10750-22441,3029-13383-15665-10816-13583-1298-4879-6354,17705-8551-14937-14943-27768-1682-6331-6586,16429-21965-6568-13574-8425-3165-22018-7035,13595-36237-17942-26220-20619-9817-38882-24417,18080-20549-13027-16101-11989-4427-15936-8508,8297-7928-5116-6677-4830-570-8375-3245,hard
7316-16415-49062-99229-2527-17134-10796-1072,8050-8152-11389-26324-4509-10750-22441-3509,13383-15665-10816-13583-1298-4879-6354-5627,8551-14937-14943-27768-1682-6331-6586-7453,21965-6568-13574-8425-3165-22018-7035-13819,36237-17942-26220-20619-9817-38882-24417-9664,20549-13027-16101-11989-4427-15936-8508-10165,7928-5116-6677-4830-570-8375-3245-7392,easy
16415-49062-99229-2527-17134-10796-1072-6674,8152-11389-26324-4509-10750-22441-3509-14979,15665-10816-13583-1298-4879-6354-5627-5935,14937-14943-27768-1682-6331-6586-7453-6722,6568-13574-8425-3165-22018-7035-13819-16880,17942-26220-20619-9817-38882-24417-9664-24871,13027-16101-11989-4427-15936-8508-10165-17940,5116-6677-4830-570-8375-3245-7392-4134,hard
49062-99229-2527-17134-10796-1072-6674-4433,11389-26324-4509-10750-22441-3509-14979-12230,10816-13583-1298-4879-6354-5627-5935-2133,14943-27768-1682-6331-6586-7453-6722-9729,13574-8425-3165-22018-7035-13819-16880-3014,26220-20619-9817-38882-24417-9664-24871-8670,16101-11989-4427-15936-8508-10165-17940-4149,6677-4830-570-8375-3245-7392-4134-7460,hard
