delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
694443-92941-145508-619933-2479066-1852666-231423-173145,133364-22549-86791-134175-121217-94503-15066-6414,4280-14734-56617-68426-46789-5016-8241-720,3738-5762-5207-58189-73185-31114-7129-1822,10859-8967-35661-67988-29635-13778-3006-3337,8987-2062-18686-24881-19198-12542-5342-1949,6022-1298-6176-21831-11517-2617-2291-829,3675-1120-3121-7438-19403-1317-2152-434,easy
92941-145508-619933-2479066-1852666-231423-173145-7189,22549-86791-134175-121217-94503-15066-6414-40270,14734-56617-68426-46789-5016-8241-720-4204,5762-5207-58189-73185-31114-7129-1822-2516,8967-35661-67988-29635-13778-3006-3337-3420,2062-18686-24881-19198-12542-5342-1949-2606,1298-6176-21831-11517-2617-2291-829-514,1120-3121-7438-19403-1317-2152-434-775,easy
145508-619933-2479066-1852666-231423-173145-7189-120310,86791-134175-121217-94503-15066-6414-40270-79161,56617-68426-46789-5016-8241-720-4204-15862,5207-58189-73185-31114-7129-1822-2516-14710,35661-67988-29635-13778-3006-3337-3420-26109,18686-24881-19198-12542-5342-1949-2606-10880,6176-21831-11517-2617-2291-829-514-5505,3121-7438-19403-1317-2152-434-775-7873,easy
619933-2479066-1852666-231423-173145-7189-120310-63816,134175-121217-94503-15066-6414-40270-79161-42667,68426-46789-5016-8241-720-4204-15862-28805,58189-73185-31114-7129-1822-2516-14710-31015,67988-29635-13778-3006-3337-3420-26109-13856,24881-19198-12542-5342-1949-2606-10880-26160,21831-11517-2617-2291-829-514-5505-5769,7438-19403-1317-2152-434-775-7873-6606,easy
2479066-1852666-231423-173145-7189-120310-63816-615659,121217-94503-15066-6414-40270-79161-42667-92976,46789-5016-8241-720-4204-15862-28805-42164,73185-31114-7129-1822-2516-14710-31015-20877,29635-13778-3006-3337-3420-26109-13856-19936,19198-12542-5342-1949-2606-10880-26160-12654,11517-2617-2291-829-514-5505-5769-18461,19403-1317-2152-434-775-7873-6606-11834,easy
1852666-231423-173145-7189-120310-63816-615659-312372,94503-15066-6414-40270-79161-42667-92976-219463,5016-8241-720-4204-15862-28805-42164-180071,31114-7129-1822-2516-14710-31015-20877-93694,13778-3006-3337-3420-26109-13856-19936-60081,12542-5342-1949-2606-10880-26160-12654-21824,2617-2291-829-514-5505-5769-18461-30457,1317-2152-434-775-7873-6606-11834-4633,easy
231423-173145-7189-120310-63816-615659-312372-242257,15066-6414-40270-79161-42667-92976-219463-45129,8241-720-4204-15862-28805-42164-180071-10890,7129-1822-2516-14710-31015-20877-93694-5286,3006-3337-3420-26109-13856-19936-60081-10347,5342-1949-2606-10880-26160-12654-21824-6751,2291-829-514-5505-5769-18461-30457-8072,2152-434-775-7873-6606-11834-4633-1516,easy
173145-7189-120310-63816-615659-312372-242257-165811,6414-40270-79161-42667-92976-219463-45129-102157,720-4204-15862-28805-42164-180071-10890-32043,1822-2516-14710-31015-20877-93694-5286-19686,3337-3420-26109-13856-19936-60081-10347-38862,1949-2606-10880-26160-12654-21824-6751-21772,829-514-5505-5769-18461-30457-8072-14829,434-775-7873-6606-11834-4633-1516-8731,easy
7189-120310-63816-615659-312372-242257-165811-47651,40270-79161-42667-92976-219463-45129-102157-24331,4204-15862-28805-42164-180071-10890-32043-23572,2516-14710-31015-20877-93694-5286-19686-6433,3420-26109-13856-19936-60081-10347-38862-16208,2606-10880-26160-12654-21824-6751-21772-6666,514-5505-5769-18461-30457-8072-14829-1585,775-7873-6606-11834-4633-1516-8731-1227,easy
120310-63816-615659-312372-242257-165811-47651-109734,79161-42667-92976-219463-45129-102157-24331-12640,15862-28805-42164-180071-10890-32043-23572-5974,14710-31015-20877-93694-5286-19686-6433-3861,26109-13856-19936-60081-10347-38862-16208-3020,10880-26160-12654-21824-6751-21772-6666-2886,5505-5769-18461-30457-8072-14829-1585-493,7873-6606-11834-4633-1516-8731-1227-519,easy
63816-615659-312372-242257-165811-47651-109734-657908,42667-92976-219463-45129-102157-24331-12640-381895,28805-42164-180071-10890-32043-23572-5974-60287,31015-20877-93694-5286-19686-6433-3861-56339,13856-19936-60081-10347-38862-16208-3020-22792,26160-12654-21824-6751-21772-6666-2886-51863,5769-18461-30457-8072-14829-1585-493-32397,6606-11834-4633-1516-8731-1227-519-18677,easy
615659-312372-242257-165811-47651-109734-657908-1135064,92976-219463-45129-102157-24331-12640-381895-150393,42164-180071-10890-32043-23572-5974-60287-32573,20877-93694-5286-19686-6433-3861-56339-10080,19936-60081-10347-38862-16208-3020-22792-12739,12654-21824-6751-21772-6666-2886-51863-10796,18461-30457-8072-14829-1585-493-32397-2998,11834-4633-1516-8731-1227-519-18677-4742,easy
312372-242257-165811-47651-109734-657908-1135064-868447,219463-45129-102157-24331-12640-381895-150393-209534,180071-10890-32043-23572-5974-60287-32573-376595,93694-5286-19686-6433-3861-56339-10080-89129,60081-10347-38862-16208-3020-22792-12739-196321,21824-6751-21772-6666-2886-51863-10796-133179,30457-8072-14829-1585-493-32397-2998-53742,4633-1516-8731-1227-519-18677-4742-22085,easy
242257-165811-47651-109734-657908-1135064-868447-1654843,45129-102157-24331-12640-381895-150393-209534-180847,10890-32043-23572-5974-60287-32573-376595-51357,5286-19686-6433-3861-56339-10080-89129-24815,10347-38862-16208-3020-22792-12739-196321-64024,6751-21772-6666-2886-51863-10796-133179-36960,8072-14829-1585-493-32397-2998-53742-16653,1516-8731-1227-519-18677-4742-22085-19039,easy
165811-47651-109734-657908-1135064-868447-1654843-1053167,102157-24331-12640-381895-150393-209534-180847-34730,32043-23572-5974-60287-32573-376595-51357-8017,19686-6433-3861-56339-10080-89129-24815-24661,38862-16208-3020-22792-12739-196321-64024-54103,21772-6666-2886-51863-10796-133179-36960-11843,14829-1585-493-32397-2998-53742-16653-5309,8731-1227-519-18677-4742-22085-19039-2436,easy
47651-109734-657908-1135064-868447-1654843-1053167-1258805,24331-12640-381895-150393-209534-180847-34730-390734,23572-5974-60287-32573-376595-51357-8017-71323,6433-3861-56339-10080-89129-24815-24661-48287,16208-3020-22792-12739-196321-64024-54103-27616,6666-2886-51863-10796-133179-36960-11843-11761,1585-493-32397-2998-53742-16653-5309-20338,1227-519-18677-4742-22085-19039-2436-12729,easy
109734-657908-1135064-868447-1654843-1053167-1258805-74507,12640-381895-150393-209534-180847-34730-390734-79611,5974-60287-32573-376595-51357-8017-71323-33292,3861-56339-10080-89129-24815-24661-48287-4740,3020-22792-12739-196321-64024-54103-27616-8489,2886-51863-10796-133179-36960-11843-11761-7283,493-32397-2998-53742-16653-5309-20338-2709,519-18677-4742-22085-19039-2436-12729-1977,easy
657908-1135064-868447-1654843-1053167-1258805-74507-272128,381895-150393-209534-180847-34730-390734-79611-70616,60287-32573-376595-51357-8017-71323-33292-8374,56339-10080-89129-24815-24661-48287-4740-54246,22792-12739-196321-64024-54103-27616-8489-12505,51863-10796-133179-36960-11843-11761-7283-12982,32397-2998-53742-16653-5309-20338-2709-6262,18677-4742-22085-19039-2436-12729-1977-3322,easy
1135064-868447-1654843-1053167-1258805-74507-272128-446374,150393-209534-180847-34730-390734-79611-70616-56426,32573-376595-51357-8017-71323-33292-8374-9769,10080-89129-24815-24661-48287-4740-54246-2578,12739-196321-64024-54103-27616-8489-12505-2448,10796-133179-36960-11843-11761-7283-12982-1091,2998-53742-16653-5309-20338-2709-6262-726,4742-22085-19039-2436-12729-1977-3322-419,easy
868447-1654843-1053167-1258805-74507-272128-446374-744186,209534-180847-34730-390734-79611-70616-56426-77511,376595-51357-8017-71323-33292-8374-9769-16151,89129-24815-24661-48287-4740-54246-2578-9102,196321-64024-54103-27616-8489-12505-2448-9867,133179-36960-11843-11761-7283-12982-1091-13423,53742-16653-5309-20338-2709-6262-726-6415,22085-19039-2436-12729-1977-3322-419-1490,easy
1654843-1053167-1258805-74507-272128-446374-744186-975248,180847-34730-390734-79611-70616-56426-77511-424520,51357-8017-71323-33292-8374-9769-16151-67731,24815-24661-48287-4740-54246-2578-9102-106932,64024-54103-27616-8489-12505-2448-9867-58788,36960-11843-11761-7283-12982-1091-13423-34965,16653-5309-20338-2709-6262-726-6415-25285,19039-2436-12729-1977-3322-419-1490-16406,easy
1053167-1258805-74507-272128-446374-744186-975248-134311,34730-390734-79611-70616-56426-77511-424520-11745,8017-71323-33292-8374-9769-16151-67731-430,24661-48287-4740-54246-2578-9102-106932-1904,54103-27616-8489-12505-2448-9867-58788-2523,11843-11761-7283-12982-1091-13423-34965-1980,5309-20338-2709-6262-726-6415-25285-1423,2436-12729-1977-3322-419-1490-16406-438,hard
1258805-74507-272128-446374-744186-975248-134311-263077,390734-79611-70616-56426-77511-424520-11745-38390,71323-33292-8374-9769-16151-67731-430-23089,48287-4740-54246-2578-9102-106932-1904-13190,27616-8489-12505-2448-9867-58788-2523-9235,11761-7283-12982-1091-13423-34965-1980-4956,20338-2709-6262-726-6415-25285-1423-1812,12729-1977-3322-419-1490-16406-438-1007,hard
74507-272128-446374-744186-975248-134311-263077-7112,79611-70616-56426-77511-424520-11745-38390-20990,33292-8374-9769-16151-67731-430-23089-17949,4740-54246-2578-9102-106932-1904-13190-966,8489-12505-2448-9867-58788-2523-9235-1768,7283-12982-1091-13423-34965-1980-4956-1007,2709-6262-726-6415-25285-1423-1812-369,1977-3322-419-1490-16406-438-1007-282,easy
272128-446374-744186-975248-134311-263077-7112-232265,70616-56426-77511-424520-11745-38390-20990-17460,8374-9769-16151-67731-430-23089-17949-13974,54246-2578-9102-106932-1904-13190-966-14461,12505-2448-9867-58788-2523-9235-1768-5933,12982-1091-13423-34965-1980-4956-1007-4931,6262-726-6415-25285-1423-1812-369-1621,3322-419-1490-16406-438-1007-282-1273,easy
446374-744186-975248-134311-263077-7112-232265-47690,56426-77511-424520-11745-38390-20990-17460-64682,9769-16151-67731-430-23089-17949-13974-57745,2578-9102-106932-1904-13190-966-14461-26377,2448-9867-58788-2523-9235-1768-5933-35059,1091-13423-34965-1980-4956-1007-4931-16978,726-6415-25285-1423-1812-369-1621-5889,419-1490-16406-438-1007-282-1273-1685,easy
744186-975248-134311-263077-7112-232265-47690-1223711,77511-424520-11745-38390-20990-17460-64682-101364,16151-67731-430-23089-17949-13974-57745-35883,9102-106932-1904-13190-966-14461-26377-25084,9867-58788-2523-9235-1768-5933-35059-47816,13423-34965-1980-4956-1007-4931-16978-13501,6415-25285-1423-1812-369-1621-5889-8943,1490-16406-438-1007-282-1273-1685-5832,easy
975248-134311-263077-7112-232265-47690-1223711-50954,424520-11745-38390-20990-17460-64682-101364-45852,67731-430-23089-17949-13974-57745-35883-18996,106932-1904-13190-966-14461-26377-25084-9594,58788-2523-9235-1768-5933-35059-47816-17804,34965-1980-4956-1007-4931-16978-13501-15413,25285-1423-1812-369-1621-5889-8943-8608,16406-438-1007-282-1273-1685-5832-1768,easy
134311-263077-7112-232265-47690-1223711-50954-1560357,11745-38390-20990-17460-64682-101364-45852-126774,430-23089-17949-13974-57745-35883-18996-38394,1904-13190-966-14461-26377-25084-9594-56512,2523-9235-1768-5933-35059-47816-17804-72598,1980-4956-1007-4931-16978-13501-15413-35449,1423-1812-369-1621-5889-8943-8608-17477,438-1007-282-1273-1685-5832-1768-19031,easy
263077-7112-232265-47690-1223711-50954-1560357-889760,38390-20990-17460-64682-101364-45852-126774-266332,23089-17949-13974-57745-35883-18996-38394-15798,13190-966-14461-26377-25084-9594-56512-91261,9235-1768-5933-35059-47816-17804-72598-44891,4956-1007-4931-16978-13501-15413-35449-41003,1812-369-1621-5889-8943-8608-17477-7393,1007-282-1273-1685-5832-1768-19031-10196,easy
7112-232265-47690-1223711-50954-1560357-889760-729094,20990-17460-64682-101364-45852-126774-266332-84037,17949-13974-57745-35883-18996-38394-15798-86030,966-14461-26377-25084-9594-56512-91261-50420,1768-5933-35059-47816-17804-72598-44891-27214,1007-4931-16978-13501-15413-35449-41003-41023,369-1621-5889-8943-8608-17477-7393-10171,282-1273-1685-5832-1768-19031-10196-12143,easy
232265-47690-1223711-50954-1560357-889760-729094-1990630,17460-64682-101364-45852-126774-266332-84037-102395,13974-57745-35883-18996-38394-15798-86030-21762,14461-26377-25084-9594-56512-91261-50420-16968,5933-35059-47816-17804-72598-44891-27214-28445,4931-16978-13501-15413-35449-41003-41023-29328,1621-5889-8943-8608-17477-7393-10171-9187,1273-1685-5832-1768-19031-10196-12143-13043,easy
