delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
109863-1553092-442313-681902-167414-576715-2851679-419497,48145-990863-273976-4606-6453-201673-245242-812743,7934-187240-23791-4241-1212-66355-14158-4906,7058-143939-49290-2718-4193-31520-85938-14690,4635-10687-29305-3719-2466-13285-106291-19154,10305-19846-9736-2620-4617-12840-79884-22841,11705-34094-13826-7762-935-12541-54602-4599,5036-17155-9971-608-293-6859-79709-7935,easy
1553092-442313-681902-167414-576715-2851679-419497-389620,990863-273976-4606-6453-201673-245242-812743-39500,187240-23791-4241-1212-66355-14158-4906-8191,143939-49290-2718-4193-31520-85938-14690-11288,10687-29305-3719-2466-13285-106291-19154-6872,19846-9736-2620-4617-12840-79884-22841-5059,34094-13826-7762-935-12541-54602-4599-2916,17155-9971-608-293-6859-79709-7935-4624,easy
442313-681902-167414-576715-2851679-419497-389620-3240057,273976-4606-6453-201673-245242-812743-39500-123265,23791-4241-1212-66355-14158-4906-8191-66992,49290-2718-4193-31520-85938-14690-11288-60310,29305-3719-2466-13285-106291-19154-6872-20525,9736-2620-4617-12840-79884-22841-5059-44318,13826-7762-935-12541-54602-4599-2916-24152,9971-608-293-6859-79709-7935-4624-14098,easy
681902-167414-576715-2851679-419497-389620-3240057-189207,4606-6453-201673-245242-812743-39500-123265-20515,4241-1212-66355-14158-4906-8191-66992-827,2718-4193-31520-85938-14690-11288-60310-3521,3719-2466-13285-106291-19154-6872-20525-799,2620-4617-12840-79884-22841-5059-44318-6265,7762-935-12541-54602-4599-2916-24152-8201,608-293-6859-79709-7935-4624-14098-6996,easy
167414-576715-2851679-419497-389620-3240057-189207-437488,6453-201673-245242-812743-39500-123265-20515-105221,1212-66355-14158-4906-8191-66992-827-11196,4193-31520-85938-14690-11288-60310-3521-3367,2466-13285-106291-19154-6872-20525-799-4614,4617-12840-79884-22841-5059-44318-6265-26222,935-12541-54602-4599-2916-24152-8201-11022,293-6859-79709-7935-4624-14098-6996-13607,easy
576715-2851679-419497-389620-3240057-189207-437488-1757728,201673-245242-812743-39500-123265-20515-105221-277321,66355-14158-4906-8191-66992-827-11196-3844,31520-85938-14690-11288-60310-3521-3367-7722,13285-106291-19154-6872-20525-799-4614-21169,12840-79884-22841-5059-44318-6265-26222-6528,12541-54602-4599-2916-24152-8201-11022-2442,6859-79709-7935-4624-14098-6996-13607-4018,easy
2851679-419497-389620-3240057-189207-437488-1757728-1974558,245242-812743-39500-123265-20515-105221-277321-453697,14158-4906-8191-66992-827-11196-3844-121087,85938-14690-11288-60310-3521-3367-7722-178536,106291-19154-6872-20525-799-4614-21169-24740,79884-22841-5059-44318-6265-26222-6528-123926,54602-4599-2916-24152-8201-11022-2442-15098,79709-7935-4624-14098-6996-13607-4018-26534,easy
419497-389620-3240057-189207-437488-1757728-1974558-1931298,812743-39500-123265-20515-105221-277321-453697-1006722,4906-8191-66992-827-11196-3844-121087-60287,14690-11288-60310-3521-3367-7722-178536-104664,19154-6872-20525-799-4614-21169-24740-89349,22841-5059-44318-6265-26222-6528-123926-126076,4599-2916-24152-8201-11022-2442-15098-47335,7935-4624-14098-6996-13607-4018-26534-18379,easy
389620-3240057-189207-437488-1757728-1974558-1931298-273305,39500-123265-20515-105221-277321-453697-1006722-177257,8191-66992-827-11196-3844-121087-60287-23099,11288-60310-3521-3367-7722-178536-104664-25643,6872-20525-799-4614-21169-24740-89349-39636,5059-44318-6265-26222-6528-123926-126076-23667,2916-24152-8201-11022-2442-15098-47335-25330,4624-14098-6996-13607-4018-26534-18379-9253,easy
3240057-189207-437488-1757728-1974558-1931298-273305-757889,123265-20515-105221-277321-453697-1006722-177257-380735,66992-827-11196-3844-121087-60287-23099-28896,60310-3521-3367-7722-178536-104664-25643-21513,20525-799-4614-21169-24740-89349-39636-17897,44318-6265-26222-6528-123926-126076-23667-18859,24152-8201-11022-2442-15098-47335-25330-20465,14098-6996-13607-4018-26534-18379-9253-9682,easy
