delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
667649-813840-769692-1452456-115138-121319-1187232-792369,29300-175462-57346-115201-54893-127061-95913-365359,6146-73764-31964-34629-37055-35588-3977-17240,2459-10029-30309-11955-22083-25499-5713-48973,14838-65284-26735-8269-13310-13337-14485-39242,10568-30854-43693-16529-43346-66446-22540-34298,7216-30238-9710-17414-36719-15671-13170-28299,8451-20908-11812-4871-10835-23869-2988-29559,easy
813840-769692-1452456-115138-121319-1187232-792369-15021,175462-57346-115201-54893-127061-95913-365359-29850,73764-31964-34629-37055-35588-3977-17240-13616,10029-30309-11955-22083-25499-5713-48973-36547,65284-26735-8269-13310-13337-14485-39242-14214,30854-43693-16529-43346-66446-22540-34298-42629,30238-9710-17414-36719-15671-13170-28299-27040,20908-11812-4871-10835-23869-2988-29559-10032,easy
769692-1452456-115138-121319-1187232-792369-15021-129055,57346-115201-54893-127061-95913-365359-29850-48456,31964-34629-37055-35588-3977-17240-13616-16722,30309-11955-22083-25499-5713-48973-36547-17868,26735-8269-13310-13337-14485-39242-14214-28215,43693-16529-43346-66446-22540-34298-42629-24345,9710-17414-36719-15671-13170-28299-27040-24276,11812-4871-10835-23869-2988-29559-10032-24332,easy
1452456-115138-121319-1187232-792369-15021-129055-16564,115201-54893-127061-95913-365359-29850-48456-46237,34629-37055-35588-3977-17240-13616-16722-45379,11955-22083-25499-5713-48973-36547-17868-7879,8269-13310-13337-14485-39242-14214-28215-26917,16529-43346-66446-22540-34298-42629-24345-41805,17414-36719-15671-13170-28299-27040-24276-27618,4871-10835-23869-2988-29559-10032-24332-10126,easy
115138-121319-1187232-792369-15021-129055-16564-2190443,54893-127061-95913-365359-29850-48456-46237-225897,37055-35588-3977-17240-13616-16722-45379-3897,22083-25499-5713-48973-36547-17868-7879-27184,13310-13337-14485-39242-14214-28215-26917-33119,43346-66446-22540-34298-42629-24345-41805-22673,36719-15671-13170-28299-27040-24276-27618-26894,10835-23869-2988-29559-10032-24332-10126-25781,easy
121319-1187232-792369-15021-129055-16564-2190443-577495,127061-95913-365359-29850-48456-46237-225897-1289467,35588-3977-17240-13616-16722-45379-3897-101144,25499-5713-48973-36547-17868-7879-27184-237089,13337-14485-39242-14214-28215-26917-33119-58941,66446-22540-34298-42629-24345-41805-22673-94444,15671-13170-28299-27040-24276-27618-26894-107135,23869-2988-29559-10032-24332-10126-25781-45121,easy
1187232-792369-15021-129055-16564-2190443-577495-191192,95913-365359-29850-48456-46237-225897-1289467-133234,3977-17240-13616-16722-45379-3897-101144-10172,5713-48973-36547-17868-7879-27184-237089-891,14485-39242-14214-28215-26917-33119-58941-13997,22540-34298-42629-24345-41805-22673-94444-17238,13170-28299-27040-24276-27618-26894-107135-15073,2988-29559-10032-24332-10126-25781-45121-14418,easy
792369-15021-129055-16564-2190443-577495-191192-965792,365359-29850-48456-46237-225897-1289467-133234-156147,17240-13616-16722-45379-3897-101144-10172-12344,48973-36547-17868-7879-27184-237089-891-12362,39242-14214-28215-26917-33119-58941-13997-15387,34298-42629-24345-41805-22673-94444-17238-11854,28299-27040-24276-27618-26894-107135-15073-11650,29559-10032-24332-10126-25781-45121-14418-11382,easy
15021-129055-16564-2190443-577495-191192-965792-666900,29850-48456-46237-225897-1289467-133234-156147-80831,13616-16722-45379-3897-101144-10172-12344-75147,36547-17868-7879-27184-237089-891-12362-14703,14214-28215-26917-33119-58941-13997-15387-9734,42629-24345-41805-22673-94444-17238-11854-12937,27040-24276-27618-26894-107135-15073-11650-11362,10032-24332-10126-25781-45121-14418-11382-5941,easy
129055-16564-2190443-577495-191192-965792-666900-27966,48456-46237-225897-1289467-133234-156147-80831-25922,16722-45379-3897-101144-10172-12344-75147-13092,17868-7879-27184-237089-891-12362-14703-4994,28215-26917-33119-58941-13997-15387-9734-18912,24345-41805-22673-94444-17238-11854-12937-39922,24276-27618-26894-107135-15073-11650-11362-35853,24332-10126-25781-45121-14418-11382-5941-42781,easy
16564-2190443-577495-191192-965792-666900-27966-341582,46237-225897-1289467-133234-156147-80831-25922-11853,45379-3897-101144-10172-12344-75147-13092-20446,7879-27184-237089-891-12362-14703-4994-25612,26917-33119-58941-13997-15387-9734-18912-10116,41805-22673-94444-17238-11854-12937-39922-108729,27618-26894-107135-15073-11650-11362-35853-48139,10126-25781-45121-14418-11382-5941-42781-11527,easy
2190443-577495-191192-965792-666900-27966-341582-659203,225897-1289467-133234-156147-80831-25922-11853-292872,3897-101144-10172-12344-75147-13092-20446-61849,27184-237089-891-12362-14703-4994-25612-34277,33119-58941-13997-15387-9734-18912-10116-69150,22673-94444-17238-11854-12937-39922-108729-38538,26894-107135-15073-11650-11362-35853-48139-25292,25781-45121-14418-11382-5941-42781-11527-22881,easy
577495-191192-965792-666900-27966-341582-659203-917738,1289467-133234-156147-80831-25922-11853-292872-85613,101144-10172-12344-75147-13092-20446-61849-35603,237089-891-12362-14703-4994-25612-34277-10823,58941-13997-15387-9734-18912-10116-69150-5462,94444-17238-11854-12937-39922-108729-38538-29870,107135-15073-11650-11362-35853-48139-25292-15044,45121-14418-11382-5941-42781-11527-22881-7231,easy
191192-965792-666900-27966-341582-659203-917738-362855,133234-156147-80831-25922-11853-292872-85613-10566,10172-12344-75147-13092-20446-61849-35603-2952,891-12362-14703-4994-25612-34277-10823-2906,13997-15387-9734-18912-10116-69150-5462-4666,17238-11854-12937-39922-108729-38538-29870-4412,15073-11650-11362-35853-48139-25292-15044-3371,14418-11382-5941-42781-11527-22881-7231-2855,easy
965792-666900-27966-341582-659203-917738-362855-889781,156147-80831-25922-11853-292872-85613-10566-456492,12344-75147-13092-20446-61849-35603-2952-141760,12362-14703-4994-25612-34277-10823-2906-157979,15387-9734-18912-10116-69150-5462-4666-16905,11854-12937-39922-108729-38538-29870-4412-29231,11650-11362-35853-48139-25292-15044-3371-18443,11382-5941-42781-11527-22881-7231-2855-17424,easy
666900-27966-341582-659203-917738-362855-889781-1059248,80831-25922-11853-292872-85613-10566-456492-456225,75147-13092-20446-61849-35603-2952-141760-16737,14703-4994-25612-34277-10823-2906-157979-32101,9734-18912-10116-69150-5462-4666-16905-46670,12937-39922-108729-38538-29870-4412-29231-70013,11362-35853-48139-25292-15044-3371-18443-33342,5941-42781-11527-22881-7231-2855-17424-25446,easy
27966-341582-659203-917738-362855-889781-1059248-1920579,25922-11853-292872-85613-10566-456492-456225-1507218,13092-20446-61849-35603-2952-141760-16737-82467,4994-25612-34277-10823-2906-157979-32101-24450,18912-10116-69150-5462-4666-16905-46670-13856,39922-108729-38538-29870-4412-29231-70013-60119,35853-48139-25292-15044-3371-18443-33342-59809,42781-11527-22881-7231-2855-17424-25446-49968,easy
341582-659203-917738-362855-889781-1059248-1920579-1052309,11853-292872-85613-10566-456492-456225-1507218-151379,20446-61849-35603-2952-141760-16737-82467-34821,25612-34277-10823-2906-157979-32101-24450-85570,10116-69150-5462-4666-16905-46670-13856-144819,108729-38538-29870-4412-29231-70013-60119-37318,48139-25292-15044-3371-18443-33342-59809-35457,11527-22881-7231-2855-17424-25446-49968-45129,easy
659203-917738-362855-889781-1059248-1920579-1052309-43158,292872-85613-10566-456492-456225-1507218-151379-2018,61849-35603-2952-141760-16737-82467-34821-1488,34277-10823-2906-157979-32101-24450-85570-2338,69150-5462-4666-16905-46670-13856-144819-1253,38538-29870-4412-29231-70013-60119-37318-3284,25292-15044-3371-18443-33342-59809-35457-1289,22881-7231-2855-17424-25446-49968-45129-806,easy
917738-362855-889781-1059248-1920579-1052309-43158-73686,85613-10566-456492-456225-1507218-151379-2018-18056,35603-2952-141760-16737-82467-34821-1488-422,10823-2906-157979-32101-24450-85570-2338-2688,5462-4666-16905-46670-13856-144819-1253-3736,29870-4412-29231-70013-60119-37318-3284-3380,15044-3371-18443-33342-59809-35457-1289-1899,7231-2855-17424-25446-49968-45129-806-1707,easy
362855-889781-1059248-1920579-1052309-43158-73686-232326,10566-456492-456225-1507218-151379-2018-18056-26025,2952-141760-16737-82467-34821-1488-422-15883,2906-157979-32101-24450-85570-2338-2688-5467,4666-16905-46670-13856-144819-1253-3736-8063,4412-29231-70013-60119-37318-3284-3380-12279,3371-18443-33342-59809-35457-1289-1899-12881,2855-17424-25446-49968-45129-806-1707-7443,hard
889781-1059248-1920579-1052309-43158-73686-232326-479571,456492-456225-1507218-151379-2018-18056-26025-79537,141760-16737-82467-34821-1488-422-15883-14620,157979-32101-24450-85570-2338-2688-5467-4970,16905-46670-13856-144819-1253-3736-8063-10274,29231-70013-60119-37318-3284-3380-12279-8373,18443-33342-59809-35457-1289-1899-12881-9033,17424-25446-49968-45129-806-1707-7443-3646,hard
1059248-1920579-1052309-43158-73686-232326-479571-137119,456225-1507218-151379-2018-18056-26025-79537-7214,16737-82467-34821-1488-422-15883-14620-8681,32101-24450-85570-2338-2688-5467-4970-7784,46670-13856-144819-1253-3736-8063-10274-1285,70013-60119-37318-3284-3380-12279-8373-17639,33342-59809-35457-1289-1899-12881-9033-10499,25446-49968-45129-806-1707-7443-3646-3828,hard
1920579-1052309-43158-73686-232326-479571-137119-492831,1507218-151379-2018-18056-26025-79537-7214-45096,82467-34821-1488-422-15883-14620-8681-17217,24450-85570-2338-2688-5467-4970-7784-4991,13856-144819-1253-3736-8063-10274-1285-3451,60119-37318-3284-3380-12279-8373-17639-20904,59809-35457-1289-1899-12881-9033-10499-20332,49968-45129-806-1707-7443-3646-3828-8696,hard
1052309-43158-73686-232326-479571-137119-492831-1027027,151379-2018-18056-26025-79537-7214-45096-45423,34821-1488-422-15883-14620-8681-17217-5047,85570-2338-2688-5467-4970-7784-4991-19701,144819-1253-3736-8063-10274-1285-3451-10033,37318-3284-3380-12279-8373-17639-20904-36886,35457-1289-1899-12881-9033-10499-20332-84273,45129-806-1707-7443-3646-3828-8696-13410,easy
43158-73686-232326-479571-137119-492831-1027027-286726,2018-18056-26025-79537-7214-45096-45423-10975,1488-422-15883-14620-8681-17217-5047-6930,2338-2688-5467-4970-7784-4991-19701-8203,1253-3736-8063-10274-1285-3451-10033-6120,3284-3380-12279-8373-17639-20904-36886-12660,1289-1899-12881-9033-10499-20332-84273-6966,806-1707-7443-3646-3828-8696-13410-4056,easy
73686-232326-479571-137119-492831-1027027-286726-1319710,18056-26025-79537-7214-45096-45423-10975-116344,422-15883-14620-8681-17217-5047-6930-11829,2688-5467-4970-7784-4991-19701-8203-4919,3736-8063-10274-1285-3451-10033-6120-16295,3380-12279-8373-17639-20904-36886-12660-9025,1899-12881-9033-10499-20332-84273-6966-5835,1707-7443-3646-3828-8696-13410-4056-11709,easy
232326-479571-137119-492831-1027027-286726-1319710-459811,26025-79537-7214-45096-45423-10975-116344-139040,15883-14620-8681-17217-5047-6930-11829-29249,5467-4970-7784-4991-19701-8203-4919-14566,8063-10274-1285-3451-10033-6120-16295-16007,12279-8373-17639-20904-36886-12660-9025-63291,12881-9033-10499-20332-84273-6966-5835-44064,7443-3646-3828-8696-13410-4056-11709-17877,easy
479571-137119-492831-1027027-286726-1319710-459811-1029544,79537-7214-45096-45423-10975-116344-139040-425177,14620-8681-17217-5047-6930-11829-29249-104820,4970-7784-4991-19701-8203-4919-14566-15876,10274-1285-3451-10033-6120-16295-16007-17199,8373-17639-20904-36886-12660-9025-63291-16560,9033-10499-20332-84273-6966-5835-44064-29105,3646-3828-8696-13410-4056-11709-17877-62013,easy
137119-492831-1027027-286726-1319710-459811-1029544-885738,7214-45096-45423-10975-116344-139040-425177-103567,8681-17217-5047-6930-11829-29249-104820-20049,7784-4991-19701-8203-4919-14566-15876-28087,1285-3451-10033-6120-16295-16007-17199-41579,17639-20904-36886-12660-9025-63291-16560-40243,10499-20332-84273-6966-5835-44064-29105-22820,3828-8696-13410-4056-11709-17877-62013-12739,easy
