delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
669592-219929-1112604-2127251-85930-1056218-868872-739981,92683-48669-289398-822170-19846-165887-144751-28568,16041-2424-5352-460593-13398-47639-41078-3098,18544-12693-17878-53109-9126-14569-16886-10389,28377-5658-15112-95056-4723-17797-15404-8597,24610-5099-5556-34846-3639-11862-5555-7658,43536-9167-11316-47017-11095-15359-11960-4872,17007-5127-14135-33771-11547-8248-4579-3537,easy
219929-1112604-2127251-85930-1056218-868872-739981-1000113,48669-289398-822170-19846-165887-144751-28568-166872,2424-5352-460593-13398-47639-41078-3098-36523,12693-17878-53109-9126-14569-16886-10389-40865,5658-15112-95056-4723-17797-15404-8597-19926,5099-5556-34846-3639-11862-5555-7658-28218,9167-11316-47017-11095-15359-11960-4872-14497,5127-14135-33771-11547-8248-4579-3537-16789,easy
1112604-2127251-85930-1056218-868872-739981-1000113-2452414,289398-822170-19846-165887-144751-28568-166872-370910,5352-460593-13398-47639-41078-3098-36523-37399,17878-53109-9126-14569-16886-10389-40865-57029,15112-95056-4723-17797-15404-8597-19926-51128,5556-34846-3639-11862-5555-7658-28218-30427,11316-47017-11095-15359-11960-4872-14497-34908,14135-33771-11547-8248-4579-3537-16789-20996,easy
2127251-85930-1056218-868872-739981-1000113-2452414-2074215,822170-19846-165887-144751-28568-166872-370910-449502,460593-13398-47639-41078-3098-36523-37399-72231,53109-9126-14569-16886-10389-40865-57029-146516,95056-4723-17797-15404-8597-19926-51128-58781,34846-3639-11862-5555-7658-28218-30427-79831,47017-11095-15359-11960-4872-14497-34908-179012,33771-11547-8248-4579-3537-16789-20996-53077,easy
85930-1056218-868872-739981-1000113-2452414-2074215-939714,19846-165887-144751-28568-166872-370910-449502-49775,13398-47639-41078-3098-36523-37399-72231-43459,9126-14569-16886-10389-40865-57029-146516-45171,4723-17797-15404-8597-19926-51128-58781-9965,3639-11862-5555-7658-28218-30427-79831-8335,11095-15359-11960-4872-14497-34908-179012-10603,11547-8248-4579-3537-16789-20996-53077-21826,easy
1056218-868872-739981-1000113-2452414-2074215-939714-435658,165887-144751-28568-166872-370910-449502-49775-17513,47639-41078-3098-36523-37399-72231-43459-8386,14569-16886-10389-40865-57029-146516-45171-1980,17797-15404-8597-19926-51128-58781-9965-1579,11862-5555-7658-28218-30427-79831-8335-1915,15359-11960-4872-14497-34908-179012-10603-6964,8248-4579-3537-16789-20996-53077-21826-4059,easy
868872-739981-1000113-2452414-2074215-939714-435658-670902,144751-28568-166872-370910-449502-49775-17513-201832,41078-3098-36523-37399-72231-43459-8386-2551,16886-10389-40865-57029-146516-45171-1980-6567,15404-8597-19926-51128-58781-9965-1579-21440,5555-7658-28218-30427-79831-8335-1915-21655,11960-4872-14497-34908-179012-10603-6964-19989,4579-3537-16789-20996-53077-21826-4059-16747,easy
739981-1000113-2452414-2074215-939714-435658-670902-1033432,28568-166872-370910-449502-49775-17513-201832-492057,3098-36523-37399-72231-43459-8386-2551-25646,10389-40865-57029-146516-45171-1980-6567-23482,8597-19926-51128-58781-9965-1579-21440-8813,7658-28218-30427-79831-8335-1915-21655-10347,4872-14497-34908-179012-10603-6964-19989-27519,3537-16789-20996-53077-21826-4059-16747-7818,easy
1000113-2452414-2074215-939714-435658-670902-1033432-68026,166872-370910-449502-49775-17513-201832-492057-4194,36523-37399-72231-43459-8386-2551-25646-2116,40865-57029-146516-45171-1980-6567-23482-813,19926-51128-58781-9965-1579-21440-8813-849,28218-30427-79831-8335-1915-21655-10347-1486,14497-34908-179012-10603-6964-19989-27519-1713,16789-20996-53077-21826-4059-16747-7818-2288,easy
2452414-2074215-939714-435658-670902-1033432-68026-2157046,370910-449502-49775-17513-201832-492057-4194-677179,37399-72231-43459-8386-2551-25646-2116-140546,57029-146516-45171-1980-6567-23482-813-16010,51128-58781-9965-1579-21440-8813-849-44390,30427-79831-8335-1915-21655-10347-1486-87728,34908-179012-10603-6964-19989-27519-1713-89067,20996-53077-21826-4059-16747-7818-2288-32891,easy
2074215-939714-435658-670902-1033432-68026-2157046-947324,449502-49775-17513-201832-492057-4194-677179-46657,72231-43459-8386-2551-25646-2116-140546-14262,146516-45171-1980-6567-23482-813-16010-17586,58781-9965-1579-21440-8813-849-44390-20983,79831-8335-1915-21655-10347-1486-87728-13709,179012-10603-6964-19989-27519-1713-89067-9422,53077-21826-4059-16747-7818-2288-32891-9036,easy
939714-435658-670902-1033432-68026-2157046-947324-3447412,49775-17513-201832-492057-4194-677179-46657-229444,43459-8386-2551-25646-2116-140546-14262-54043,45171-1980-6567-23482-813-16010-17586-53975,9965-1579-21440-8813-849-44390-20983-92280,8335-1915-21655-10347-1486-87728-13709-64680,10603-6964-19989-27519-1713-89067-9422-68414,21826-4059-16747-7818-2288-32891-9036-39747,easy
435658-670902-1033432-68026-2157046-947324-3447412-793724,17513-201832-492057-4194-677179-46657-229444-52337,8386-2551-25646-2116-140546-14262-54043-2950,1980-6567-23482-813-16010-17586-53975-4398,1579-21440-8813-849-44390-20983-92280-16933,1915-21655-10347-1486-87728-13709-64680-14026,6964-19989-27519-1713-89067-9422-68414-15837,4059-16747-7818-2288-32891-9036-39747-18745,easy
670902-1033432-68026-2157046-947324-3447412-793724-804380,201832-492057-4194-677179-46657-229444-52337-234255,2551-25646-2116-140546-14262-54043-2950-122659,6567-23482-813-16010-17586-53975-4398-34642,21440-8813-849-44390-20983-92280-16933-37692,21655-10347-1486-87728-13709-64680-14026-23879,19989-27519-1713-89067-9422-68414-15837-24864,16747-7818-2288-32891-9036-39747-18745-51132,easy
1033432-68026-2157046-947324-3447412-793724-804380-32420,492057-4194-677179-46657-229444-52337-234255-27405,25646-2116-140546-14262-54043-2950-122659-3307,23482-813-16010-17586-53975-4398-34642-9289,8813-849-44390-20983-92280-16933-37692-9581,10347-1486-87728-13709-64680-14026-23879-10786,27519-1713-89067-9422-68414-15837-24864-9306,7818-2288-32891-9036-39747-18745-51132-10855,easy
68026-2157046-947324-3447412-793724-804380-32420-1286689,4194-677179-46657-229444-52337-234255-27405-44023,2116-140546-14262-54043-2950-122659-3307-6298,813-16010-17586-53975-4398-34642-9289-4454,849-44390-20983-92280-16933-37692-9581-2754,1486-87728-13709-64680-14026-23879-10786-2210,1713-89067-9422-68414-15837-24864-9306-4312,2288-32891-9036-39747-18745-51132-10855-2107,easy
2157046-947324-3447412-793724-804380-32420-1286689-1544945,677179-46657-229444-52337-234255-27405-44023-189172,140546-14262-54043-2950-122659-3307-6298-24209,16010-17586-53975-4398-34642-9289-4454-12011,44390-20983-92280-16933-37692-9581-2754-13976,87728-13709-64680-14026-23879-10786-2210-22210,89067-9422-68414-15837-24864-9306-4312-10276,32891-9036-39747-18745-51132-10855-2107-3876,easy
947324-3447412-793724-804380-32420-1286689-1544945-615191,46657-229444-52337-234255-27405-44023-189172-66377,14262-54043-2950-122659-3307-6298-24209-47365,17586-53975-4398-34642-9289-4454-12011-15621,20983-92280-16933-37692-9581-2754-13976-61588,13709-64680-14026-23879-10786-2210-22210-29997,9422-68414-15837-24864-9306-4312-10276-25727,9036-39747-18745-51132-10855-2107-3876-7073,easy
