delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
1500338-1219961-2211722-1085082-7205-376695-148079-117942,1581745-778410-706600-328906-19077-50035-61171-100334,393906-74148-200653-90356-9569-1565-10300-3101,173859-78683-251105-41037-37528-16654-6790-3536,236194-56445-157831-26970-9300-6010-3404-1648,85409-40853-121771-32606-5659-6725-3039-3788,109752-36486-147318-16963-4982-3719-6723-442,44644-36178-63804-45335-3819-4808-2215-1969,easy
1219961-2211722-1085082-7205-376695-148079-117942-66483,778410-706600-328906-19077-50035-61171-100334-67661,74148-200653-90356-9569-1565-10300-3101-1924,78683-251105-41037-37528-16654-6790-3536-2076,56445-157831-26970-9300-6010-3404-1648-1670,40853-121771-32606-5659-6725-3039-3788-2184,36486-147318-16963-4982-3719-6723-442-533,36178-63804-45335-3819-4808-2215-1969-620,easy
2211722-1085082-7205-376695-148079-117942-66483-485741,706600-328906-19077-50035-61171-100334-67661-66819,200653-90356-9569-1565-10300-3101-1924-7841,251105-41037-37528-16654-6790-3536-2076-3519,157831-26970-9300-6010-3404-1648-1670-1753,121771-32606-5659-6725-3039-3788-2184-1065,147318-16963-4982-3719-6723-442-533-507,63804-45335-3819-4808-2215-1969-620-1082,easy
1085082-7205-376695-148079-117942-66483-485741-489538,328906-19077-50035-61171-100334-67661-66819-56963,90356-9569-1565-10300-3101-1924-7841-10262,41037-37528-16654-6790-3536-2076-3519-5725,26970-9300-6010-3404-1648-1670-1753-11570,32606-5659-6725-3039-3788-2184-1065-4376,16963-4982-3719-6723-442-533-507-2379,45335-3819-4808-2215-1969-620-1082-1038,easy
7205-376695-148079-117942-66483-485741-489538-10014,19077-50035-61171-100334-67661-66819-56963-30289,9569-1565-10300-3101-1924-7841-10262-19959,37528-16654-6790-3536-2076-3519-5725-4204,9300-6010-3404-1648-1670-1753-11570-4302,5659-6725-3039-3788-2184-1065-4376-9352,4982-3719-6723-442-533-507-2379-1441,3819-4808-2215-1969-620-1082-1038-2400,easy
376695-148079-117942-66483-485741-489538-10014-1904,50035-61171-100334-67661-66819-56963-30289-7836,1565-10300-3101-1924-7841-10262-19959-9886,16654-6790-3536-2076-3519-5725-4204-1066,6010-3404-1648-1670-1753-11570-4302-8348,6725-3039-3788-2184-1065-4376-9352-4287,3719-6723-442-533-507-2379-1441-4245,4808-2215-1969-620-1082-1038-2400-1502,easy
148079-117942-66483-485741-489538-10014-1904-103571,61171-100334-67661-66819-56963-30289-7836-94782,10300-3101-1924-7841-10262-19959-9886-2590,6790-3536-2076-3519-5725-4204-1066-7810,3404-1648-1670-1753-11570-4302-8348-9497,3039-3788-2184-1065-4376-9352-4287-2754,6723-442-533-507-2379-1441-4245-4224,2215-1969-620-1082-1038-2400-1502-2919,easy
117942-66483-485741-489538-10014-1904-103571-1066876,100334-67661-66819-56963-30289-7836-94782-62018,3101-1924-7841-10262-19959-9886-2590-8669,3536-2076-3519-5725-4204-1066-7810-44041,1648-1670-1753-11570-4302-8348-9497-17099,3788-2184-1065-4376-9352-4287-2754-28814,442-533-507-2379-1441-4245-4224-10606,1969-620-1082-1038-2400-1502-2919-2649,easy
66483-485741-489538-10014-1904-103571-1066876-763165,67661-66819-56963-30289-7836-94782-62018-821676,1924-7841-10262-19959-9886-2590-8669-149564,2076-3519-5725-4204-1066-7810-44041-100872,1670-1753-11570-4302-8348-9497-17099-137121,2184-1065-4376-9352-4287-2754-28814-69236,533-507-2379-1441-4245-4224-10606-61349,620-1082-1038-2400-1502-2919-2649-28108,easy
485741-489538-10014-1904-103571-1066876-763165-326560,66819-56963-30289-7836-94782-62018-821676-23388,7841-10262-19959-9886-2590-8669-149564-16565,3519-5725-4204-1066-7810-44041-100872-15559,1753-11570-4302-8348-9497-17099-137121-3237,1065-4376-9352-4287-2754-28814-69236-7246,507-2379-1441-4245-4224-10606-61349-2432,1082-1038-2400-1502-2919-2649-28108-2655,easy
489538-10014-1904-103571-1066876-763165-326560-1044938,56963-30289-7836-94782-62018-821676-23388-33221,10262-19959-9886-2590-8669-149564-16565-16678,5725-4204-1066-7810-44041-100872-15559-6676,11570-4302-8348-9497-17099-137121-3237-3299,4376-9352-4287-2754-28814-69236-7246-2057,2379-1441-4245-4224-10606-61349-2432-2654,1038-2400-1502-2919-2649-28108-2655-6330,easy
