delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
4603-53745-635360-2080412-149046-408194-30723-116428,16320-19837-84809-32832-11727-241136-12671-21541,4605-18294-2993-31271-2514-16615-8683-13270,23032-54132-3682-8442-5706-29775-4937-3884,1204-9083-4989-9359-14256-4740-6702-4179,1196-11556-3507-4829-4958-6128-6303-1518,663-5660-981-4372-2878-9189-6879-1278,1116-6430-868-6242-1925-2633-11565-1026,easy
53745-635360-2080412-149046-408194-30723-116428-808295,19837-84809-32832-11727-241136-12671-21541-173907,18294-2993-31271-2514-16615-8683-13270-4068,54132-3682-8442-5706-29775-4937-3884-17303,9083-4989-9359-14256-4740-6702-4179-5396,11556-3507-4829-4958-6128-6303-1518-11667,5660-981-4372-2878-9189-6879-1278-8429,6430-868-6242-1925-2633-11565-1026-8237,easy
635360-2080412-149046-408194-30723-116428-808295-813539,84809-32832-11727-241136-12671-21541-173907-208447,2993-31271-2514-16615-8683-13270-4068-47148,3682-8442-5706-29775-4937-3884-17303-10163,4989-9359-14256-4740-6702-4179-5396-12658,3507-4829-4958-6128-6303-1518-11667-8844,981-4372-2878-9189-6879-1278-8429-9772,868-6242-1925-2633-11565-1026-8237-16279,easy
2080412-149046-408194-30723-116428-808295-813539-185786,32832-11727-241136-12671-21541-173907-208447-4353,31271-2514-16615-8683-13270-4068-47148-29709,8442-5706-29775-4937-3884-17303-10163-15962,9359-14256-4740-6702-4179-5396-12658-21457,4829-4958-6128-6303-1518-11667-8844-14858,4372-2878-9189-6879-1278-8429-9772-20872,6242-1925-2633-11565-1026-8237-16279-30602,easy
149046-408194-30723-116428-808295-813539-185786-472710,11727-241136-12671-21541-173907-208447-4353-812251,2514-16615-8683-13270-4068-47148-29709-59222,5706-29775-4937-3884-17303-10163-15962-48031,14256-4740-6702-4179-5396-12658-21457-88287,4958-6128-6303-1518-11667-8844-14858-23578,2878-9189-6879-1278-8429-9772-20872-13926,1925-2633-11565-1026-8237-16279-30602-18624,easy
700839-78601-587184-698754-25965-1282976-67438-341275,211388-7387-33824-363474-86062-71791-29442-272022,75491-4235-11619-58882-29041-68097-9485-71626,42160-5325-10755-71740-16625-47210-5103-55843,20647-4447-4861-38604-29195-54078-1985-25878,25684-2789-2988-21822-11269-38704-1714-25023,20097-1700-1742-17633-8154-20700-1087-6679,10265-1498-1910-13781-5277-20858-865-8831,easy
78601-587184-698754-25965-1282976-67438-341275-2057181,7387-33824-363474-86062-71791-29442-272022-283845,4235-11619-58882-29041-68097-9485-71626-73651,5325-10755-71740-16625-47210-5103-55843-44054,4447-4861-38604-29195-54078-1985-25878-28667,2789-2988-21822-11269-38704-1714-25023-9667,1700-1742-17633-8154-20700-1087-6679-9607,1498-1910-13781-5277-20858-865-8831-5792,easy
587184-698754-25965-1282976-67438-341275-2057181-112986,33824-363474-86062-71791-29442-272022-283845-13927,11619-58882-29041-68097-9485-71626-73651-1142,10755-71740-16625-47210-5103-55843-44054-9527,4861-38604-29195-54078-1985-25878-28667-1549,2988-21822-11269-38704-1714-25023-9667-911,1742-17633-8154-20700-1087-6679-9607-953,1910-13781-5277-20858-865-8831-5792-395,easy
698754-25965-1282976-67438-341275-2057181-112986-1092174,363474-86062-71791-29442-272022-283845-13927-293707,58882-29041-68097-9485-71626-73651-1142-112574,71740-16625-47210-5103-55843-44054-9527-41803,38604-29195-54078-1985-25878-28667-1549-43836,21822-11269-38704-1714-25023-9667-911-20749,17633-8154-20700-1087-6679-9607-953-4436,13781-5277-20858-865-8831-5792-395-4822,easy
25965-1282976-67438-341275-2057181-112986-1092174-5848,86062-71791-29442-272022-283845-13927-293707-7112,29041-68097-9485-71626-73651-1142-112574-5220,16625-47210-5103-55843-44054-9527-41803-3650,29195-54078-1985-25878-28667-1549-43836-4144,11269-38704-1714-25023-9667-911-20749-1957,8154-20700-1087-6679-9607-953-4436-1572,5277-20858-865-8831-5792-395-4822-712,easy
1282976-67438-341275-2057181-112986-1092174-5848-467779,71791-29442-272022-283845-13927-293707-7112-387084,68097-9485-71626-73651-1142-112574-5220-37174,47210-5103-55843-44054-9527-41803-3650-81103,54078-1985-25878-28667-1549-43836-4144-23076,38704-1714-25023-9667-911-20749-1957-22470,20700-1087-6679-9607-953-4436-1572-22539,20858-865-8831-5792-395-4822-712-7394,easy
67438-341275-2057181-112986-1092174-5848-467779-3840071,29442-272022-283845-13927-293707-7112-387084-234921,9485-71626-73651-1142-112574-5220-37174-68240,5103-55843-44054-9527-41803-3650-81103-50406,1985-25878-28667-1549-43836-4144-23076-55918,1714-25023-9667-911-20749-1957-22470-44886,1087-6679-9607-953-4436-1572-22539-14351,865-8831-5792-395-4822-712-7394-8041,easy
341275-2057181-112986-1092174-5848-467779-3840071-21489,272022-283845-13927-293707-7112-387084-234921-20177,71626-73651-1142-112574-5220-37174-68240-9156,55843-44054-9527-41803-3650-81103-50406-6177,25878-28667-1549-43836-4144-23076-55918-4689,25023-9667-911-20749-1957-22470-44886-2248,6679-9607-953-4436-1572-22539-14351-848,8831-5792-395-4822-712-7394-8041-1230,easy
2057181-112986-1092174-5848-467779-3840071-21489-228153,283845-13927-293707-7112-387084-234921-20177-24974,73651-1142-112574-5220-37174-68240-9156-5932,44054-9527-41803-3650-81103-50406-6177-3863,28667-1549-43836-4144-23076-55918-4689-1253,9667-911-20749-1957-22470-44886-2248-3312,9607-953-4436-1572-22539-14351-848-1025,5792-395-4822-712-7394-8041-1230-842,easy
112986-1092174-5848-467779-3840071-21489-228153-26188,13927-293707-7112-387084-234921-20177-24974-113966,1142-112574-5220-37174-68240-9156-5932-2809,9527-41803-3650-81103-50406-6177-3863-7838,1549-43836-4144-23076-55918-4689-1253-8148,911-20749-1957-22470-44886-2248-3312-5839,953-4436-1572-22539-14351-848-1025-2394,395-4822-712-7394-8041-1230-842-4892,easy
1092174-5848-467779-3840071-21489-228153-26188-2201927,293707-7112-387084-234921-20177-24974-113966-320994,112574-5220-37174-68240-9156-5932-2809-19516,41803-3650-81103-50406-6177-3863-7838-19312,43836-4144-23076-55918-4689-1253-8148-73831,20749-1957-22470-44886-2248-3312-5839-27667,4436-1572-22539-14351-848-1025-2394-21766,4822-712-7394-8041-1230-842-4892-16803,easy
5848-467779-3840071-21489-228153-26188-2201927-2169754,7112-387084-234921-20177-24974-113966-320994-108092,5220-37174-68240-9156-5932-2809-19516-53014,3650-81103-50406-6177-3863-7838-19312-63598,4144-23076-55918-4689-1253-8148-73831-32564,1957-22470-44886-2248-3312-5839-27667-26872,1572-22539-14351-848-1025-2394-21766-33265,712-7394-8041-1230-842-4892-16803-15673,easy
467779-3840071-21489-228153-26188-2201927-2169754-72464,387084-234921-20177-24974-113966-320994-108092-24040,37174-68240-9156-5932-2809-19516-53014-7385,81103-50406-6177-3863-7838-19312-63598-3208,23076-55918-4689-1253-8148-73831-32564-3137,22470-44886-2248-3312-5839-27667-26872-2031,22539-14351-848-1025-2394-21766-33265-473,7394-8041-1230-842-4892-16803-15673-516,easy
