delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
26764-87482-72524-60193-416281-344961-357660-225331,10801-110215-63769-35813-165855-38353-54996-121505,6092-8156-5390-9081-14371-10961-21913-13831,6713-11885-4857-27297-5191-34088-26155-12484,7377-20949-16519-19609-10043-14518-47278-10456,12175-35706-11397-9349-13008-26375-35603-19433,5137-8189-9376-14341-12140-9713-31953-18848,3948-18670-6545-6350-8796-7113-8908-11441,easy
87482-72524-60193-416281-344961-357660-225331-1660562,110215-63769-35813-165855-38353-54996-121505-89306,8156-5390-9081-14371-10961-21913-13831-28749,11885-4857-27297-5191-34088-26155-12484-43576,20949-16519-19609-10043-14518-47278-10456-12889,35706-11397-9349-13008-26375-35603-19433-12548,8189-9376-14341-12140-9713-31953-18848-23310,18670-6545-6350-8796-7113-8908-11441-11378,easy
72524-60193-416281-344961-357660-225331-1660562-556555,63769-35813-165855-38353-54996-121505-89306-123553,5390-9081-14371-10961-21913-13831-28749-11408,4857-27297-5191-34088-26155-12484-43576-1569,16519-19609-10043-14518-47278-10456-12889-8859,11397-9349-13008-26375-35603-19433-12548-9505,9376-14341-12140-9713-31953-18848-23310-11222,6545-6350-8796-7113-8908-11441-11378-10355,easy
60193-416281-344961-357660-225331-1660562-556555-100892,35813-165855-38353-54996-121505-89306-123553-3396,9081-14371-10961-21913-13831-28749-11408-12270,27297-5191-34088-26155-12484-43576-1569-4987,19609-10043-14518-47278-10456-12889-8859-2162,9349-13008-26375-35603-19433-12548-9505-3820,14341-12140-9713-31953-18848-23310-11222-1343,6350-8796-7113-8908-11441-11378-10355-1100,easy
416281-344961-357660-225331-1660562-556555-100892-1536818,165855-38353-54996-121505-89306-123553-3396-133123,14371-10961-21913-13831-28749-11408-12270-16417,5191-34088-26155-12484-43576-1569-4987-26345,10043-14518-47278-10456-12889-8859-2162-17594,13008-26375-35603-19433-12548-9505-3820-10595,12140-9713-31953-18848-23310-11222-1343-16550,8796-7113-8908-11441-11378-10355-1100-5038,easy
344961-357660-225331-1660562-556555-100892-1536818-1633621,38353-54996-121505-89306-123553-3396-133123-411992,10961-21913-13831-28749-11408-12270-16417-2898,34088-26155-12484-43576-1569-4987-26345-15535,14518-47278-10456-12889-8859-2162-17594-15646,26375-35603-19433-12548-9505-3820-10595-37257,9713-31953-18848-23310-11222-1343-16550-21748,7113-8908-11441-11378-10355-1100-5038-11679,easy
357660-225331-1660562-556555-100892-1536818-1633621-693466,54996-121505-89306-123553-3396-133123-411992-60631,21913-13831-28749-11408-12270-16417-2898-5228,26155-12484-43576-1569-4987-26345-15535-2602,47278-10456-12889-8859-2162-17594-15646-1140,35603-19433-12548-9505-3820-10595-37257-2486,31953-18848-23310-11222-1343-16550-21748-2429,8908-11441-11378-10355-1100-5038-11679-3520,easy
225331-1660562-556555-100892-1536818-1633621-693466-166735,121505-89306-123553-3396-133123-411992-60631-62738,13831-28749-11408-12270-16417-2898-5228-4030,12484-43576-1569-4987-26345-15535-2602-5128,10456-12889-8859-2162-17594-15646-1140-7594,19433-12548-9505-3820-10595-37257-2486-6427,18848-23310-11222-1343-16550-21748-2429-4722,11441-11378-10355-1100-5038-11679-3520-4171,easy
1660562-556555-100892-1536818-1633621-693466-166735-167650,89306-123553-3396-133123-411992-60631-62738-144417,28749-11408-12270-16417-2898-5228-4030-7626,43576-1569-4987-26345-15535-2602-5128-70920,12889-8859-2162-17594-15646-1140-7594-20931,12548-9505-3820-10595-37257-2486-6427-22805,23310-11222-1343-16550-21748-2429-4722-27405,11378-10355-1100-5038-11679-3520-4171-12817,easy
556555-100892-1536818-1633621-693466-166735-167650-665317,123553-3396-133123-411992-60631-62738-144417-82612,11408-12270-16417-2898-5228-4030-7626-39359,1569-4987-26345-15535-2602-5128-70920-17409,8859-2162-17594-15646-1140-7594-20931-31157,9505-3820-10595-37257-2486-6427-22805-15205,11222-1343-16550-21748-2429-4722-27405-9217,10355-1100-5038-11679-3520-4171-12817-8535,easy
100892-1536818-1633621-693466-166735-167650-665317-88859,3396-133123-411992-60631-62738-144417-82612-25153,12270-16417-2898-5228-4030-7626-39359-10789,4987-26345-15535-2602-5128-70920-17409-4465,2162-17594-15646-1140-7594-20931-31157-2651,3820-10595-37257-2486-6427-22805-15205-4070,1343-16550-21748-2429-4722-27405-9217-5101,1100-5038-11679-3520-4171-12817-8535-4378,easy
