delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
506609-29965-30970-763896-148501-105347-2251395-202037,52619-3110-83853-55535-31905-174092-163761-36144,796-2976-18826-11177-13525-9591-47263-16433,10294-309-3994-3924-2705-4497-30863-4072,5589-495-7518-2424-5284-6472-37029-12806,4406-771-3542-5186-17226-2893-29896-5538,6313-792-2550-4969-13523-5220-22023-6720,4896-882-2319-4123-3946-2566-24145-5282,easy
29965-30970-763896-148501-105347-2251395-202037-463578,3110-83853-55535-31905-174092-163761-36144-158840,2976-18826-11177-13525-9591-47263-16433-9752,309-3994-3924-2705-4497-30863-4072-4382,495-7518-2424-5284-6472-37029-12806-2371,771-3542-5186-17226-2893-29896-5538-6392,792-2550-4969-13523-5220-22023-6720-2258,882-2319-4123-3946-2566-24145-5282-2638,easy
30970-763896-148501-105347-2251395-202037-463578-277591,83853-55535-31905-174092-163761-36144-158840-61780,18826-11177-13525-9591-47263-16433-9752-10534,3994-3924-2705-4497-30863-4072-4382-16332,7518-2424-5284-6472-37029-12806-2371-7037,3542-5186-17226-2893-29896-5538-6392-4897,2550-4969-13523-5220-22023-6720-2258-2087,2319-4123-3946-2566-24145-5282-2638-1356,easy
763896-148501-105347-2251395-202037-463578-277591-1943504,55535-31905-174092-163761-36144-158840-61780-494588,11177-13525-9591-47263-16433-9752-10534-8456,3924-2705-4497-30863-4072-4382-16332-7002,2424-5284-6472-37029-12806-2371-7037-14496,5186-17226-2893-29896-5538-6392-4897-11470,4969-13523-5220-22023-6720-2258-2087-10668,4123-3946-2566-24145-5282-2638-1356-5873,easy
148501-105347-2251395-202037-463578-277591-1943504-4045,31905-174092-163761-36144-158840-61780-494588-25767,13525-9591-47263-16433-9752-10534-8456-3406,2705-4497-30863-4072-4382-16332-7002-25245,5284-6472-37029-12806-2371-7037-14496-11788,17226-2893-29896-5538-6392-4897-11470-10025,13523-5220-22023-6720-2258-2087-10668-5015,3946-2566-24145-5282-2638-1356-5873-3371,easy
105347-2251395-202037-463578-277591-1943504-4045-599443,174092-163761-36144-158840-61780-494588-25767-332643,9591-47263-16433-9752-10534-8456-3406-270036,4497-30863-4072-4382-16332-7002-25245-26868,6472-37029-12806-2371-7037-14496-11788-29396,2893-29896-5538-6392-4897-11470-10025-60392,5220-22023-6720-2258-2087-10668-5015-43812,2566-24145-5282-2638-1356-5873-3371-34825,easy
2251395-202037-463578-277591-1943504-4045-599443-837224,163761-36144-158840-61780-494588-25767-332643-70801,47263-16433-9752-10534-8456-3406-270036-42321,30863-4072-4382-16332-7002-25245-26868-17517,37029-12806-2371-7037-14496-11788-29396-27060,29896-5538-6392-4897-11470-10025-60392-11069,22023-6720-2258-2087-10668-5015-43812-33289,24145-5282-2638-1356-5873-3371-34825-4914,easy
202037-463578-277591-1943504-4045-599443-837224-74365,36144-158840-61780-494588-25767-332643-70801-50519,16433-9752-10534-8456-3406-270036-42321-4597,4072-4382-16332-7002-25245-26868-17517-6181,12806-2371-7037-14496-11788-29396-27060-10594,5538-6392-4897-11470-10025-60392-11069-9534,6720-2258-2087-10668-5015-43812-33289-5731,5282-2638-1356-5873-3371-34825-4914-8020,easy
463578-277591-1943504-4045-599443-837224-74365-2100946,158840-61780-494588-25767-332643-70801-50519-298329,9752-10534-8456-3406-270036-42321-4597-167318,4382-16332-7002-25245-26868-17517-6181-92582,2371-7037-14496-11788-29396-27060-10594-49291,6392-4897-11470-10025-60392-11069-9534-27976,2258-2087-10668-5015-43812-33289-5731-37603,2638-1356-5873-3371-34825-4914-8020-21428,easy
277591-1943504-4045-599443-837224-74365-2100946-151165,61780-494588-25767-332643-70801-50519-298329-39782,10534-8456-3406-270036-42321-4597-167318-7095,16332-7002-25245-26868-17517-6181-92582-11671,7037-14496-11788-29396-27060-10594-49291-1909,4897-11470-10025-60392-11069-9534-27976-3669,2087-10668-5015-43812-33289-5731-37603-3978,1356-5873-3371-34825-4914-8020-21428-1489,easy
1943504-4045-599443-837224-74365-2100946-151165-331274,494588-25767-332643-70801-50519-298329-39782-112107,8456-3406-270036-42321-4597-167318-7095-21073,7002-25245-26868-17517-6181-92582-11671-19017,14496-11788-29396-27060-10594-49291-1909-9169,11470-10025-60392-11069-9534-27976-3669-7878,10668-5015-43812-33289-5731-37603-3978-2649,5873-3371-34825-4914-8020-21428-1489-2382,easy
4045-599443-837224-74365-2100946-151165-331274-73733,25767-332643-70801-50519-298329-39782-112107-21561,3406-270036-42321-4597-167318-7095-21073-6209,25245-26868-17517-6181-92582-11671-19017-2640,11788-29396-27060-10594-49291-1909-9169-6398,10025-60392-11069-9534-27976-3669-7878-1468,5015-43812-33289-5731-37603-3978-2649-730,3371-34825-4914-8020-21428-1489-2382-464,easy
599443-837224-74365-2100946-151165-331274-73733-1334991,332643-70801-50519-298329-39782-112107-21561-145297,270036-42321-4597-167318-7095-21073-6209-37101,26868-17517-6181-92582-11671-19017-2640-41300,29396-27060-10594-49291-1909-9169-6398-47523,60392-11069-9534-27976-3669-7878-1468-21637,43812-33289-5731-37603-3978-2649-730-7640,34825-4914-8020-21428-1489-2382-464-3704,easy
837224-74365-2100946-151165-331274-73733-1334991-694105,70801-50519-298329-39782-112107-21561-145297-431818,42321-4597-167318-7095-21073-6209-37101-126201,17517-6181-92582-11671-19017-2640-41300-38466,27060-10594-49291-1909-9169-6398-47523-25062,11069-9534-27976-3669-7878-1468-21637-16539,33289-5731-37603-3978-2649-730-7640-33439,4914-8020-21428-1489-2382-464-3704-14148,easy
74365-2100946-151165-331274-73733-1334991-694105-175368,50519-298329-39782-112107-21561-145297-431818-43281,4597-167318-7095-21073-6209-37101-126201-4764,6181-92582-11671-19017-2640-41300-38466-22581,10594-49291-1909-9169-6398-47523-25062-13262,9534-27976-3669-7878-1468-21637-16539-7942,5731-37603-3978-2649-730-7640-33439-10798,8020-21428-1489-2382-464-3704-14148-3775,easy
2100946-151165-331274-73733-1334991-694105-175368-118956,298329-39782-112107-21561-145297-431818-43281-50882,167318-7095-21073-6209-37101-126201-4764-5439,92582-11671-19017-2640-41300-38466-22581-8108,49291-1909-9169-6398-47523-25062-13262-19655,27976-3669-7878-1468-21637-16539-7942-26665,37603-3978-2649-730-7640-33439-10798-16199,21428-1489-2382-464-3704-14148-3775-11564,easy
151165-331274-73733-1334991-694105-175368-118956-3608505,39782-112107-21561-145297-431818-43281-50882-153675,7095-21073-6209-37101-126201-4764-5439-60366,11671-19017-2640-41300-38466-22581-8108-24741,1909-9169-6398-47523-25062-13262-19655-29621,3669-7878-1468-21637-16539-7942-26665-10882,3978-2649-730-7640-33439-10798-16199-29813,1489-2382-464-3704-14148-3775-11564-6330,easy
331274-73733-1334991-694105-175368-118956-3608505-208451,112107-21561-145297-431818-43281-50882-153675-45350,21073-6209-37101-126201-4764-5439-60366-9375,19017-2640-41300-38466-22581-8108-24741-13935,9169-6398-47523-25062-13262-19655-29621-14790,7878-1468-21637-16539-7942-26665-10882-13103,2649-730-7640-33439-10798-16199-29813-2231,2382-464-3704-14148-3775-11564-6330-1396,easy
73733-1334991-694105-175368-118956-3608505-208451-113799,21561-145297-431818-43281-50882-153675-45350-74680,6209-37101-126201-4764-5439-60366-9375-14889,2640-41300-38466-22581-8108-24741-13935-15451,6398-47523-25062-13262-19655-29621-14790-4490,1468-21637-16539-7942-26665-10882-13103-3486,730-7640-33439-10798-16199-29813-2231-2507,464-3704-14148-3775-11564-6330-1396-3460,easy
1334991-694105-175368-118956-3608505-208451-113799-560120,145297-431818-43281-50882-153675-45350-74680-183128,37101-126201-4764-5439-60366-9375-14889-10324,41300-38466-22581-8108-24741-13935-15451-8624,47523-25062-13262-19655-29621-14790-4490-13317,21637-16539-7942-26665-10882-13103-3486-15607,7640-33439-10798-16199-29813-2231-2507-5224,3704-14148-3775-11564-6330-1396-3460-4185,easy
694105-175368-118956-3608505-208451-113799-560120-865697,431818-43281-50882-153675-45350-74680-183128-93057,126201-4764-5439-60366-9375-14889-10324-26073,38466-22581-8108-24741-13935-15451-8624-17103,25062-13262-19655-29621-14790-4490-13317-23165,16539-7942-26665-10882-13103-3486-15607-13708,33439-10798-16199-29813-2231-2507-5224-9052,14148-3775-11564-6330-1396-3460-4185-12310,easy
175368-118956-3608505-208451-113799-560120-865697-1038482,43281-50882-153675-45350-74680-183128-93057-163380,4764-5439-60366-9375-14889-10324-26073-54381,22581-8108-24741-13935-15451-8624-17103-121728,13262-19655-29621-14790-4490-13317-23165-63014,7942-26665-10882-13103-3486-15607-13708-14491,10798-16199-29813-2231-2507-5224-9052-12867,3775-11564-6330-1396-3460-4185-12310-6895,easy
118956-3608505-208451-113799-560120-865697-1038482-1848512,50882-153675-45350-74680-183128-93057-163380-272013,5439-60366-9375-14889-10324-26073-54381-79028,8108-24741-13935-15451-8624-17103-121728-12395,19655-29621-14790-4490-13317-23165-63014-31305,26665-10882-13103-3486-15607-13708-14491-16419,16199-29813-2231-2507-5224-9052-12867-6797,11564-6330-1396-3460-4185-12310-6895-9050,easy
3608505-208451-113799-560120-865697-1038482-1848512-542372,153675-45350-74680-183128-93057-163380-272013-19668,60366-9375-14889-10324-26073-54381-79028-7188,24741-13935-15451-8624-17103-121728-12395-3552,29621-14790-4490-13317-23165-63014-31305-4025,10882-13103-3486-15607-13708-14491-16419-2621,29813-2231-2507-5224-9052-12867-6797-914,6330-1396-3460-4185-12310-6895-9050-431,easy
208451-113799-560120-865697-1038482-1848512-542372-98517,45350-74680-183128-93057-163380-272013-19668-20265,9375-14889-10324-26073-54381-79028-7188-4474,13935-15451-8624-17103-121728-12395-3552-15931,14790-4490-13317-23165-63014-31305-4025-7981,13103-3486-15607-13708-14491-16419-2621-3356,2231-2507-5224-9052-12867-6797-914-801,1396-3460-4185-12310-6895-9050-431-2574,easy
113799-560120-865697-1038482-1848512-542372-98517-585443,74680-183128-93057-163380-272013-19668-20265-1080303,14889-10324-26073-54381-79028-7188-4474-532085,15451-8624-17103-121728-12395-3552-15931-98820,4490-13317-23165-63014-31305-4025-7981-199273,3486-15607-13708-14491-16419-2621-3356-117322,2507-5224-9052-12867-6797-914-801-65978,3460-4185-12310-6895-9050-431-2574-22246,easy
560120-865697-1038482-1848512-542372-98517-585443-844428,183128-93057-163380-272013-19668-20265-1080303-645899,10324-26073-54381-79028-7188-4474-532085-191142,8624-17103-121728-12395-3552-15931-98820-106737,13317-23165-63014-31305-4025-7981-199273-87468,15607-13708-14491-16419-2621-3356-117322-74990,5224-9052-12867-6797-914-801-65978-57246,4185-12310-6895-9050-431-2574-22246-71684,easy
865697-1038482-1848512-542372-98517-585443-844428-140821,93057-163380-272013-19668-20265-1080303-645899-457622,26073-54381-79028-7188-4474-532085-191142-204361,17103-121728-12395-3552-15931-98820-106737-54606,23165-63014-31305-4025-7981-199273-87468-22803,13708-14491-16419-2621-3356-117322-74990-19877,9052-12867-6797-914-801-65978-57246-26295,12310-6895-9050-431-2574-22246-71684-13683,easy
1038482-1848512-542372-98517-585443-844428-140821-89185,163380-272013-19668-20265-1080303-645899-457622-10944,54381-79028-7188-4474-532085-191142-204361-22137,121728-12395-3552-15931-98820-106737-54606-5922,63014-31305-4025-7981-199273-87468-22803-1156,14491-16419-2621-3356-117322-74990-19877-1903,12867-6797-914-801-65978-57246-26295-2437,6895-9050-431-2574-22246-71684-13683-2513,easy
1848512-542372-98517-585443-844428-140821-89185-41436,272013-19668-20265-1080303-645899-457622-10944-30385,79028-7188-4474-532085-191142-204361-22137-6196,12395-3552-15931-98820-106737-54606-5922-2125,31305-4025-7981-199273-87468-22803-1156-1952,16419-2621-3356-117322-74990-19877-1903-3136,6797-914-801-65978-57246-26295-2437-455,9050-431-2574-22246-71684-13683-2513-964,easy
542372-98517-585443-844428-140821-89185-41436-8482,19668-20265-1080303-645899-457622-10944-30385-7718,7188-4474-532085-191142-204361-22137-6196-5529,3552-15931-98820-106737-54606-5922-2125-5649,4025-7981-199273-87468-22803-1156-1952-11229,2621-3356-117322-74990-19877-1903-3136-7527,914-801-65978-57246-26295-2437-455-5004,431-2574-22246-71684-13683-2513-964-3916,easy
98517-585443-844428-140821-89185-41436-8482-8482,20265-1080303-645899-457622-10944-30385-7718-7718,4474-532085-191142-204361-22137-6196-5529-5529,15931-98820-106737-54606-5922-2125-5649-5649,7981-199273-87468-22803-1156-1952-11229-11229,3356-117322-74990-19877-1903-3136-7527-7527,801-65978-57246-26295-2437-455-5004-5004,2574-22246-71684-13683-2513-964-3916-3916,hard
585443-844428-140821-89185-41436-8482-8482-156406,1080303-645899-457622-10944-30385-7718-7718-34444,532085-191142-204361-22137-6196-5529-5529-4709,98820-106737-54606-5922-2125-5649-5649-23442,199273-87468-22803-1156-1952-11229-11229-13247,117322-74990-19877-1903-3136-7527-7527-4406,65978-57246-26295-2437-455-5004-5004-3461,22246-71684-13683-2513-964-3916-3916-5540,easy
844428-140821-89185-41436-8482-8482-156406-486513,645899-457622-10944-30385-7718-7718-34444-37950,191142-204361-22137-6196-5529-5529-4709-18562,106737-54606-5922-2125-5649-5649-23442-10489,87468-22803-1156-1952-11229-11229-13247-19071,74990-19877-1903-3136-7527-7527-4406-24201,57246-26295-2437-455-5004-5004-3461-7177,71684-13683-2513-964-3916-3916-5540-7633,easy
140821-89185-41436-8482-8482-156406-486513-101243,457622-10944-30385-7718-7718-34444-37950-27378,204361-22137-6196-5529-5529-4709-18562-4883,54606-5922-2125-5649-5649-23442-10489-3066,22803-1156-1952-11229-11229-13247-19071-1659,19877-1903-3136-7527-7527-4406-24201-2065,26295-2437-455-5004-5004-3461-7177-988,13683-2513-964-3916-3916-5540-7633-461,hard
89185-41436-8482-8482-156406-486513-101243-227192,10944-30385-7718-7718-34444-37950-27378-32954,22137-6196-5529-5529-4709-18562-4883-429,5922-2125-5649-5649-23442-10489-3066-1677,1156-1952-11229-11229-13247-19071-1659-1198,1903-3136-7527-7527-4406-24201-2065-743,2437-455-5004-5004-3461-7177-988-702,2513-964-3916-3916-5540-7633-461-743,easy
41436-8482-8482-156406-486513-101243-227192-69944,30385-7718-7718-34444-37950-27378-32954-3011,6196-5529-5529-4709-18562-4883-429-2450,2125-5649-5649-23442-10489-3066-1677-2417,1952-11229-11229-13247-19071-1659-1198-6934,3136-7527-7527-4406-24201-2065-743-1978,455-5004-5004-3461-7177-988-702-1157,964-3916-3916-5540-7633-461-743-1071,easy
8482-8482-156406-486513-101243-227192-69944-61073,7718-7718-34444-37950-27378-32954-3011-36670,5529-5529-4709-18562-4883-429-2450-21900,5649-5649-23442-10489-3066-1677-2417-22230,11229-11229-13247-19071-1659-1198-6934-8516,7527-7527-4406-24201-2065-743-1978-1995,5004-5004-3461-7177-988-702-1157-5652,3916-3916-5540-7633-461-743-1071-5024,easy
8482-156406-486513-101243-227192-69944-61073-18203,7718-34444-37950-27378-32954-3011-36670-62059,5529-4709-18562-4883-429-2450-21900-5180,5649-23442-10489-3066-1677-2417-22230-13218,11229-13247-19071-1659-1198-6934-8516-10703,7527-4406-24201-2065-743-1978-1995-7584,5004-3461-7177-988-702-1157-5652-2234,3916-5540-7633-461-743-1071-5024-8442,easy
156406-486513-101243-227192-69944-61073-18203-163093,34444-37950-27378-32954-3011-36670-62059-105351,4709-18562-4883-429-2450-21900-5180-8933,23442-10489-3066-1677-2417-22230-13218-7128,13247-19071-1659-1198-6934-8516-10703-4767,4406-24201-2065-743-1978-1995-7584-5306,3461-7177-988-702-1157-5652-2234-3392,5540-7633-461-743-1071-5024-8442-1545,hard
486513-101243-227192-69944-61073-18203-163093-857452,37950-27378-32954-3011-36670-62059-105351-1586157,18562-4883-429-2450-21900-5180-8933-93742,10489-3066-1677-2417-22230-13218-7128-146525,19071-1659-1198-6934-8516-10703-4767-174581,24201-2065-743-1978-1995-7584-5306-34332,7177-988-702-1157-5652-2234-3392-36639,7633-461-743-1071-5024-8442-1545-52308,hard
101243-227192-69944-61073-18203-163093-857452-1918003,27378-32954-3011-36670-62059-105351-1586157-441636,4883-429-2450-21900-5180-8933-93742-178577,3066-1677-2417-22230-13218-7128-146525-246476,1659-1198-6934-8516-10703-4767-174581-179377,2065-743-1978-1995-7584-5306-34332-181071,988-702-1157-5652-2234-3392-36639-168938,461-743-1071-5024-8442-1545-52308-129646,easy
