delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
72942-4295-403390-28827-33974-90313-207639-35861,48179-10554-16949-18608-25924-46705-6436-12965,1028-6298-7600-712-15179-15190-2838-13213,1955-5720-5010-2499-11798-16964-1168-9030,128-5158-3294-3690-22296-6274-2682-6156,1931-3272-8648-3549-39717-4680-5048-20418,919-1683-5042-568-8600-1284-1162-2654,552-2584-4063-461-3031-729-559-1539,easy
4295-403390-28827-33974-90313-207639-35861-175200,10554-16949-18608-25924-46705-6436-12965-19736,6298-7600-712-15179-15190-2838-13213-6234,5720-5010-2499-11798-16964-1168-9030-2837,5158-3294-3690-22296-6274-2682-6156-4389,3272-8648-3549-39717-4680-5048-20418-4936,1683-5042-568-8600-1284-1162-2654-1383,2584-4063-461-3031-729-559-1539-1267,easy
403390-28827-33974-90313-207639-35861-175200-10523,16949-18608-25924-46705-6436-12965-19736-8687,7600-712-15179-15190-2838-13213-6234-4908,5010-2499-11798-16964-1168-9030-2837-13731,3294-3690-22296-6274-2682-6156-4389-3630,8648-3549-39717-4680-5048-20418-4936-25893,5042-568-8600-1284-1162-2654-1383-5648,4063-461-3031-729-559-1539-1267-4221,easy
28827-33974-90313-207639-35861-175200-10523-95925,18608-25924-46705-6436-12965-19736-8687-12008,712-15179-15190-2838-13213-6234-4908-4498,2499-11798-16964-1168-9030-2837-13731-3815,3690-22296-6274-2682-6156-4389-3630-3786,3549-39717-4680-5048-20418-4936-25893-9254,568-8600-1284-1162-2654-1383-5648-786,461-3031-729-559-1539-1267-4221-943,easy
33974-90313-207639-35861-175200-10523-95925-31713,25924-46705-6436-12965-19736-8687-12008-8627,15179-15190-2838-13213-6234-4908-4498-4388,11798-16964-1168-9030-2837-13731-3815-3171,22296-6274-2682-6156-4389-3630-3786-15389,39717-4680-5048-20418-4936-25893-9254-17097,8600-1284-1162-2654-1383-5648-786-5535,3031-729-559-1539-1267-4221-943-7358,easy
90313-207639-35861-175200-10523-95925-31713-50972,46705-6436-12965-19736-8687-12008-8627-55752,15190-2838-13213-6234-4908-4498-4388-4670,16964-1168-9030-2837-13731-3815-3171-6605,6274-2682-6156-4389-3630-3786-15389-8715,4680-5048-20418-4936-25893-9254-17097-23166,1284-1162-2654-1383-5648-786-5535-7841,729-559-1539-1267-4221-943-7358-5007,easy
207639-35861-175200-10523-95925-31713-50972-68457,6436-12965-19736-8687-12008-8627-55752-33316,2838-13213-6234-4908-4498-4388-4670-3040,1168-9030-2837-13731-3815-3171-6605-3488,2682-6156-4389-3630-3786-15389-8715-6471,5048-20418-4936-25893-9254-17097-23166-2836,1162-2654-1383-5648-786-5535-7841-1806,559-1539-1267-4221-943-7358-5007-1200,easy
35861-175200-10523-95925-31713-50972-68457-25186,12965-19736-8687-12008-8627-55752-33316-4206,13213-6234-4908-4498-4388-4670-3040-5195,9030-2837-13731-3815-3171-6605-3488-10101,6156-4389-3630-3786-15389-8715-6471-13898,20418-4936-25893-9254-17097-23166-2836-12890,2654-1383-5648-786-5535-7841-1806-4242,1539-1267-4221-943-7358-5007-1200-4799,easy
175200-10523-95925-31713-50972-68457-25186-110825,19736-8687-12008-8627-55752-33316-4206-98210,6234-4908-4498-4388-4670-3040-5195-31704,2837-13731-3815-3171-6605-3488-10101-6042,4389-3630-3786-15389-8715-6471-13898-15411,4936-25893-9254-17097-23166-2836-12890-20066,1383-5648-786-5535-7841-1806-4242-5454,1267-4221-943-7358-5007-1200-4799-3114,easy
10523-95925-31713-50972-68457-25186-110825-551273,8687-12008-8627-55752-33316-4206-98210-53362,4908-4498-4388-4670-3040-5195-31704-2753,13731-3815-3171-6605-3488-10101-6042-5442,3630-3786-15389-8715-6471-13898-15411-6338,25893-9254-17097-23166-2836-12890-20066-7280,5648-786-5535-7841-1806-4242-5454-2737,4221-943-7358-5007-1200-4799-3114-1662,easy
95925-31713-50972-68457-25186-110825-551273-15178,12008-8627-55752-33316-4206-98210-53362-19032,4498-4388-4670-3040-5195-31704-2753-2714,3815-3171-6605-3488-10101-6042-5442-14303,3786-15389-8715-6471-13898-15411-6338-7764,9254-17097-23166-2836-12890-20066-7280-21071,786-5535-7841-1806-4242-5454-2737-4357,943-7358-5007-1200-4799-3114-1662-4567,easy
31713-50972-68457-25186-110825-551273-15178-92846,8627-55752-33316-4206-98210-53362-19032-2316,4388-4670-3040-5195-31704-2753-2714-4212,3171-6605-3488-10101-6042-5442-14303-2931,15389-8715-6471-13898-15411-6338-7764-2079,17097-23166-2836-12890-20066-7280-21071-1658,5535-7841-1806-4242-5454-2737-4357-1635,7358-5007-1200-4799-3114-1662-4567-649,easy
