delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,state
460610,32744,23408,16948,14273,18635,11902,7553,-73993,-24408,-21386,-15119,-12331,-17993,-11390,-7244,-371752,-7221,-21715,-12095,-6989,-7245,-9228,-5962,869793,37806,9733,-197,-4488,-4815,-423,6624,easy
443319,53498,15431,9486,9241,16912,9241,7733,-168164,3444,-8533,889,5978,-2090,1576,-765,44854,70315,-8182,7316,592,-8608,-3325,-2122,354224,-8344,-10157,-5845,-4889,-11530,-3271,-5989,difficult
875267,106077,9183,25318,14845,9871,11132,3367,-626512,-96037,-6991,-16276,-4651,-6841,-6913,-2112,-850590,-66945,-2780,66,-9365,-7807,-9618,-1870,-854625,-99543,-1622,-17287,-11633,-6780,-9501,-2348,easy
288903,134740,12633,12553,18116,13202,7777,9965,-257256,-88694,7832,-2999,-14873,-11286,-6295,-9070,-287675,-129550,-11200,-11223,-16794,-11377,-6826,-9349,-277576,-96380,-5168,-8396,-14618,-5699,-1883,-4737,difficult
589333,249285,52776,50940,39839,21723,16904,11899,218443,-56695,15983,-29920,-18775,-3757,911,-2857,-341615,-233576,-45564,-46471,-35755,-14911,-12885,-7438,146737,-90345,-20905,-5251,-12715,7122,16794,-5362,easy
331463,28161,11812,8410,4593,4191,1093,1094,-211005,60974,11566,9097,15166,10406,12361,10838,-91294,82687,16079,4845,23,1133,1978,1427,632732,20138,3773,915,-1885,108,-418,1403,difficult
107314,89479,14990,2398,5678,3138,1450,1414,-69049,-68841,-10087,-112,-867,-1011,614,1243,937814,55159,15315,4951,3963,8512,8563,7531,-3286,-73283,-10111,2175,-2459,5454,4621,2889,easy
576456,95797,31271,8293,7649,12428,7730,4291,131664,-80726,-11920,-4285,-2870,-2971,-2562,7408,-568296,-61941,-24600,-3435,-6050,-8003,-3914,-3085,-359976,-38628,14848,3322,7708,-862,5067,-1217,difficult
60076,28801,5508,22283,2341,3301,1642,1755,-56656,-18215,7658,-18570,-131,-2742,-1196,-1426,36249,18061,68916,-11581,32430,5308,1766,94,12570,-17630,-122,-20882,-1123,-2353,-1235,-1526,easy
436042,54044,11560,9511,7062,6489,5134,2930,322535,135606,-2804,3439,3452,2413,-794,-1256,-425973,-41909,-4950,3862,-1677,-2742,-2088,-1035,-414809,-35166,4105,-3290,-1470,-4836,-3388,-1799,difficult
184811,10538,8855,4132,8639,4203,4141,3255,-56834,14799,967,7104,25097,15398,7378,255,-171440,1325,-6999,1888,-6474,-1312,-2259,-2647,-182224,-5522,-5527,-1974,-710,627,2697,2510,easy
58096,14994,6911,3843,2045,1785,715,865,55695,27876,2706,4280,5431,8297,9689,3724,1636917,1247383,57704,89347,113613,173373,103653,45705,911549,766472,108255,33734,34233,38397,7121,27281,difficult
69806,24831,5753,6030,2632,4083,3183,1529,158972,36665,7530,715,-378,-1387,-1766,-544,216899,99440,18542,17591,7649,16163,4116,4735,20748,15151,-3382,-5252,-1037,-1543,-2263,-783,easy
