delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
172521,69799,11738,11450,14693,19928,10582,9383,147733,290921,42495,44608,52711,2109,16733,7117,146296,-19159,30842,44724,15150,-5602,-1529,561,382567,33056,-2908,-8421,-4065,-15528,-4584,-5660,-161946,-45124,-2595,-8059,-10633,-13607,-5898,-5131,76214,85681,97444,33000,2180,13328,8816,19243,easy
443319,53498,15431,9486,9241,16912,9241,7733,-168164,3444,-8533,889,5978,-2090,1576,-765,44854,70315,-8182,7316,592,-8608,-3325,-2122,354224,-8344,-10157,-5845,-4889,-11530,-3271,-5989,926563,285789,10613,72888,15326,256,24824,6622,-362875,-17496,12244,-1152,-4134,-10990,-1819,-6733,difficult
1539131,425957,51109,40225,41874,67039,42897,32871,-1294471,-380995,-47174,-34689,-25428,-56454,-30743,-23852,-1218808,-361536,-19550,-23999,-37518,-63758,-32437,-30054,557151,-188986,68423,-7571,5510,-38651,-27647,-25025,-1321605,-386121,-45632,-34713,-37936,-64622,-41087,-31287,-1305950,-406138,-40265,-38468,-38924,-63119,-41998,-32471,easy
288903,134740,12633,12553,18116,13202,7777,9965,-257256,-88694,7832,-2999,-14873,-11286,-6295,-9070,-287675,-129550,-11200,-11223,-16794,-11377,-6826,-9349,-277576,-96380,-5168,-8396,-14618,-5699,-1883,-4737,-153268,-100881,-783,-7704,-15824,-11596,-6506,-9444,1264031,-31868,25994,-7268,-8654,11771,9970,1066,difficult
589333,249285,52776,50940,39839,21723,16904,11899,218443,-56695,15983,-29920,-18775,-3757,911,-2857,-341615,-233576,-45564,-46471,-35755,-14911,-12885,-7438,146737,-90345,-20905,-5251,-12715,7122,16794,-5362,-420513,-216822,-35795,-23623,-34381,-11353,-13830,-9648,-523341,-236638,-50057,-49197,-33528,-14524,-11645,-6421,easy
331463,28161,11812,8410,4593,4191,1093,1094,-211005,60974,11566,9097,15166,10406,12361,10838,-91294,82687,16079,4845,23,1133,1978,1427,632732,20138,3773,915,-1885,108,-418,1403,-206453,24710,-9922,-1456,-2621,-2192,1539,224,45038,85694,7574,9147,5758,5043,10747,3854,difficult
299733,29735,5748,3624,2661,2180,1612,1093,-289688,-6205,-1664,-2412,-1680,-514,8878,-55,-212167,-2200,-1363,1298,-331,-227,-205,198,-213362,12888,6026,4896,5056,5956,2210,8192,-257083,-3039,2452,8552,2508,4327,10154,3822,-290233,-9280,27859,15993,14180,2113,8542,3532,easy
576456,95797,31271,8293,7649,12428,7730,4291,131664,-80726,-11920,-4285,-2870,-2971,-2562,7408,-568296,-61941,-24600,-3435,-6050,-8003,-3914,-3085,-359976,-38628,14848,3322,7708,-862,5067,-1217,-510533,-89576,-28968,-6833,-7100,-11752,-6948,-4098,-569981,-79850,-20875,-3434,416,-8472,-6325,-1312,difficult
668531,106293,22665,12834,8517,16004,7706,10545,-306969,-93937,-17248,-9716,-3497,-11568,-4568,-7489,-7026,7401,-3605,-2846,-2256,-7913,-4349,-8473,-654102,-93390,-21271,-10527,-5341,-11837,-5456,-8857,-494327,-4125,57951,20406,6937,-6436,-2895,-815,-624907,-32523,-8164,-971,8811,976,-564,-4982,easy
436042,54044,11560,9511,7062,6489,5134,2930,322535,135606,-2804,3439,3452,2413,-794,-1256,-425973,-41909,-4950,3862,-1677,-2742,-2088,-1035,-414809,-35166,4105,-3290,-1470,-4836,-3388,-1799,-358701,-29194,-9866,-9207,-5513,-4295,-3978,-2106,-225744,-43213,-5915,-6632,-3067,-4529,-4448,-2337,difficult
