delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
172521,69799,11738,11450,14693,19928,10582,9383,-161946,-45124,-2595,-8059,-10633,-13607,-5898,-5131,76214,85681,97444,33000,2180,13328,8816,19243,easy
443319,53498,15431,9486,9241,16912,9241,7733,926563,285789,10613,72888,15326,256,24824,6622,-362875,-17496,12244,-1152,-4134,-10990,-1819,-6733,difficult
1539131,425957,51109,40225,41874,67039,42897,32871,-1321605,-386121,-45632,-34713,-37936,-64622,-41087,-31287,-1305950,-406138,-40265,-38468,-38924,-63119,-41998,-32471,easy
288903,134740,12633,12553,18116,13202,7777,9965,-153268,-100881,-783,-7704,-15824,-11596,-6506,-9444,1264031,-31868,25994,-7268,-8654,11771,9970,1066,difficult
589333,249285,52776,50940,39839,21723,16904,11899,-420513,-216822,-35795,-23623,-34381,-11353,-13830,-9648,-523341,-236638,-50057,-49197,-33528,-14524,-11645,-6421,easy
331463,28161,11812,8410,4593,4191,1093,1094,-206453,24710,-9922,-1456,-2621,-2192,1539,224,45038,85694,7574,9147,5758,5043,10747,3854,difficult
299733,29735,5748,3624,2661,2180,1612,1093,-257083,-3039,2452,8552,2508,4327,10154,3822,-290233,-9280,27859,15993,14180,2113,8542,3532,easy
576456,95797,31271,8293,7649,12428,7730,4291,-510533,-89576,-28968,-6833,-7100,-11752,-6948,-4098,-569981,-79850,-20875,-3434,416,-8472,-6325,-1312,difficult
668531,106293,22665,12834,8517,16004,7706,10545,-494327,-4125,57951,20406,6937,-6436,-2895,-815,-624907,-32523,-8164,-971,8811,976,-564,-4982,easy
436042,54044,11560,9511,7062,6489,5134,2930,-358701,-29194,-9866,-9207,-5513,-4295,-3978,-2106,-225744,-43213,-5915,-6632,-3067,-4529,-4448,-2337,difficult
1163147,318542,27318,91356,35478,51413,49127,28114,-925760,-179140,11437,-48848,-8690,-39878,-33055,-21604,503221,1574204,246810,70952,20598,24605,-25110,-2092,easy
58096,14994,6911,3843,2045,1785,715,865,48430,47328,-3116,-2432,-1513,491,-356,-175,2465495,682046,49053,35928,48667,49729,23543,26700,difficult
69806,24831,5753,6030,2632,4083,3183,1529,-9015,35693,-3299,5634,12691,5347,2077,5146,-2915,27996,10121,5207,13655,16869,4813,6524,easy
