delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
89259-886896-777804-1668657-978011-621543-1604254,37487-132587-29378-87597-500732-104941-672284,5401-15131-27476-51296-30153-58945-211308,2778-24112-6397-48493-5295-20456-98472,1649-6886-4960-9889-17807-7924-13904,902-7388-1727-9073-5300-12138-18855,665-1803-1845-3482-4303-2341-8615,227-2902-788-2833-1458-2705-4978,hard,wrong
160151-1450704-111862-222943-340347-39593-5041,56522-349511-32007-92280-165517-14314-16321,8407-93330-10343-11802-47665-21752-10560,3978-27828-3481-14667-54074-345511-126533,1840-17214-2506-10231-19588-20330-6829,463-36774-2749-2380-8297-20600-8967,520-8801-499-2546-5735-3764-2547,261-9301-549-1138-6660-2616-3025,easy,correct
694032-94370-65705-1148819-318630-588353-702073,25977-50182-44142-587412-414305-710629-94609,13253-4295-2482-70103-89306-62871-10069,7378-14151-4674-15338-29255-14871-31081,3112-4311-1292-39453-7538-17771-10987,2014-4020-1112-12844-15882-6795-2971,2575-1188-436-3773-5693-7372-2944,1913-762-392-2443-4711-5215-1611,easy,correct
115337-110413-2857275-2332726-1495924-961162-1446557,40753-32395-217349-240065-147889-410896-467297,4799-43001-47961-13201-24355-18770-30056,3781-43583-32809-13084-5172-44639-39211,2300-24381-16746-22801-10179-21317-12654,2437-12909-8240-13559-7464-12333-16478,2282-3879-5367-5633-1553-6847-7172,1268-7309-13040-7107-796-4039-4771,hard,correct
9662-9177-1128485-2009061-237985-126883-1852097,6493-6039-127180-120596-41973-2967-500621,677-2318-14792-21304-29248-1478-84256,2675-10570-7319-21972-23644-4608-48216,4970-7594-9601-11242-7230-155-52656,3310-5974-5491-11816-5066-558-29273,3460-5343-1146-7357-5676-236-7895,5203-2669-1111-5600-4849-269-7638,easy,wrong
14811-96527-1238401-1063709-6076-573529-559179,6292-6909-63914-233170-6442-45912-556212,1484-4137-6939-25427-18538-3180-49683,897-2718-6100-43810-24571-16587-135906,4939-1139-7419-3369-14534-8644-29301,12694-847-2217-7752-17875-2202-8175,2914-514-2342-9249-2699-1589-9261,3873-232-2395-6263-4035-617-7678,easy,correct
851562-171791-676854-528025-696800-163001-308794,160650-5762-74502-90520-153806-30003-71645,92580-2509-11220-22123-35356-11636-12649,45189-1216-10187-5935-18530-3388-5441,32122-983-4596-8350-19053-6717-5547,14232-626-2717-3441-6512-2452-3098,4807-339-1505-2997-14539-2065-1084,6084-139-1174-2892-3902-1395-1706,hard,wrong
9635-23023-1320713-109167-214144-105536-132234,7428-20398-69063-21721-47282-9637-46928,6099-4969-18343-3536-5243-4932-3676,5432-1984-17588-22069-25565-4180-12008,5161-3187-15401-6543-4034-1788-6649,3854-10013-3271-2664-1328-3103-4243,3900-4024-1951-2327-1213-694-1175,3648-1869-943-3066-936-1775-1073,hard,wrong
350128-123923-554083-822769-1082573-628868-78494,464411-1890-79844-28690-255397-256983-48342,43225-4107-3590-16936-9591-1189-23566,21745-4349-8700-27566-48371-41512-3802,5249-1588-3341-6978-15379-24403-4150,9844-1175-1200-8899-4923-10669-2833,4755-280-2017-4081-4185-15509-1667,1902-191-1208-3538-3536-5597-709,hard,correct
341475-209234-194398-447077-1230522-184072-61680,23232-25125-28537-177333-113415-72217-50864,13943-3661-32884-8435-11673-5263-14872,23047-6194-5033-30786-16453-5304-3255,16791-3685-9403-13829-7623-2107-1976,4439-1334-17045-16758-7695-1744-3344,7673-1651-8842-4769-3943-519-2328,3233-694-3096-6251-3093-1068-484,hard,correct
