delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
65567-54771-23425-91236-51222-38774-1225-81748,33000-20127-44983-118107-100757-8183-26325-27800,2316-4136-20502-8852-3488-11134-11249-8262,20825-5018-14984-4929-16917-1819-32772-1611,44264-2441-7124-5434-4813-3231-11426-2595,24701-1149-8152-19189-3477-3810-4797-2315,5580-799-4640-7417-2595-593-7125-850,13309-388-7341-2678-1448-1029-4339-507,easy,no
1113185-866257-325204-44427-1217292-390751-36754-503693,255180-28800-186410-36948-122501-104852-54929-32290,92695-18967-28927-7741-17859-51679-10171-85098,114493-26387-17744-2944-34213-9656-16685-15055,88731-26149-10112-2023-9445-7894-11555-21858,50093-8764-6426-1847-7341-7451-2802-27357,25457-14166-4174-4393-3444-15222-1830-15621,18109-8442-4577-2315-5054-6868-2226-5658,difficult,yes
107411-259601-270601-26324-83521-11081-113208-5943,40352-23237-29615-11633-10929-11630-35016-6600,23011-1101-12970-1066-19672-55069-5900-4654,15363-4258-1986-12023-7559-12453-2096-733,22806-2300-2556-9519-572-4420-2487-1931,11616-1386-2354-5749-3268-7293-1837-2127,9407-1432-1257-6482-683-4233-1066-623,1836-1147-626-4298-1164-5168-657-547,easy,yes
203407-2602447-1615966-252541-29719-2024-216256-106216,61052-227205-530669-41790-19392-11987-24620-26834,6690-1240-28515-47407-1317-12176-31386-5198,30908-32350-15682-6721-1375-8568-7545-3297,25054-7667-21332-3193-1075-2471-8473-4319,18806-28745-10485-19577-1913-10021-12255-3888,12562-8054-7133-16087-290-3500-3974-3658,12311-7908-8890-5268-686-5773-5995-633,difficult,no
75097-245786-1053151-95020-28548-228828-131960-1093589,21041-149900-17986-62205-36305-88261-49662-590797,5434-37683-30535-31008-7554-1325-8289-34005,3028-34214-4134-2750-10431-9788-10173-14491,1856-12184-8438-7947-7821-5165-6158-17524,1604-30363-6181-6571-8310-6022-3500-19246,767-17563-3980-2064-4620-896-949-12482,396-9571-3666-1692-5518-2540-3820-11332,easy,no
16871-81997-187477-57670-184800-22113-49515-8879,13635-18415-31796-21692-16798-20476-14676-5145,15952-5707-934-7848-2366-8503-2612-3184,6806-3135-3628-3404-2731-13952-2959-3154,4496-612-2807-4536-4980-4848-1756-2420,9713-1339-3160-2463-3689-4364-2665-1539,3039-504-1027-1293-5799-7224-914-1033,4571-221-1164-1169-2988-2167-378-1001,difficult,no
147437-55152-280531-95705-28375-2135-22363-597566,4552-49764-91943-13759-12858-4464-15878-116268,7231-3369-13171-5544-2127-2980-9768-43614,506-4098-25747-1296-4177-3997-2910-10652,1360-6694-48154-2172-6605-2013-2608-5938,1065-3024-17222-3024-2913-984-1840-5826,86-1489-5951-1198-1142-632-2122-2086,402-1572-6734-1168-1124-506-1624-1842,easy,yes
53006-50841-37605-4271-9761-131669-16916-20582,30498-54003-33831-1148-13583-16799-1792-7594,7883-8305-8000-3678-24735-4106-1450-51461,11787-9247-4024-2580-7480-1663-1182-4300,7794-22799-2571-1044-11911-1620-1830-5136,3419-11604-3621-2763-10401-2101-2152-7620,1664-6470-2020-1042-2961-1050-2071-5728,495-7071-899-876-5052-936-781-2854,difficult,no
1278722-601606-184635-338583-62846-125460-32406-59815,107891-92853-69823-29165-2987-15973-29722-19204,13474-3917-34845-12329-1480-4650-4444-8789,11932-48939-4224-4366-1415-4476-10599-5269,9488-9354-8073-3481-2925-1197-1202-1315,8881-7606-10596-6813-6567-4059-1817-2423,2277-15284-7439-5816-1926-3098-2957-3272,1246-11100-8356-3323-2260-964-3264-2660,easy,no
169617-140659-182872-258288-91550-20323-82806-25856,78450-42308-86997-20432-10967-15900-61622-12743,1675-14087-21547-3247-1009-6947-6713-7806,14387-6576-3011-3668-1070-2928-951-24187,5155-994-5567-3453-1255-4789-9128-5422,8292-2608-2687-5553-304-3874-2559-18780,1593-2506-766-1819-248-1218-1000-2751,2773-732-405-1705-106-1116-1065-4687,difficult,yes
96128-614105-107852-5478-188924-151288-293537-182125,58693-211257-59117-10641-10279-12270-58481-53350,54470-120224-7072-5085-2448-6987-5288-3585,7899-16408-754-26687-349-5308-8443-15494,5860-39663-845-14039-899-2192-1917-4206,4536-33826-902-9293-1032-6433-3631-2995,5494-31221-2387-10337-518-819-1620-1654,3283-17820-837-9349-480-839-1280-1847,easy,yes
4242-94420-94420-2175229-69744-207926-7130-2438,5677-24201-24201-317598-15588-14925-19581-17000,1607-9650-9650-36452-1702-6039-26362-39623,8102-8582-8582-34429-2411-12621-12964-2113,4952-4298-4298-17796-877-976-6492-7214,14850-2989-2989-5286-1028-1841-8389-5265,3088-1281-1281-3872-211-563-2678-2477,5095-578-578-4282-143-1067-4272-2379,difficult,yes
207937-319523-26593-258493-7054-420431-41066-66206,33487-30123-27688-34540-8338-31502-38552-34459,6035-10152-8942-8366-3291-3495-32867-20163,2610-11305-12859-4200-4548-3212-9425-1991,1286-4696-6272-5538-3392-2320-3309-3992,3118-2203-6055-1563-2203-1875-11859-1290,1624-638-2962-1598-1162-265-4866-1478,721-1476-3846-1167-1389-317-5501-489,easy,yes
29253-1151011-61265-35388-11530-220241-5295-117071,77052-151836-34950-46262-10351-14959-6159-14273,3684-52596-5443-3186-58706-7690-2741-1101,4680-17459-3564-5121-12004-4861-1320-1663,3381-29843-4353-4463-10538-5430-2635-315,2999-12750-6530-2431-12417-2782-3732-825,868-5085-2990-976-2911-3355-726-258,454-8608-3208-2568-7445-2187-725-222,difficult,no
