delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
1083114-301251-264167-191462-95347-100476-553045-967544,285329-32136-56189-38370-19117-8591-422352-168887,81719-12285-9280-10400-2224-267-85866-48985,99773-10392-11744-789-1797-931-19445-15925,22071-9926-19104-3894-3054-1217-34671-92288,27475-8541-21520-1472-4108-2225-17908-26360,16053-8056-20261-1145-5714-1634-13087-18310,24494-3299-10070-869-1543-404-17002-11260,difficult,no
267471-1345825-96291-75402-60866-697175-58260-322916,97678-316412-22047-25601-23741-404467-28007-49570,26385-48489-3097-734-3584-115058-1072-35354,7150-48407-3458-3463-8788-29842-9426-6867,6696-36101-5092-3576-3648-16369-5588-7624,3414-30140-4343-3655-5886-30078-6873-7410,5471-9787-8382-3603-2996-5406-2268-3846,2190-12134-2353-560-1259-9384-1493-1149,easy,yes
1783110-78273-717057-320613-8563-463550-20244-426956,94563-13266-43155-43852-8746-86615-11514-70720,39832-967-13453-11848-4973-53648-3743-12006,14471-5706-36715-4002-7291-12671-4658-8332,8604-7096-32767-4394-7231-6269-1459-7057,9157-6560-46367-4217-16789-6977-3839-21838,3462-1507-46253-1747-8005-4793-1359-9228,3977-2778-7711-1371-14105-2258-1631-6837,difficult,yes
173545-276490-446584-535677-390492-173927-128426-160916,388043-131385-40435-25799-221358-42177-12033-55770,30036-12420-13297-8936-75187-6792-6159-11608,6334-3766-11561-2406-10923-8648-1774-7631,6122-6248-48019-3744-20290-20926-2195-3914,7600-6070-23416-2533-47508-19624-1170-4911,7761-2475-15409-1764-10675-9783-1087-2148,5363-3736-10700-1345-13588-7621-1082-4976,easy,yes
345321-2013159-18651-238436-1908570-604438-147954-2203,177272-521997-12282-35038-247969-73438-37546-2730,11018-96441-1684-13453-46774-31422-3351-432,17220-35614-1496-14316-17236-28317-1722-3661,17537-48175-654-7200-13810-23250-4499-2875,6745-39137-3024-8501-43537-25253-2554-1533,4424-33652-964-3375-11079-14102-1953-5362,3004-13170-632-5347-27995-6587-1377-1880,easy,yes
8784-808322-150658-224021-97625-71138-42025-153641,7265-398065-51180-15932-20407-31912-7871-54741,3668-48438-4293-1364-2129-1773-1757-1191,3769-38887-7487-1813-4776-559-2753-6067,10106-19971-3394-1248-10760-4988-2980-1057,12488-30420-3902-1404-7812-5378-1859-3321,8816-29349-4409-935-1507-2824-4585-1660,2939-12428-1883-707-1696-1672-3915-1721,easy,no
123158-163588-123290-86400-275493-351689-183511-379007,30883-203813-38813-160897-45262-18159-148410-27763,7951-17521-7807-35298-7848-2615-24465-4880,640-7574-7285-5622-3680-1519-11419-7090,2088-9054-4534-7754-3242-1678-17260-10934,5806-10112-2844-6972-3195-3523-24536-10513,2788-1961-3275-3179-1344-665-11443-10660,1086-2710-1505-2088-448-460-4041-6634,difficult,yes
47840-753196-308624-59293-16834-40088-474944-1190774,6870-129611-10692-21156-4801-14464-59476-158292,115-88187-5448-1891-1145-16216-6002-9761,4586-16104-835-2858-4844-2345-10115-37865,1612-13609-2166-3673-8887-4625-37244-16516,1947-34448-2375-2907-9115-4812-17409-29796,1655-13111-1676-1097-12500-3250-8006-10589,1310-4875-449-1390-2108-3083-6419-12263,difficult,yes
107841-1638476-229832-142555-48802-120309-185187-21892,192879-295569-12921-8774-14619-30804-64367-8493,16118-63883-7713-3508-4195-7287-12337-5525,9894-27914-4149-1640-8167-6179-9023-1809,12426-26332-5593-1652-2598-3016-8766-4359,3023-24073-1663-1666-3295-3911-4996-4197,6673-21134-1441-635-2853-2925-2992-1069,1202-27335-657-717-1510-798-2717-751,easy,yes
425525-190702-1670852-2109415-140189-2008288-1143400-87817,166759-26673-206239-93756-129852-137876-35244-105472,4448-3425-126926-45056-6072-24086-29847-4233,407-4812-109274-23145-11664-32780-22290-5794,4549-3110-34493-9104-3217-27295-29952-8910,5710-3210-21915-8372-2033-17459-20291-2188,1400-2693-23996-6117-2814-6975-5681-5869,1545-2033-9337-3158-1775-22440-6115-2299,easy,yes
