delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
382714-361024-33132-1648058-92254-56144-23198-587526,122680-305407-15228-19855-144780-14932-39203-406914,38430-209494-11220-10848-40871-14094-17166-42449,35578-62292-8992-28155-22284-7487-34062-22910,14486-22330-6878-30424-10016-7006-24920-23625,57140-30636-8271-31993-24895-19762-20937-28521,30182-44523-4965-8141-10025-14546-18002-17250,48423-39774-3751-9494-8186-16416-6750-20720,easy,yes
45660-1341769-4091-29596-1446-790998-6531-8514,40539-137677-2746-8237-5306-134578-4767-15213,36137-18924-2240-29038-1586-11399-2188-9067,11898-18561-1022-9208-2464-10476-2107-9916,18020-9387-3664-15139-2445-18243-5198-6546,58264-11367-8260-41502-9267-17483-6914-37900,74791-6826-7706-18750-3712-25458-4376-13369,24371-8610-6687-18078-6326-7043-4182-10064,difficult,yes
427922-29468-151442-21179-12601-15809-20393-16996,49700-36278-26725-23949-5650-3516-9524-14730,3471-10528-8941-11808-17557-6115-11521-32737,9422-5225-24322-12513-7225-4402-8848-9352,16293-4419-14899-45873-10469-6344-26696-25878,24260-9716-39949-33325-34013-19837-33026-41068,31676-5991-22638-21424-25794-7595-12623-24403,11886-2092-35220-9044-9876-12408-6091-13634,easy,yes
40056-375858-707202-423162-111804-2139-2952-75377,29676-88951-91585-34042-25532-3464-14048-54368,5735-43542-4014-6380-7377-5527-4189-4188,9375-19025-8194-1892-12971-792-13348-10960,29966-8522-11987-4130-33988-5197-11221-4749,61521-14151-19056-33155-33553-7496-10883-5280,19537-19082-5760-2673-10534-3548-6492-5144,23645-3359-8079-3492-18598-2341-5042-3630,difficult,yes
19555-1160249-1078971-29454-56860-11808-221314-51397,12540-59825-223269-25878-77149-2302-18926-19706,3290-10247-29098-4608-31422-1447-6252-14631,4703-4663-5634-4766-4907-1863-8360-1323,16417-1596-4035-15257-11241-2246-6315-11450,20460-44571-70811-34819-29358-5669-22321-29950,15425-21065-47660-30104-8675-2131-7700-7353,9135-13349-20031-8487-12845-1707-5004-4119,difficult,yes
5055-39343-112901-477791-56708-8529-29114-9527,8462-15822-20390-55152-142596-22816-15289-9158,8050-5977-9568-2924-28075-4843-7884-48529,3453-3528-13301-13595-4769-13503-5347-12598,5101-5185-19962-7696-5794-16735-6696-3377,18031-6795-16027-28744-18645-16168-11278-16907,30047-5225-20490-12700-16924-18108-11237-9725,14790-1478-14568-8822-8453-13095-9343-9838,difficult,no
1547000-147055-580169-72504-8213-74191-156172-721384,92290-148866-29166-15505-6867-20927-44168-76988,2522-106618-7371-15893-6285-8694-3256-47212,31376-16810-1437-68622-9591-52666-26736-10200,9306-32464-5011-19800-6241-25933-13494-9398,20775-106244-5412-14043-5707-41493-37406-53333,11818-29859-1530-23692-3309-14069-16036-30483,7064-15547-1526-7283-4822-7671-5983-15847,easy,yes
14240-100494-34650-65125-17356-2570-495227-67824,17571-19313-15849-22914-13727-3524-36483-93055,21324-29665-25396-15683-10588-1499-13190-16496,7540-43569-19639-52604-52397-5899-40079-36472,24790-18191-21827-5048-26147-3617-20769-33501,17510-78958-23132-47905-26467-5550-14741-19760,17566-7661-11470-5303-7144-2423-2698-5925,9652-7802-8936-10835-6177-1550-7976-4465,difficult,yes
7545-25563-74615-5627-2977-4064-16432-20546,5242-11659-14549-7131-38316-7054-34884-12930,179-31546-24620-15278-7262-9496-47909-456,1820-12442-8319-20103-131618-15682-60375-2569,1927-6221-25948-18273-19286-12167-14494-2740,8974-43139-17583-17192-36240-17069-20433-3980,2917-15085-7899-15974-10603-7082-5506-2336,4290-7557-6393-11140-7284-9620-6643-1725,difficult,no
91258-698874-38875-56222-23013-14934-10481-68124,17044-89637-12080-21083-10308-35725-4541-25045,2898-15634-3069-47834-23098-30929-56397-33579,4583-5097-1053-72077-22234-53970-37827-17172,2704-5799-6002-19348-35811-31883-39503-16379,6440-7159-5202-47147-16533-25116-21078-23351,6153-4876-6109-11589-4233-11202-8044-6686,3153-2103-596-12952-4858-10282-5678-14847,easy,yes
