delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
3922-95223-39306-8964-16373-927604-214840-626830,15038-31411-13806-25297-72185-283444-49538-187407,13536-3609-24124-5399-7965-11889-8534-1958,24849-7263-9190-10506-17795-21928-5257-18110,6058-10054-14300-21544-14800-4859-2889-17910,22049-5157-12493-16072-5089-2870-2154-5688,5316-672-5022-3249-2142-1468-504-5188,3013-616-2404-2000-1651-1311-820-1828,easy,yes
98952-1149314-77943-727927-1489702-69078-121651-267473,8594-92241-22048-58685-444909-38454-19376-676537,14794-82913-31717-78440-79209-41832-7462-47201,6463-32389-36381-7335-73701-8170-12970-43356,6376-27107-32030-12028-45817-14381-4581-14147,2356-10505-21148-28599-52604-16310-2335-6015,2553-7357-9107-5717-34326-13531-1283-10496,1399-20239-6412-4846-5964-3455-708-5455,difficult,no
157250-189275-255949-568424-19056-681478-237130-636040,63859-26464-87624-303830-107652-329595-17029-82001,14761-1388-9221-35864-38349-21622-96196-9736,19675-9416-20106-60990-128624-24134-14832-45930,8736-3269-76863-25568-6360-41692-11430-8586,3135-2023-22318-16165-10069-12115-8748-12175,2098-2813-5708-3239-12846-16384-4475-11372,1000-1481-5770-3834-2955-4859-2841-2894,easy,yes
1215683-287781-210562-542454-1641930-501054-715603-2217958,127444-82434-148976-142238-480248-14202-84088-158886,66609-10397-16417-12600-36674-11234-8252-21123,125390-5510-15241-99581-47467-39941-9977-50283,51173-22636-6027-97653-38402-14200-10508-13157,26053-11662-3990-11219-32339-5525-3672-37228,24208-4625-4141-12631-19015-3154-2162-7638,18465-2502-2562-9671-8030-1915-1855-8896,difficult,yes
493718-1219017-1643465-1196609-1041365-798218-2120912-226099,65825-312580-192182-75234-556434-77688-332929-402061,3573-68580-158173-27702-136790-25406-130932-36057,8815-177147-90008-7414-56724-19453-14708-47558,9027-111803-37540-25464-209532-7346-20837-16991,2829-188669-51451-9018-39585-14676-54790-23347,1754-34400-39655-5344-22349-6423-24401-5700,1359-12413-21256-4658-9597-4813-14454-12818,easy,yes
619717-443347-643138-139716-166762-1283384-144048-532825,90696-108534-23983-57022-177803-44135-225483-343196,41306-25622-5580-33937-44283-16475-126967-44400,21469-50884-10871-28120-14730-14379-42778-14341,27171-35344-2764-25003-30356-11084-34862-39112,33422-30112-3162-24174-11714-6925-16031-34539,4832-10717-1596-25807-6708-2141-7695-4718,1844-6470-1243-11886-8980-1568-8550-5532,difficult,no
534211-323315-1542672-1591507-1374048-625917-982903-1525649,76829-33889-249339-125786-38533-68288-220873-299549,20949-8840-177966-22999-10602-12228-84305-72262,20180-15820-140949-65318-13045-9188-59995-59960,16883-18866-98395-76737-3592-8757-51380-31228,7708-13352-57599-23162-5391-8729-31351-50917,2076-7705-29115-2489-761-2669-9230-10225,2629-3865-9635-2448-920-1929-9360-4766,easy,no
1024915-974339-286325-1067709-70530-1654850-277508-7974,201495-141073-54979-86433-35427-314803-63283-7299,54093-10661-53343-28234-8548-19817-8609-12016,57372-25384-11721-44724-13953-37358-9373-6107,15727-32952-15849-61789-36076-39943-10140-8818,18588-24075-21576-15461-16179-22290-4597-14016,34367-15189-16334-13720-7779-12477-3425-10901,9205-9289-5569-9518-3333-4772-3278-9120,difficult,yes
2681225-1014839-662778-155080-1005993-730411-996160-437492,377734-289267-208172-12120-96706-109171-69831-141908,97383-82346-11440-3214-3914-53216-12571-5935,46520-69308-8923-3603-7117-13327-6718-19437,63931-28746-35438-1404-4595-28764-7405-39694,66812-29323-19135-1662-3864-14689-5268-23316,17578-6725-18880-2560-5286-10408-1160-24921,21792-5473-19574-1694-5072-18502-6617-8522,easy,yes
205347-1334183-73905-77978-692937-1190820-231994-103581,19694-353361-30874-13971-7220-575000-71435-199895,9340-33705-20140-2447-7596-50317-5955-46760,2063-11741-16888-2567-3438-56324-37095-16263,3978-28605-13731-1802-6190-70835-25379-17417,1892-26815-15601-729-2581-50511-15113-9411,1235-20749-10519-416-957-18291-14535-9684,704-7057-7398-309-1174-26697-6674-13429,difficult,no
2062574-324986-90004-20917-195962-132427-92823-153971,169054-26122-21947-8357-56150-80101-24061-46617,19917-2184-42915-13652-20935-12807-11988-29569,53281-1902-16821-7362-3878-3137-9873-30277,34949-2676-25783-2478-11651-3398-7807-14995,12082-1054-24106-5728-2318-3700-2467-20836,11578-556-8519-872-6418-1644-1704-6520,6877-320-5074-768-1634-1593-1045-3198,easy,yes
504605-146552-240230-668046-228967-76590-1247939-91776,1406283-41016-74498-141181-37540-28657-1189845-35867,41794-15956-22014-33177-14054-2878-115786-10433,27647-90834-9356-15199-6094-1483-39151-46427,91109-20956-8359-25467-3776-1101-71379-91465,24164-17504-3677-14249-2462-1461-24886-13134,13586-12173-4540-6553-1275-622-20937-2974,12378-6948-4998-9656-646-436-8220-8371,difficult,yes
253542-134296-1491028-564618-2558-72989-146938-292692,42877-53022-709481-28372-27376-121921-42084-223038,34797-13224-17724-8781-19101-101956-24813-16799,10295-6126-16222-6157-11762-8684-8018-6313,11962-9127-24310-9105-12760-11093-1790-4526,12157-10650-8690-1865-7970-5379-4552-2831,3184-3987-6326-3170-2685-3670-1747-1442,2088-3581-4923-2024-1131-1610-943-392,easy,yes
104022-55717-1925538-706914-233296-1275253-213071-309069,47983-68338-654055-201838-104541-595136-13796-43454,7505-3185-42941-91795-7575-31518-12392-7133,4643-8122-77953-20735-14665-71260-3188-19840,16970-8300-40759-132833-4896-64537-2992-6287,7270-9602-32265-39399-2152-25412-1334-4798,2706-3779-13872-37675-1059-11155-718-5565,1100-2155-7301-18456-705-9707-357-1973,difficult,no
51236-876044-68937-1180066-1375105-1791544-916903-1044036,18594-22765-4357-151750-640441-424963-475860-292468,4000-6234-524-156320-173170-83537-17300-188906,18286-9821-1935-26264-48784-285008-114401-52618,40120-24701-718-13587-265474-126420-66869-112762,20881-8198-1123-41611-93457-118697-29975-73845,5226-9589-385-8168-59030-31958-20695-21728,3896-2954-123-2514-34201-10277-26724-13496,easy,yes
125375-1931724-1357272-1041691-45207-1072638-119032-208124,18842-189792-244106-63582-75395-53016-29176-49404,11435-56388-30647-15960-12833-14917-2933-16225,10899-61198-108885-12374-3922-17763-3594-8345,17918-3178-34651-5594-6962-36618-8504-4719,9678-50843-21914-6113-6829-18334-3835-3219,6187-13215-13458-5633-3487-20526-3978-2518,3922-9061-15460-4341-3149-12448-3354-1262,difficult,yes
448647-915815-21773-189556-892067-234533-211733-249889,61163-300442-68010-55779-161161-92621-32707-143341,8483-57605-4995-33228-16600-18098-6280-42055,13279-115062-13647-22104-34261-45763-1968-29761,11227-22094-4027-9668-15977-17500-2474-30307,8792-29403-4525-22443-12661-26517-773-10283,7599-12829-2778-21213-2762-5770-701-5452,3733-5741-2201-4303-1137-5228-418-6835,easy,yes
372030-46008-119950-92152-2223417-13158-1270216-242504,53010-17509-4705-59108-229165-38220-144362-250199,44038-2848-3025-12340-32670-2621-39289-154984,18311-1615-822-27224-29045-1117-16534-138186,26107-3143-1969-21242-41641-4083-33035-85623,18679-1253-1311-9635-46453-3807-14610-17638,15178-983-635-17489-18457-669-10471-15869,8085-306-568-11651-15269-669-12892-8629,difficult,no
444100-210887-100851-409792-261177-114363-326816-73449,297015-19273-7487-89591-221495-40213-116598-98171,30120-4621-1486-19815-46416-25896-9704-13265,26701-2836-1339-19432-36697-11920-4543-40891,36427-3245-528-15954-14256-21706-10504-11755,13840-1953-938-12705-17746-7770-4426-14485,4601-1375-471-14558-7911-9656-1616-3813,4858-813-301-6592-3860-4598-974-6089,easy,no
163355-365822-106749-179023-40727-40727-49906-480977,21068-160073-26353-35129-97738-97738-37811-30895,498-141694-13255-16357-47449-47449-45761-9143,2477-60163-5620-4239-7903-7903-8036-3632,2758-12749-10220-7602-10835-10835-10117-4382,2805-34497-8613-5096-10008-10008-13760-1773,3451-9059-3269-7716-7728-7728-5320-1220,1281-5958-3049-5011-4669-4669-3963-1032,difficult,yes
667378-305794-83343-331320-205796-279016-612982-171759,109095-64416-79581-200969-61105-27961-227819-181090,35007-12850-74771-14847-36640-14727-91334-102049,2965-718-4561-19913-6861-3517-18460-33431,11413-8751-10702-6766-4875-998-32849-32865,6714-2855-22993-10842-2231-2201-14382-35456,1948-1973-5529-21924-1122-444-15340-14278,1440-1128-3632-11980-772-1056-7757-8644,easy,yes
401304-1565526-809062-2699226-149364-193550-1393255-158678,38410-105455-138994-1755528-92364-10559-53639-5682,31408-182364-33070-77115-21168-2855-18656-3514,18499-14691-14875-74197-19312-1935-18214-1262,15243-90650-17850-115281-5873-3157-28351-625,16109-52430-16243-90176-7218-3700-17426-816,4429-10186-7144-15118-3078-652-5618-991,1438-15119-2994-11200-1771-467-2956-556,difficult,no
100258-1293030-155459-219318-45887-235426-682815-447613,52440-110128-6074-17752-18418-30079-74157-31152,10785-72489-715-1579-7041-38795-43282-10475,9418-29199-102-7198-6125-77062-15059-4172,13458-28636-1210-6659-2903-17018-29377-5531,15640-22373-1152-3665-4686-8856-33005-1868,4324-22706-390-1423-4197-4548-23527-643,3776-16005-365-601-1848-1975-7210-652,easy,yes
296064-525763-171363-2136846-1047047-78008-35363-117663,16208-173746-102533-123970-77399-43895-18471-54978,6561-67434-37751-36459-21369-22210-7247-44545,8046-39149-23894-13466-13174-3548-1927-27948,3623-38883-5179-7702-5771-10549-3725-7091,6322-23422-10207-23456-6409-5866-4916-19380,3444-17872-5457-6012-3054-1689-1627-7230,2752-16797-2324-5182-3348-1222-887-4122,difficult,yes
14706-34210-603150-1120658-191734-203550-2508883-38384,11912-6494-153934-457831-41275-58713-316083-62007,649-3295-132779-27504-4916-46205-35486-335,3429-3201-54211-111526-5643-84106-34614-2960,6066-1180-53315-89956-9176-14344-22347-5700,3103-1038-30775-25437-4399-16382-43244-4183,1353-787-12236-20470-2075-4843-12134-1200,673-927-9363-14472-367-5138-7647-750,easy,no
