delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
634267-617176-122227-2602164-162778-1680158-507743-795968,23865-102638-51090-110254-12887-52085-70876-12321,26748-165061-2898-42570-3117-15979-13090-1027,13301-9524-3762-18976-2566-3159-6194-3238,11365-42145-4466-21731-2913-3166-12231-1351,20921-13778-8136-60551-10323-56437-16540-4457,19837-9794-3323-58127-1890-15591-26158-4093,7667-6921-1985-50210-2122-4611-10065-4405,634267-617176-122227-2602164-162778-1680158-507743-795968,23865-102638-51090-110254-12887-52085-70876-12321,26748-165061-2898-42570-3117-15979-13090-1027,13301-9524-3762-18976-2566-3159-6194-3238,11365-42145-4466-21731-2913-3166-12231-1351,20921-13778-8136-60551-10323-56437-16540-4457,19837-9794-3323-58127-1890-15591-26158-4093,7667-6921-1985-50210-2122-4611-10065-4405,883991-348239-854275-1050305-373769-22607-103235-1642432,158917-46727-688889-1350297-229059-16308-156257-84963,7249-60326-25637-165168-22933-3552-47784-131777,29175-25559-45556-200263-9242-12364-5545-33862,41286-9160-15770-35061-4208-2950-6748-74764,33548-12522-18974-72302-9536-4746-32429-21591,18401-10462-32861-99538-19107-5068-14681-19757,14024-14128-24074-105802-7145-2678-17657-22861,easy,yes
199646-849319-127079-430667-1002415-1780792-755070-886378,44110-142898-151987-277042-31683-81569-24203-95353,39401-62168-23071-25531-1806-31964-7655-8911,17980-17094-64775-40266-5700-30357-5218-12149,17322-17482-13425-7020-2318-52084-1674-8887,108126-28175-10189-25712-2936-51121-5933-26348,65243-18979-13550-22380-2065-27221-6518-16512,26877-9506-5492-11035-1050-22804-2731-13896,easy,no
1361813-74776-370428-426724-795532-479230-110089-1984234,1231293-23963-51732-964903-487639-75616-37978-161279,32947-691-48332-89330-18318-18629-9244-64584,87154-2258-27892-32294-88672-17781-5333-24195,41420-4325-12622-48521-33328-13913-3157-10967,120229-9071-20601-105632-49758-24112-7311-31623,208007-2209-21765-179985-110100-12993-3701-19934,72019-1362-18924-70409-16115-12391-4088-7235,easy,yes
130572-917660-51643-541262-130576-150055-1447480-184337,15579-48134-21353-102214-13254-28322-58068-54671,19623-28327-8839-29123-2789-7614-35032-9339,2713-6417-8721-8459-1231-8892-63059-4522,1731-4987-11345-10979-1873-3262-7469-1547,8090-13036-12808-22392-776-13511-38866-8610,2299-7632-9776-26004-1568-10188-41526-4190,5526-13939-8003-8155-864-5917-9766-5669,easy,yes
124314-227834-1981074-117725-668375-2966533-179896-1017410,289919-28553-1627524-59133-116676-137524-53894-192740,177792-24457-17508-9712-31798-285361-8563-86028,59344-24010-43551-2295-55086-148737-8503-11344,46495-4484-47492-2949-30426-51201-24881-8549,79746-26328-75015-4726-129004-79557-24241-46938,54498-7642-45431-2847-122620-124326-20343-13577,37967-4565-71125-1922-40626-103587-20389-8665,easy,yes
1255497-181317-500725-329115-314730-5267-18102-3012241,34361-25783-198488-24845-93917-12043-20685-62193,52313-767-43948-14296-10725-4639-8072-51771,3973-1631-28736-36972-38303-11954-11697-62518,8375-1005-15812-27921-34056-42273-14290-44815,20007-6875-26004-50610-60802-19475-46821-75623,18510-3002-7078-58015-18918-21661-23091-37073,5162-1162-4382-18600-12562-19680-24710-26759,easy,no
197131-300572-1105926-125738-2130417-4344-1114741-1158313,71145-15849-1694295-10778-98994-26936-882169-5798,4223-19704-30914-14615-39774-1875-71989-6627,5172-1979-10615-8123-25087-19596-25290-5738,4463-2071-23655-13019-28663-8402-36320-883,5829-4523-87394-14326-45140-38582-21089-6468,1434-2254-27822-3608-44506-26794-47695-4460,3261-1318-35635-4747-21958-9215-19592-2724,difficult,yes
1341734-139436-1734735-47907-494024-215033-75045-884683,216053-37912-142122-6479-115022-60516-3823-121812,139038-1326-58357-4194-4698-8823-1840-14697,32169-3915-14814-7558-15537-4717-688-30905,41700-4351-18465-11039-25702-6743-2063-12082,75314-9666-123448-38261-80048-24474-7657-47995,55547-8924-30565-14571-60063-8166-1685-51508,27150-8829-15518-17444-14905-6515-797-30796,difficult,no
36629-12920-742360-563719-9234-165633-1360574-1678956,12778-36494-415053-523834-1009-85512-292441-123562,4432-4401-7929-114987-761-14667-48265-46394,412-9775-7802-19140-1643-20392-13512-13715,2196-19018-21270-40402-6279-3541-31498-28264,5928-37470-114603-80797-16825-11781-69710-50823,2508-16911-19476-40815-5119-7384-46104-39536,1316-24289-13376-25987-7353-7341-70332-24025,easy,yes
923753-452757-3070841-82723-112487-169670-71015-111337,54436-58522-218440-10688-27018-26692-16572-10238,5102-10193-50673-3759-3901-35069-10081-10656,10539-6162-41805-1182-2735-51737-13561-6815,4925-7681-6985-3326-8175-19864-33425-1604,25682-30260-56852-3378-10952-27689-34497-6829,14280-10857-37270-1933-3746-31312-41070-2443,6632-3305-35260-987-3600-10234-19095-973,difficult,yes
722576-338174-2217900-130117-148786-929603-1581096-8495,101469-37602-703468-18616-175166-295726-167881-5500,32270-3665-45751-852-72639-66700-62303-11853,38674-2383-19339-1328-59977-24219-34617-8367,16435-770-24388-1868-27898-21817-42160-52302,27693-3657-71317-4623-54847-76067-43215-30999,36347-4920-101948-2063-27166-30799-38109-52209,5535-1659-32453-2230-15037-10310-12352-25372,easy,yes
211182-207082-673204-442333-459432-10286-496060-517834,92315-13597-35574-22972-49092-7691-114329-76299,38511-22758-3904-966-22513-7302-11428-78461,26432-3779-3707-10528-32173-16117-2954-29283,14798-3518-2336-6657-10452-7350-5393-21915,59124-22201-6035-56460-31618-18177-7218-47755,42903-15391-5960-19465-25912-13657-4030-34568,14202-9112-1847-10756-4544-11575-4822-5149,easy,yes
185615-260236-549282-91610-4532-79825-105469-237411,14144-27319-445934-17873-2895-34766-33940-77946,1173-5957-27493-1601-3505-2252-3221-4634,1978-4880-36517-3071-1917-1819-1218-4687,2997-3363-22369-3420-2975-529-5498-6015,7197-14833-48147-9255-13811-3131-22658-15464,2352-7274-50287-9577-3843-1043-2752-8461,2516-9602-21094-4724-3591-1029-4393-3448,easy,yes
1152181-931821-1599815-1769921-481858-6195-645776-594583,91721-203721-144013-111080-135783-33244-90328-99133,20095-51440-37351-15738-23300-13429-8746-11358,10951-27142-14486-27366-3495-21397-20564-5566,10388-38490-13130-56623-4963-36364-27817-12903,12535-86782-5944-51785-10925-59562-63541-20500,28992-93116-16161-41136-1903-18453-16483-24517,10176-32551-12004-24309-1704-8637-13159-5260,difficult,yes
2994073-306524-1015759-69895-1084593-1820767-223238-468151,1766509-28429-90571-21521-48435-603570-66160-251620,190354-6871-29352-2310-27117-83724-1996-60881,301809-20658-11989-5369-9869-67099-6861-24664,149913-3401-7954-3017-5377-28237-5066-65975,293917-7423-18530-9154-23110-48471-6552-41488,364839-4460-16732-3113-26982-46845-23866-46622,152078-10733-16165-2168-14158-37788-8707-41751,easy,no
931820-181743-271588-161240-55299-750205-93659-2033664,173304-42049-346719-24341-34230-62164-194589-367145,11031-17112-5377-4968-1049-26308-71442-69008,39317-8069-8255-1208-1214-4723-42035-27833,12271-5808-19368-3538-824-12179-21526-17161,22033-23181-17498-5277-3047-43026-64635-151607,14152-12622-6556-1940-1484-22569-38595-52624,25868-7192-10586-3244-2707-22593-21320-23344,difficult,yes
1700100-420881-1288096-621356-2679352-44209-542798-180589,361058-145008-148608-257192-560929-43196-125072-64141,16925-49053-24609-29535-20428-3819-9100-60605,79426-18347-81811-2048-101111-6307-8483-5261,23438-21936-22797-10513-80394-4657-12587-9179,53642-45650-133123-10133-71706-9266-20491-16599,41380-66019-35879-3937-28167-11129-59013-12433,23803-13220-35742-7650-17775-3571-22602-5517,difficult,yes
446251-764625-114270-592338-106024-3202-144198-278428,32517-105564-19796-32516-18670-11792-38188-20432,3128-4862-284-13949-3474-1671-5284-11713,4764-37543-3917-5700-6993-6217-4242-4935,5618-23229-5681-13332-3657-11155-8200-4225,9150-65542-11552-41517-24105-37264-14794-2973,7699-28103-6451-30572-12035-38031-18237-3902,4516-17873-3142-8235-5989-20703-3716-2083,difficult,yes
25007-279313-2393438-2114465-17607-17000-344405-871020,4054-166707-285748-593358-7075-24759-53533-143339,4209-11474-52399-46725-1831-8349-20371-28328,1784-23532-30804-31236-6113-28099-23729-9633,1699-5440-25432-112293-7578-28210-4502-9608,1047-40467-98184-81392-10840-21333-9634-9291,1739-10261-58015-51253-2938-13904-8676-13935,385-19125-31304-56996-9710-4004-10072-11781,easy,yes
119526-445870-1791216-2080596-2291975-1256412-513832-153752,37979-65799-354238-503046-35971-26138-158524-34602,3197-18330-46344-292547-41074-47902-10451-8128,1929-21823-29356-26806-60123-31734-18329-2013,3967-8138-29123-61073-9738-24072-41258-3597,3895-21153-69146-149026-144743-191822-98393-34552,1032-11507-49233-30403-50750-129132-17893-9085,1127-7401-18831-6726-12131-14339-38482-5960,difficult,yes
837236-909192-623226-418259-49969-590089-2052216-458913,110096-169318-259826-175248-43149-265839-824274-58654,7321-16902-36881-72858-16066-11009-37842-3106,11592-11067-87510-21635-13180-43958-74954-1775,5319-18465-18104-18409-6675-22434-34596-3034,4327-70221-86863-45885-138598-126066-72101-13545,2180-30610-19092-48200-36002-23195-25790-10264,3231-16680-34571-26303-19847-39199-34364-9880,difficult,no
833573-653203-666479-229361-1379242-1907964-2921091-738256,290336-40413-181803-35224-257379-91230-321295-49550,1898-76037-7091-4017-153381-5584-57537-335,31796-42749-21665-2519-41960-6143-57257-14722,34274-17967-17042-1889-32902-5132-43372-16309,42716-20811-20194-3494-165443-18909-93755-16697,25778-12996-53967-3260-40219-19974-87137-18241,11340-14856-16237-4970-50539-6150-37240-6431,difficult,yes
