delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
643313-341750-433993-44207-1580276-477934-988960-16750524-145594-1397706-335461-73249-76782-16750508-16757221,46763-136771-225754-7995-178721-731081-36207-16764457-5785-390270-5071-17365-5305-31696-19127,112438-7435-16759734-6922-16754454-16776954-10360-6181-4654-42227-5126-16159-444-11838-4598,30972-23886-7241-4910-15214-57549-20651-14147-2628-112791-6757-4643-1274-6062-3420,47010-11647-16897-11028-16757151-9536-16756178-5535-4543-16767989-4604-5257-3076-11982-11843,16765884-22371-16747252-4918-22570-16767682-16761670-9166-3351-50556-11105-9152-1143-4334-2932,16759895-8111-30155-3572-29817-26620-26331-4532-3792-16754767-7998-4848-190-1204-1644,18776-11548-16763770-2081-16744778-16820-14179-2501-483-18231-3419-2291-16777203-1575-940,diff,null
433993-44207-1580276-477934-988960-16750524-145594-1397706-335461-73249-76782-16750508-16757221-16775164-200630,225754-7995-178721-731081-36207-16764457-5785-390270-5071-17365-5305-31696-19127-16749596-104143,16759734-6922-16754454-16776954-10360-6181-4654-42227-5126-16159-444-11838-4598-26035-184664,7241-4910-15214-57549-20651-14147-2628-112791-6757-4643-1274-6062-3420-16221-82718,16897-11028-16757151-9536-16756178-5535-4543-16767989-4604-5257-3076-11982-11843-17357-16753182,16747252-4918-22570-16767682-16761670-9166-3351-50556-11105-9152-1143-4334-2932-7955-132610,30155-3572-29817-26620-26331-4532-3792-16754767-7998-4848-190-1204-1644-4875-26015,16763770-2081-16744778-16820-14179-2501-483-18231-3419-2291-16777203-1575-940-3126-16754003,diff,null
1580276-477934-988960-16750524-145594-1397706-335461-73249-76782-16750508-16757221-16775164-200630-795031-952652,178721-731081-36207-16764457-5785-390270-5071-17365-5305-31696-19127-16749596-104143-155724-153594,16754454-16776954-10360-6181-4654-42227-5126-16159-444-11838-4598-26035-184664-13644-16746475,15214-57549-20651-14147-2628-112791-6757-4643-1274-6062-3420-16221-82718-11425-17520,16757151-9536-16756178-5535-4543-16767989-4604-5257-3076-11982-11843-17357-16753182-12959-3678,22570-16767682-16761670-9166-3351-50556-11105-9152-1143-4334-2932-7955-132610-19620-23092,29817-26620-26331-4532-3792-16754767-7998-4848-190-1204-1644-4875-26015-18506-40981,16744778-16820-14179-2501-483-18231-3419-2291-16777203-1575-940-3126-16754003-6372-10574,diff,null
477934-988960-16750524-145594-1397706-335461-73249-76782-16750508-16757221-16775164-200630-795031-952652-117048,731081-36207-16764457-5785-390270-5071-17365-5305-31696-19127-16749596-104143-155724-153594-154570,16776954-10360-6181-4654-42227-5126-16159-444-11838-4598-26035-184664-13644-16746475-876,57549-20651-14147-2628-112791-6757-4643-1274-6062-3420-16221-82718-11425-17520-11816,9536-16756178-5535-4543-16767989-4604-5257-3076-11982-11843-17357-16753182-12959-3678-11221,16767682-16761670-9166-3351-50556-11105-9152-1143-4334-2932-7955-132610-19620-23092-16513,26620-26331-4532-3792-16754767-7998-4848-190-1204-1644-4875-26015-18506-40981-14429,16820-14179-2501-483-18231-3419-2291-16777203-1575-940-3126-16754003-6372-10574-6768,diff,null
988960-16750524-145594-1397706-335461-73249-76782-16750508-16757221-16775164-200630-795031-952652-117048-45169,36207-16764457-5785-390270-5071-17365-5305-31696-19127-16749596-104143-155724-153594-154570-185538,10360-6181-4654-42227-5126-16159-444-11838-4598-26035-184664-13644-16746475-876-16755321,20651-14147-2628-112791-6757-4643-1274-6062-3420-16221-82718-11425-17520-11816-5098,16756178-5535-4543-16767989-4604-5257-3076-11982-11843-17357-16753182-12959-3678-11221-9537,16761670-9166-3351-50556-11105-9152-1143-4334-2932-7955-132610-19620-23092-16513-17486,26331-4532-3792-16754767-7998-4848-190-1204-1644-4875-26015-18506-40981-14429-15124,14179-2501-483-18231-3419-2291-16777203-1575-940-3126-16754003-6372-10574-6768-4139,diff,null
145594-1397706-335461-73249-76782-16750508-16757221-16775164-200630-795031-952652-117048-45169-128786-236617,5785-390270-5071-17365-5305-31696-19127-16749596-104143-155724-153594-154570-185538-16746146-322269,4654-42227-5126-16159-444-11838-4598-26035-184664-13644-16746475-876-16755321-4297-80732,2628-112791-6757-4643-1274-6062-3420-16221-82718-11425-17520-11816-5098-2925-16765906,4543-16767989-4604-5257-3076-11982-11843-17357-16753182-12959-3678-11221-9537-2612-34390,3351-50556-11105-9152-1143-4334-2932-7955-132610-19620-23092-16513-17486-5717-49646,3792-16754767-7998-4848-190-1204-1644-4875-26015-18506-40981-14429-15124-6054-132671,483-18231-3419-2291-16777203-1575-940-3126-16754003-6372-10574-6768-4139-1773-16746278,diff,null
1397706-335461-73249-76782-16750508-16757221-16775164-200630-795031-952652-117048-45169-128786-236617-214923,390270-5071-17365-5305-31696-19127-16749596-104143-155724-153594-154570-185538-16746146-322269-40105,42227-5126-16159-444-11838-4598-26035-184664-13644-16746475-876-16755321-4297-80732-16776873,112791-6757-4643-1274-6062-3420-16221-82718-11425-17520-11816-5098-2925-16765906-26394,16767989-4604-5257-3076-11982-11843-17357-16753182-12959-3678-11221-9537-2612-34390-16766526,50556-11105-9152-1143-4334-2932-7955-132610-19620-23092-16513-17486-5717-49646-11586,16754767-7998-4848-190-1204-1644-4875-26015-18506-40981-14429-15124-6054-132671-16930,18231-3419-2291-16777203-1575-940-3126-16754003-6372-10574-6768-4139-1773-16746278-13872,diff,null
73249-76782-16750508-16757221-16775164-200630-795031-952652-117048-45169-128786-236617-214923-383842-1262917,17365-5305-31696-19127-16749596-104143-155724-153594-154570-185538-16746146-322269-40105-239377-16757233,16159-444-11838-4598-26035-184664-13644-16746475-876-16755321-4297-80732-16776873-16755584-4854,4643-1274-6062-3420-16221-82718-11425-17520-11816-5098-2925-16765906-26394-30835-4601,5257-3076-11982-11843-17357-16753182-12959-3678-11221-9537-2612-34390-16766526-11851-3924,9152-1143-4334-2932-7955-132610-19620-23092-16513-17486-5717-49646-11586-16749225-5327,4848-190-1204-1644-4875-26015-18506-40981-14429-15124-6054-132671-16930-18371-5577,2291-16777203-1575-940-3126-16754003-6372-10574-6768-4139-1773-16746278-13872-11177-4080,diff,null
76782-16750508-16757221-16775164-200630-795031-952652-117048-45169-128786-236617-214923-383842-1262917-390166,5305-31696-19127-16749596-104143-155724-153594-154570-185538-16746146-322269-40105-239377-16757233-14758,444-11838-4598-26035-184664-13644-16746475-876-16755321-4297-80732-16776873-16755584-4854-1669,1274-6062-3420-16221-82718-11425-17520-11816-5098-2925-16765906-26394-30835-4601-4489,3076-11982-11843-17357-16753182-12959-3678-11221-9537-2612-34390-16766526-11851-3924-2374,1143-4334-2932-7955-132610-19620-23092-16513-17486-5717-49646-11586-16749225-5327-4075,190-1204-1644-4875-26015-18506-40981-14429-15124-6054-132671-16930-18371-5577-2039,16777203-1575-940-3126-16754003-6372-10574-6768-4139-1773-16746278-13872-11177-4080-2646,diff,null
16757221-16775164-200630-795031-952652-117048-45169-128786-236617-214923-383842-1262917-390166-1666244-752936,19127-16749596-104143-155724-153594-154570-185538-16746146-322269-40105-239377-16757233-14758-40741-16756523,4598-26035-184664-13644-16746475-876-16755321-4297-80732-16776873-16755584-4854-1669-16754731-9884,3420-16221-82718-11425-17520-11816-5098-2925-16765906-26394-30835-4601-4489-14938-5088,11843-17357-16753182-12959-3678-11221-9537-2612-34390-16766526-11851-3924-2374-12758-4347,2932-7955-132610-19620-23092-16513-17486-5717-49646-11586-16749225-5327-4075-92034-16745944,1644-4875-26015-18506-40981-14429-15124-6054-132671-16930-18371-5577-2039-16745768-8483,940-3126-16754003-6372-10574-6768-4139-1773-16746278-13872-11177-4080-2646-16748571-5148,diff,null
