delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
30463-296445-15758-71055-3004-303806-341738-5844,16136-64045-4562-14697-11570-411123-60612-1807,1261-7330-2610-452-11487-12972-36015-8485,6595-24355-4951-5722-5411-7707-18347-4624,5970-4269-2739-1178-24745-8931-3908-8410,11092-11706-3906-2050-14915-13720-7102-14756,7144-1165-2844-1882-6375-4365-3005-6564,2235-1477-1502-2266-2280-2476-5034-2337,easy,yes
301640-223486-848319-26345-606027-324475-119308-263192,62351-81704-259690-5667-298033-46824-24450-146172,12550-10322-100707-3122-39869-12233-6738-6169,6161-1685-23163-3686-6637-3964-21083-7732,842-4964-11109-1004-12766-3690-4735-4462,1250-3993-4052-688-5934-1745-3200-1282,629-3150-5366-258-3374-310-736-531,509-559-1677-67-1925-325-387-283,difficult,no
4398-495579-27252-10941-101418-1686899-788-6114,10867-90413-10817-5491-15975-17252-3556-11728,2171-247-790-3804-10249-20916-569-9161,8745-3389-15972-14938-3025-3203-3206-6676,3170-28005-14542-7045-3115-9255-814-3115,5838-21896-9298-10235-2574-11710-1700-8476,4750-9419-5611-3077-1115-2526-1227-5790,3270-7024-20133-9118-1034-1049-455-5701,easy,no
70768-423866-75715-1362585-37566-380644-1576121-119236,70464-335252-62946-152936-45672-21863-199216-37754,4840-31653-8627-31405-10507-32663-24035-9841,192-43482-16217-16846-6332-2860-8641-4532,2394-7603-2232-10614-5914-4682-12321-3070,1723-17506-2856-3729-2235-2610-6057-1375,1359-6527-2204-11088-2570-1469-5190-1399,983-3433-1202-3912-1185-722-6169-753,difficult,yes
677166-1670554-741602-951722-348015-1535882-944241-128657,264213-619935-190135-151807-11941-98688-201437-185603,126633-179269-18687-68542-4402-6964-19107-47045,26744-172649-14283-5164-691-14957-5113-7447,22670-137896-15881-4805-1102-1544-12561-4923,17813-47722-3869-3959-594-3673-16102-6072,30897-58417-3785-6295-579-1320-7467-3352,6506-31691-2200-2450-283-1761-4503-2628,easy,yes
820644-1911636-848127-757988-719952-169333-619900-1496085,103849-564103-705692-39307-115195-25169-544481-204331,22273-244076-19142-7005-6558-4314-29762-18224,13110-67971-11962-12339-23370-1566-90114-35455,6519-27302-16538-7184-5498-3675-22850-12098,3837-42232-11535-2547-9616-1016-23627-10953,1830-17544-4241-3375-14971-624-12670-8893,1381-10190-1164-2039-5110-1362-15310-7081,difficult,yes
49451-3570-14822-337991-9475-71024-74658-29710,27587-5164-29296-74416-15171-7819-16092-9436,26690-3238-7549-21425-10247-1544-15845-12400,38644-2776-23452-20264-16263-1615-1884-12821,23929-8512-4352-3911-10359-1811-21510-4670,7723-8795-4958-2584-4884-2373-8142-7817,3613-2317-3185-2851-2890-719-1771-7210,2031-4144-4046-1297-2579-977-1508-2820,easy,yes
1677679-452821-794807-153993-660590-137431-1729893-434218,756659-133234-34352-8027-83373-23071-115201-42321,107804-82572-23329-4082-16665-35605-76653-8200,112009-17660-23683-2783-21202-7160-24876-1257,88306-25607-9982-3623-3930-5913-25606-8101,53225-27612-4666-4422-5223-7050-19883-3699,23535-23704-6232-1429-7874-3199-31598-5664,23058-16786-5264-1389-5412-1447-7085-2965,difficult,yes
694445-585269-1230408-2228384-1167225-628506-645871-250955,249339-103913-1354181-954674-73511-36606-214428-382596,5239-13380-145397-78573-36988-14512-31014-30386,12228-22163-81205-43311-12516-20080-14151-5297,27681-4376-39511-28239-5278-11490-10032-8075,3610-2741-27126-28542-6486-2785-4380-5524,1874-5141-19320-6554-8090-2944-2532-3798,732-3443-28412-5903-2035-1787-2551-1179,easy,yes
137427-5279-26419-878601-69757-3365-8866-44942,54677-11491-10148-60909-18009-42740-53616-50821,6069-2989-20417-19926-3060-1798-7222-4860,4957-5446-8108-13285-1366-12788-9435-7434,3590-11277-4038-22660-1865-4603-6284-8399,1420-3120-7973-15802-3838-7598-10735-9819,1711-6337-7170-7513-1002-3096-3921-9801,1214-2535-2884-9781-1014-4771-2479-5358,difficult,yes
