delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
22357-350513-71817-68571-219432-221628-91738-160222,20006-272392-53977-36914-41926-59680-52768-86932,4769-85170-3934-4620-24866-21468-7071-32142,10322-4962-52785-5254-9843-6644-8994-36920,10442-76035-13048-10953-13738-10406-8630-19683,8384-39995-25968-3540-11173-7394-16160-29301,4588-24573-14425-5929-12914-21112-22491-9368,13278-22527-22405-2529-13000-18326-12840-13017,22357-350513-71817-68571-219432-221628-91738-160222,20006-272392-53977-36914-41926-59680-52768-86932,4769-85170-3934-4620-24866-21468-7071-32142,10322-4962-52785-5254-9843-6644-8994-36920,10442-76035-13048-10953-13738-10406-8630-19683,8384-39995-25968-3540-11173-7394-16160-29301,4588-24573-14425-5929-12914-21112-22491-9368,13278-22527-22405-2529-13000-18326-12840-13017,52190-454512-42864-314256-1901607-329929-91720-48853,11349-150529-7284-44431-106879-78174-36011-7811,1593-14048-9813-9959-11488-7492-11136-3157,5267-3816-2829-6313-17758-28624-8869-1066,6045-18859-2381-9541-37032-6376-1659-1901,4786-12114-14179-5226-16160-6229-7822-3556,4775-9734-4585-3538-12404-5717-3210-2446,3091-3891-6269-5166-14149-2587-2138-2077,difficult,no
793199-58571-40723-201135-631602-56127-36906-69753,7035-67339-20163-26742-57180-52042-24516-34976,529-22298-23629-12721-20986-25644-2932-3757,9144-55799-6044-7230-13832-5039-13376-161,11235-7081-12982-4355-17485-4315-5116-1148,7370-52623-22094-15495-21299-10973-8554-1765,4703-38382-24288-6385-3746-2789-7047-3716,4723-19830-13868-2985-7155-1673-2656-814,difficult,no
23647-75077-14885-24133-492532-475832-12338-60248,12601-9414-9503-8091-72794-23319-3738-13504,21623-7937-18207-9380-98095-8846-6645-11031,27217-4117-5360-8776-16045-2275-2165-9953,8107-2248-6385-5741-18277-5619-5022-18075,8766-1807-19295-12055-27172-5490-1515-11949,9070-1089-12706-7892-33937-2304-1650-18204,8301-742-4967-3731-17566-3300-2238-10840,difficult,no
4645-63472-14980-13226-52953-1732-26120-146413,16214-50073-8905-16298-28815-3571-24178-17734,4516-9208-14131-3343-7138-5511-19639-9208,6131-5319-3697-3868-5530-6377-7186-9527,10503-377-9922-4173-3576-8433-1135-6295,9914-3073-10231-7316-2489-7587-2716-2496,4837-1700-5596-8191-922-6780-1646-2008,9288-783-5087-3297-1007-3363-1217-1063,easy,yes
122642-19940-33217-39899-43388-13713-52873-38670,23644-53333-19896-16981-33851-4416-30623-32541,3008-12885-7091-3357-12451-5531-6591-23854,7683-18021-1805-3809-1229-2826-3356-4674,2095-34068-2363-2106-765-1383-2760-1018,1427-5951-2472-1273-1652-7405-3041-1054,1101-6394-1904-2038-1754-3203-630-2937,3618-6480-1779-1589-1239-3100-733-1221,difficult,no
137284-52044-2058-18237-7475-11254-6313-40008,21155-4115-5577-7094-7656-26254-19478-28664,14134-2013-3173-1077-11471-8345-1857-2506,11509-3123-3442-1933-7185-29130-15262-1596,33920-5892-1161-7648-9254-4968-8152-1054,13662-3364-4246-3541-19745-19817-15351-3759,8971-1590-2564-3702-7332-12533-10482-1852,9658-835-2057-1574-8394-17464-6527-1814,easy,yes
123772-7243-5672-6080-2652-10712-131955-46011,25556-13400-16290-13474-3502-5076-4817-27813,2640-2803-2110-2229-8044-4019-2996-5892,2959-27572-8642-17628-8993-9536-3977-3099,1475-7059-7735-14484-7110-11973-2897-8662,2393-11983-7622-9140-5966-13068-1218-9129,1299-19281-18546-11251-8563-1990-924-14078,530-20267-2766-2299-5281-5276-1369-4771,easy,yes
486938-1759-11769-84877-8284-5486-3859-32090,36201-15274-13643-22520-8113-2923-18374-7429,6408-10127-4616-5153-11386-5563-5894-10868,39273-15048-2693-1582-7040-11517-3813-10990,5767-1568-3251-1710-5273-2558-6218-6121,15939-10839-3933-1922-5494-8088-7708-8425,12750-15568-9755-2210-4448-6615-6151-4986,7498-6789-4005-1481-4029-2971-6926-6177,easy,no
248761-121117-81811-97766-176998-11480-582565-43086,135424-60057-22044-16866-38379-10550-40281-22434,45012-4871-27739-1369-7791-8063-3307-11539,45948-54432-21278-1793-5912-5010-9846-13956,12243-13607-31224-513-7928-2680-7946-14496,10472-20350-16321-1721-5258-6840-19110-27113,18848-14816-13710-602-1461-8989-5659-26467,10524-8913-11920-771-1663-5082-5718-5165,easy,no
25375-63118-84050-9064-180644-19920-43762-158827,11576-45134-11707-14444-5915-11445-4765-114830,4017-4181-17584-3478-5062-16042-1737-18809,1744-5882-5104-2633-2075-6095-1108-13248,3292-7182-4700-1436-848-9622-1232-6869,3176-8556-2882-3600-2272-9828-2245-8152,2887-5916-2014-1377-1476-6652-1061-23540,1502-4224-744-2239-1275-7013-989-23471,easy,yes
8154-59319-39280-60667-115656-48069-35030-32213,13016-22236-50369-52358-29287-29847-15785-11105,5541-4226-26534-5206-35186-6898-1975-5508,21161-1538-25766-1833-12453-1865-2552-13049,24711-1219-22639-4732-22898-1878-2671-4402,7077-1858-7840-2518-12374-1880-9595-11746,11850-2279-10446-1917-6915-887-3222-5692,4641-762-4525-1829-9099-395-1799-7737,easy,no
72752-59424-207942-45748-52340-20096-44821-10087,15346-16006-59890-19132-18552-3739-14118-11927,6434-4776-10519-11139-4399-3614-2496-9742,5563-5305-4854-5355-3404-9882-2986-7905,2907-2734-1635-2131-3379-2483-922-2622,2381-2865-3130-1485-3060-7394-2035-5935,1157-2987-1811-2333-2098-2546-568-3825,574-1179-2704-1639-1769-4378-919-4297,easy,yes
562505-44982-48256-3496-120519-209065-836866-108500,543540-4950-21001-1376-20383-92300-87161-33283,80586-1850-6328-1661-35462-14841-8042-9324,91166-1321-3205-2915-31026-13776-14784-11322,28075-1553-8717-1539-6656-2397-12942-5498,103597-763-6298-4218-11359-2772-8979-10078,104246-861-4910-1477-11204-2586-12101-6022,19744-628-3374-2943-5589-1834-5319-5786,easy,yes
