delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
743803-2049258-923825-194667-1053004-542360-65572-768673,726819-1025662-61940-146824-108113-23096-9754-160815,72019-74177-14506-67458-8983-13831-2305-58365,209361-84232-31100-33041-28584-5228-2802-30289,91181-119304-4718-30222-38591-4245-2422-44714,74598-109939-7253-17585-28927-6754-9131-49878,103150-85860-8176-7727-29478-3439-4137-18207,50327-37505-4690-8879-16236-5403-1522-19231,easy,yes
2098564-44929-680155-139240-350238-91543-13706-423207,47788-8417-31998-30792-102476-73304-51530-43147,24536-2271-6873-16898-12663-15889-3257-15013,12403-5810-5002-10952-7036-5750-4954-9104,15262-8971-15730-7345-9088-7691-9686-5663,19187-10219-12996-5381-5811-10477-11364-5567,6273-4471-10850-3619-10605-13685-3048-5273,5534-2088-4369-3230-5928-5859-1924-3233,easy,yes
208747-1306207-374646-642843-84132-90495-1393164-41133,52421-144223-14747-444052-46456-20541-78631-4030,9735-2970-4495-153281-20953-2744-23006-4559,7715-4465-3449-68186-12325-3024-24250-914,2842-7205-6500-11718-5150-1444-8675-1066,5256-11239-10434-75514-6408-3277-21976-4765,2866-13968-8677-19479-3566-1205-6958-2351,4120-5369-7820-20510-7999-1309-13000-1321,easy,no
412360-190787-89557-23482-41053-55596-1075685-812358,50017-25360-20564-52168-27012-8452-796947-15018,8364-566-11328-4842-3325-24242-75363-31517,7287-2017-4498-29921-3027-16065-85551-12631,19007-14579-21901-6508-6126-13819-57996-12127,35086-12418-16819-23645-6051-41459-61833-13469,29487-4919-8099-18318-3077-20082-133188-10209,13191-2193-6634-30742-4831-8352-63115-4197,easy,no
1565528-1426668-1233633-1368575-273243-232206-2231616-1233946,597215-51552-779732-137937-91031-40577-316370-149589,189545-13149-66898-46343-24313-7120-44275-12887,47560-14097-50461-30532-37498-1887-5722-13777,15730-18139-21145-10438-36673-10732-53195-42998,17150-21730-33865-27118-45023-9450-42276-50025,5698-15312-51938-34377-21505-4067-33844-22171,6250-7875-32670-11815-32424-3323-11555-27799,easy,no
delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
775495-111065-667817-54228-1311838-220829-227100-115963,288357-43404-37034-31779-259779-16837-175806-29850,56497-1826-14158-5856-28342-2814-12763-7385,41348-1210-72817-5671-34968-2187-15790-5602,31956-3865-56312-10745-25898-1448-16951-3175,56488-3963-63545-16272-38187-2815-31927-5583,32127-2666-61010-18202-42573-1173-7712-8923,27931-1100-6835-1959-29332-889-5091-5866,280657-647394-108721-1514009-317941-90780-777806-485692,76142-309110-57625-211214-107263-17615-21889-123501,28889-25871-32029-15736-5082-17433-32264-16401,9713-58324-7754-16887-9952-3584-10450-11536,6543-24179-15915-27135-13448-5212-7583-8598,4236-79690-13585-47188-22174-14641-15906-9695,13806-52630-5550-23910-8902-5043-25896-6923,6311-29872-8182-26498-7625-4305-7206-4685,easy,yes
delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
