delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
25318-185854-1108971-203809-560297-1698934-168621-255447,5895-27378-76129-76119-140091-199709-12992-35359,5240-7069-17789-38753-6051-10005-4303-41189,3794-26575-15056-12226-9505-37167-2131-44331,590-7449-14979-7007-7440-13153-2616-11375,1105-14666-9729-22332-8269-16727-4641-15681,823-5659-20587-16894-5466-15890-2762-9412,1507-10774-5314-7669-3076-7472-1285-10622,easy,no
519817-41101-769039-275155-488173-797543-1369882-80444,44905-54614-60975-56942-123813-45154-339287-36002,35880-5882-4530-6898-7249-5274-26044-27675,17534-5566-5357-10375-16802-3641-82374-8334,10221-10891-6612-15219-9833-4352-24567-5107,39751-6881-4103-14822-8304-5382-17168-5922,21431-4059-2232-10817-5916-5970-34065-7422,13914-5693-3593-6968-5611-1744-14355-1000,difficult,yes
171365-118797-576548-31647-1228-11327-135635-1552934,145839-6901-251479-46046-5190-38360-33859-102872,4563-4625-28711-20465-1433-7465-11850-38627,2105-1053-34501-9554-1330-4157-4849-5285,9859-963-43526-3243-1322-3498-2292-9462,8325-2561-28720-1916-1825-7503-1606-24973,3496-1147-18688-1482-951-5894-1271-17747,3121-1493-25280-895-616-5228-521-11031,difficult,yes
207264-384505-225650-1474959-149285-928634-2630351-48267,134756-361347-162462-45913-36175-316509-214151-6897,36581-104734-31770-37139-25249-10358-296756-9659,10092-36876-21551-47654-19491-23175-93954-12726,3738-15166-6530-11318-2667-19002-63395-3660,22616-22367-12050-12569-7251-25120-145498-19290,12025-25619-27708-9596-2484-34849-34453-10351,8094-17029-11535-13881-1003-15513-32303-9661,easy,yes
138040-94319-79632-5230-148412-230771-102527-189882,16190-39257-141976-15643-80253-38576-8428-84794,6132-11211-71274-2223-15912-1444-6995-9949,2996-2324-23885-12920-4866-6792-5072-18848,1830-1804-32516-9112-4071-9974-1207-11216,816-8440-20925-9367-7950-3428-6311-9534,3353-5764-18352-4962-5692-6478-3228-8191,1196-1999-10513-4233-7490-3920-2076-8663,easy,yes
104601-215238-1448159-807776-247718-736070-168820-65992,59547-82544-605765-192590-15709-158940-32463-12647,8429-21161-128737-68759-7212-31871-16981-2719,4649-3984-144187-21020-4469-45689-27317-1743,5044-12494-101980-21064-4084-27124-5458-6311,5116-3490-56562-17966-6812-28845-10370-7199,3038-2103-45571-17815-4019-33698-3074-5259,1166-2846-31684-9042-4461-6537-2251-5478,easy,yes
103237-617510-273643-120458-240169-964195-125010-376501,33407-11574-39501-89135-110848-48299-52871-113855,9755-18249-7431-23378-27891-15585-1890-19386,3430-13015-8784-17507-13255-9325-6954-17557,3383-4221-6174-19759-4616-2708-1972-10351,2092-7762-2718-14597-5324-4299-1999-9234,506-1622-1150-13454-3071-675-2632-11840,787-1391-1103-11932-2521-2497-1318-4948,difficult,no
292515-1157792-279062-708120-8160-216480-65923-6475,55560-56933-174899-15071-33856-57169-6221-15947,25247-37487-31078-19351-6671-46119-2303-10396,8872-11406-4602-4008-4858-11615-1460-4859,11442-5408-6096-4779-1599-15357-549-8065,18654-12199-6431-9457-4425-11566-676-3956,11068-7682-4440-5168-3816-12797-782-1405,3142-6399-3332-11699-1206-3074-193-2979,difficult,yes
825268-37205-445654-758577-10069-21233-77341-210298,29270-83451-49412-189650-12135-18878-24850-10831,9698-10813-14169-8756-6610-15665-1694-5645,1849-18437-8246-12950-13373-6221-304-2879,1143-17278-2765-10514-5385-5592-1549-3995,2656-10801-6011-8902-3747-1653-2194-1960,1297-7881-6224-4340-3046-1746-1156-686,685-3949-4157-1674-1895-1131-824-593,difficult,no
82669-86316-514134-376000-57961-264108-50103-38829,15734-3268-106199-91245-37685-32532-17161-18425,4021-2279-40257-82597-2185-6444-7349-17488,536-617-12006-40511-14613-12091-7655-3022,895-396-7915-27765-1677-9382-2251-9470,1046-416-6650-25774-6301-14348-4218-11981,491-198-1955-25611-2588-4909-4620-6584,232-63-2105-6069-1939-4442-1325-4748,easy,no
49868-29184-95237-113791-1695013-969645-106526-2523591,14549-12482-17951-42870-1262377-781466-62322-697040,7559-6678-6495-9617-64615-115166-3795-55964,2049-3294-6186-8123-93190-37577-1411-39771,3036-1055-2044-7476-115658-36278-532-50712,1142-1593-2621-10082-175158-40182-2276-51514,451-531-1163-10404-104368-7836-359-24258,314-351-1930-4589-46570-28146-690-27565,difficult,yes
