delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
2-5-311680,3-0-69600,0-3-16755026,1-0-13349,1-2-10244,1-0-11144,0-1-11136,1-0-13075,diff,null
16767673-42366-15037-16772272-1343675-57311-15865-6162,89386-16744758-4798-16755883-356855-7763-17015-12645,78547-4034-2115-7330-14278-4475-1155-9627,82302-2126-4050-11498-16768464-2358-9727-19289,16757904-146-3902-15351-16754487-1830-13507-4910,16764601-1117-2484-10003-87460-2889-10090-4794,66171-555-1357-1956-59694-1322-5471-2109,22131-714-1348-1891-17757-762-2344-2261,easy,null
16775653-278973-159512-34554-618449-10310-70873-16759570,6500-10669-27111-16749659-325629-3407-10523-16755894,8809-6201-11243-7699-25726-10875-2547-8358,9191-1964-24841-14366-16751492-7533-3958-7298,1269-6778-7346-10076-27044-994-3835-1977,3222-4274-13585-16760829-24655-3185-2664-1001,4517-1352-6542-24339-61798-990-846-1359,2043-3911-6680-10188-26626-1572-634-527,diff,null
911275-531195-115223-651187-167242-16757453-83781-1539475,74645-16753859-29987-99237-35712-4196-16766970-246947,14156-16973-1191-16763951-20501-433-3214-82840,22255-1310-2608-16776204-17505-189-2705-17329,20992-3505-2825-25203-16760137-2423-3235-97354,12851-4321-2201-16775830-84531-2383-12344-16770345,21029-5476-4798-16754073-16766323-2539-4069-24400,10848-2362-2308-16747390-27756-1322-5174-16755904,diff,null
2190053-2692303-263894-15942-84261-75413-88550-290672,247449-823177-38102-16749663-32882-9913-16764575-11949,16754690-16751218-3739-9764-16745621-3353-2741-17278,16750884-10008-3144-19048-16757664-2401-13508-3888,16747324-16767652-9815-1985-23787-1125-5719-14090,80584-76473-12369-6331-14355-3760-11402-4918,186567-68752-18076-1684-12453-3434-3746-3075,32340-16746151-6891-1051-8021-1127-2561-1430,easy,null
1662636-2369372-759080-84093-554210-506744-1149764-9956,16755314-153001-44334-40516-90305-162235-106727-30696,16764278-16753836-16753009-3084-16749269-10896-16747983-30533,19829-7017-11934-3467-7273-9289-16746602-18129,23127-23739-11831-1783-7857-9107-16752203-11663,18028-15553-24736-3255-11255-11827-24502-10845,20841-10594-17699-2399-17723-10883-11878-7610,15219-13222-12807-1145-6395-19959-11782-3192,diff,null
0-0-1176878-31835-21870,2-0-12489-1820-9379,2-0-6817-1559-9378,0-0-9145-2726-8706,1-0-5188-4694-6923,1-0-7537-1395-3114,0-0-2859-882-2788,0-0-1482-424-896,easy,null
20806-221526-84265-94735-1652014-61925-147894-16766823,16746526-16763963-91384-16757748-160744-11404-6244-16756026,30510-5936-6445-11351-16744352-5800-4509-1355,8846-4006-1732-62-48015-1984-4852-3202,16748831-4052-1234-5138-16764091-2084-3370-2628,15739-2089-2447-5590-16765124-2672-10426-3266,3501-877-556-3798-16749299-2672-10983-1194,5078-1649-531-4148-30213-3211-2693-398,easy,null
16762210-31340-16772925-77332-16757764-65183-36568-4992,70475-103748-16756820-16746035-18031-7904-13869-3296,7833-16748682-5737-7407-4096-3731-1352-1541,1208-12324-954-12869-14124-28045-3428-16777198,1613-7396-3361-9646-10359-20035-2230-2650,8025-29958-3027-12352-15564-7701-5880-1107,2479-13276-1849-9493-5074-6096-1807-500,1309-2370-1647-6438-5537-2653-557-131,diff,null
60880-1187193-857133-304177-509043-17527-567416-30867,16757818-138645-70596-10288-61814-7933-408008-26024,15838-12071-16775956-4512-90257-1881-20270-6145,4289-9253-60944-10047-17568-3329-16776682-1497,3987-6523-16799-2928-29212-5038-14367-733,13861-18650-23019-11355-16773472-16532-86245-3302,7896-6985-15765-9771-27790-14503-16757355-1755,16184-6853-11520-10149-16748078-6647-16971-2325,easy,null
