delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
562505-44982-48256-3496-120519-209065-836866-108500,543540-4950-21001-1376-20383-92300-87161-33283,80586-1850-6328-1661-35462-14841-8042-9324,91166-1321-3205-2915-31026-13776-14784-11322,28075-1553-8717-1539-6656-2397-12942-5498,103597-763-6298-4218-11359-2772-8979-10078,104246-861-4910-1477-11204-2586-12101-6022,19744-628-3374-2943-5589-1834-5319-5786,easy,yes
519817-41101-769039-275155-488173-797543-1369882-80444,44905-54614-60975-56942-123813-45154-339287-36002,35880-5882-4530-6898-7249-5274-26044-27675,17534-5566-5357-10375-16802-3641-82374-8334,10221-10891-6612-15219-9833-4352-24567-5107,39751-6881-4103-14822-8304-5382-17168-5922,21431-4059-2232-10817-5916-5970-34065-7422,13914-5693-3593-6968-5611-1744-14355-1000,difficult,yes
92352-302399-127866-2174254-260879-575208-579023-38814,40005-113298-75461-447827-12365-26504-28135-34810,6302-669-2801-29439-1288-14084-17083-15913,4616-7690-21942-17075-11598-8025-3114-12907,1786-26241-26421-20963-4734-11073-2866-13664,2599-6722-25453-10108-2256-6318-4507-10515,2786-7823-36191-14621-3624-7347-3319-8247,1470-11603-16159-5761-1321-4180-2679-4428,easy,yes
171365-118797-576548-31647-1228-11327-135635-1552934,145839-6901-251479-46046-5190-38360-33859-102872,4563-4625-28711-20465-1433-7465-11850-38627,2105-1053-34501-9554-1330-4157-4849-5285,9859-963-43526-3243-1322-3498-2292-9462,8325-2561-28720-1916-1825-7503-1606-24973,3496-1147-18688-1482-951-5894-1271-17747,3121-1493-25280-895-616-5228-521-11031,difficult,yes
72752-59424-207942-45748-52340-20096-44821-10087,15346-16006-59890-19132-18552-3739-14118-11927,6434-4776-10519-11139-4399-3614-2496-9742,5563-5305-4854-5355-3404-9882-2986-7905,2907-2734-1635-2131-3379-2483-922-2622,2381-2865-3130-1485-3060-7394-2035-5935,1157-2987-1811-2333-2098-2546-568-3825,574-1179-2704-1639-1769-4378-919-4297,easy,yes
103237-617510-273643-120458-240169-964195-125010-376501,33407-11574-39501-89135-110848-48299-52871-113855,9755-18249-7431-23378-27891-15585-1890-19386,3430-13015-8784-17507-13255-9325-6954-17557,3383-4221-6174-19759-4616-2708-1972-10351,2092-7762-2718-14597-5324-4299-1999-9234,506-1622-1150-13454-3071-675-2632-11840,787-1391-1103-11932-2521-2497-1318-4948,difficult,no
4645-63472-14980-13226-52953-1732-26120-146413,16214-50073-8905-16298-28815-3571-24178-17734,4516-9208-14131-3343-7138-5511-19639-9208,6131-5319-3697-3868-5530-6377-7186-9527,10503-377-9922-4173-3576-8433-1135-6295,9914-3073-10231-7316-2489-7587-2716-2496,4837-1700-5596-8191-922-6780-1646-2008,9288-783-5087-3297-1007-3363-1217-1063,easy,yes
292515-1157792-279062-708120-8160-216480-65923-6475,55560-56933-174899-15071-33856-57169-6221-15947,25247-37487-31078-19351-6671-46119-2303-10396,8872-11406-4602-4008-4858-11615-1460-4859,11442-5408-6096-4779-1599-15357-549-8065,18654-12199-6431-9457-4425-11566-676-3956,11068-7682-4440-5168-3816-12797-782-1405,3142-6399-3332-11699-1206-3074-193-2979,difficult,yes
867163-173646-23123-2352207-263323-114933-37081-26191,79683-38430-16790-415680-175377-18917-9231-84118,47245-785-3218-229179-26999-12695-1245-24959,45031-1502-3696-233712-97792-2441-3085-10850,42045-3359-4299-84162-27523-3048-5784-21094,33101-4113-3194-83408-27509-3765-1817-10441,13812-3100-4722-21051-18188-1008-335-8118,11205-3573-2659-56990-12363-1042-575-10081,easy,no
825268-37205-445654-758577-10069-21233-77341-210298,29270-83451-49412-189650-12135-18878-24850-10831,9698-10813-14169-8756-6610-15665-1694-5645,1849-18437-8246-12950-13373-6221-304-2879,1143-17278-2765-10514-5385-5592-1549-3995,2656-10801-6011-8902-3747-1653-2194-1960,1297-7881-6224-4340-3046-1746-1156-686,685-3949-4157-1674-1895-1131-824-593,difficult,no
293204-169318-91911-127977-13371-2587-54927-249676,4837-9192-17586-25337-11863-5016-21627-54414,18651-1279-6636-9822-1856-3328-6417-13016,6754-1397-4246-11236-6020-2158-4732-11073,20930-1318-3669-33736-2165-7929-2425-3728,6698-1288-4623-19601-2891-4830-2806-3131,8328-494-3602-11519-1882-6838-1682-3875,7237-668-1859-3510-608-5765-2235-1785,easy,yes
49868-29184-95237-113791-1695013-969645-106526-2523591,14549-12482-17951-42870-1262377-781466-62322-697040,7559-6678-6495-9617-64615-115166-3795-55964,2049-3294-6186-8123-93190-37577-1411-39771,3036-1055-2044-7476-115658-36278-532-50712,1142-1593-2621-10082-175158-40182-2276-51514,451-531-1163-10404-104368-7836-359-24258,314-351-1930-4589-46570-28146-690-27565,difficult,yes
75638-89513-210402-89888-41625-318043-51955-42383,22643-12314-116783-16572-30021-5550-8362-11865,5703-842-17961-734-7662-11155-922-299,6066-1180-13255-1833-3396-8976-347-2132,2758-2987-10575-3037-983-6764-480-1372,2627-2615-11300-5868-3051-5738-1078-1701,1243-1926-5333-1607-3564-6919-379-1294,2139-1657-5630-944-841-2946-576-2036,easy,yes
120233-106940-31648-167080-15846-13244-344989-42286,22993-40665-7433-29988-11195-12798-19268-45827,4490-5936-2859-5406-2972-10195-5223-5987,2194-22129-10275-2117-8975-29398-9090-2116,3302-3140-3402-4356-3005-3011-29400-1227,1456-5872-6757-8760-2983-3610-5545-2749,922-4371-5144-3374-2223-4087-9934-1750,1309-1118-1083-5190-1055-1680-2736-914,difficult,yes
53397-104260-18525-1741805-48389-118682-38185-4422,50467-31830-30159-431308-3942-108060-14537-13604,9497-1313-480-21047-294-2558-3280-7326,5518-4692-9444-4816-1213-8696-2005-6763,3423-1672-393-19269-319-8386-1500-8366,7083-1694-909-6435-601-22461-1410-5792,7525-1612-688-1425-161-2039-1027-5446,3154-746-1280-6633-101-4975-1267-9432,easy,no
23647-75077-14885-24133-492532-475832-12338-60248,12601-9414-9503-8091-72794-23319-3738-13504,21623-7937-18207-9380-98095-8846-6645-11031,27217-4117-5360-8776-16045-2275-2165-9953,8107-2248-6385-5741-18277-5619-5022-18075,8766-1807-19295-12055-27172-5490-1515-11949,9070-1089-12706-7892-33937-2304-1650-18204,8301-742-4967-3731-17566-3300-2238-10840,difficult,no
358427-908081-194148-131138-188040-327994-816367-90433,73179-82094-62689-45782-207444-23478-121115-94196,19431-11306-13487-20658-59345-5080-42592-23087,6766-14217-2967-13840-7993-2562-15775-13132,4505-2767-2759-2914-5241-911-38953-4982,4274-10115-4310-3230-16342-962-68223-6964,4381-18860-5013-4134-10093-1804-42145-4587,1850-9311-2548-1963-5472-782-13442-2920,easy,yes
122642-19940-33217-39899-43388-13713-52873-38670,23644-53333-19896-16981-33851-4416-30623-32541,3008-12885-7091-3357-12451-5531-6591-23854,7683-18021-1805-3809-1229-2826-3356-4674,2095-34068-2363-2106-765-1383-2760-1018,1427-5951-2472-1273-1652-7405-3041-1054,1101-6394-1904-2038-1754-3203-630-2937,3618-6480-1779-1589-1239-3100-733-1221,difficult,no
88870-100954-697813-4739-508512-114098-78025-189442,5392-29886-84829-9343-19866-37779-7307-146703,5259-2864-3668-9835-33488-3086-1436-1217,3124-5178-18230-6885-26443-968-6770-29883,1246-969-5946-7989-5039-9719-3709-32381,2603-2982-6516-12599-11478-7479-1734-40379,1269-2671-16887-6142-7943-3104-1662-17173,1482-1609-6135-3714-8673-3846-3993-13864,easy,yes
53376-4471-94790-13402-44560-3285-3191-167891,14260-10172-57887-6005-30240-6115-2421-61661,4305-10219-3115-871-8278-6356-3411-23754,10408-5909-21065-6975-6504-8765-2183-4425,3138-5386-6698-6250-6911-5712-812-5445,1783-12566-7546-5408-7371-4368-744-4223,1125-15939-8503-7126-5949-6714-1097-3845,1771-3918-4993-4883-4284-3888-803-2838,difficult,yes
75823-43649-192587-61790-48102-832698-186594-70020,23415-22172-30775-16514-5780-73866-18152-43531,1734-690-1125-5856-3575-81976-15792-20777,1254-1933-23625-675-3028-143154-2069-18747,1171-754-29042-665-1494-100650-4656-3944,865-628-8651-456-1005-29531-6478-8398,415-308-12630-245-696-58323-5274-11307,144-297-23075-620-1024-19250-3261-1794,easy,yes
34382-53255-544636-544636-27384-100201-59043-86831,42347-25547-62495-62495-9102-18123-19670-78939,16032-9954-14867-14867-10625-2892-8231-18902,10399-1662-22992-22992-15192-1792-4758-8367,1094-1008-12308-12308-15621-4411-1576-16132,1197-1087-11255-11255-4985-3360-2667-6162,652-1656-5908-5908-8754-1671-2400-11228,794-1033-6081-6081-6672-767-460-5700,difficult,yes
144952-122903-22268-148869-212675-546889-629339-7170,49013-4564-28828-6820-87874-43937-176701-10924,3067-7627-9544-3459-13058-9118-3966-6491,33255-9990-14484-6246-8651-15176-11828-5047,3317-10477-7677-3137-8209-7103-11018-8306,8755-5714-3231-4215-5875-8551-17441-29079,7140-3982-2996-2319-3787-11751-15636-13826,2608-4851-3616-6344-1854-7109-3598-6560,easy,yes
207500-258967-49757-2940-61154-47602-35113-94352,72152-8284-53154-18488-22598-11438-16651-8553,4272-900-16131-4221-8674-2182-5449-803,4999-2053-2084-8415-12553-2610-1611-2812,19406-6790-2912-7495-1132-1835-308-1410,20332-4456-3917-14075-3165-2884-2647-3593,18441-2035-2800-12142-2190-2135-1173-845,8169-2519-1830-8470-1595-1276-2162-1442,difficult,yes
1307909-833247-709958-2732238-2760772-1345208-48888-190262,71187-181877-156690-227887-313104-174770-66659-19622,9139-22383-5947-67853-33320-59078-30398-5347,58331-71880-34730-18917-60025-88042-1644-3051,27371-46352-38614-8469-39189-44555-10706-5853,22172-33336-26529-21137-17397-28444-6433-5267,8346-12921-14753-4910-9168-8548-5589-1215,4582-10153-5984-6656-4078-9797-1261-780,easy,yes
